member_id,member_name,visitor,branch,ministry,tithe,offering,event,date
168,Member 168,Visitor 168,Branch B,Youth,871,129,Concert,2024-06-16
169,Member 169,Visitor 169,Branch B,Youth,645,269,Bible Study,2024-06-17
170,Member 170,Visitor 170,Branch A,Youth,399,94,Service,2024-06-18
171,Member 171,Visitor 171,Branch A,Ushering,833,287,Charity Drive,2024-06-19
172,Member 172,Visitor 172,Branch A,Ushering,892,86,Concert,2024-06-20
173,Member 173,Visitor 173,Branch D,Ushering,347,174,Bible Study,2024-06-21
174,Member 174,Visitor 174,Branch A,Prayer,460,291,Charity Drive,2024-06-22
175,Member 175,Visitor 175,Branch B,Ushering,352,223,Service,2024-06-23
176,Member 176,Visitor 176,Branch A,Youth,450,495,Service,2024-06-24
177,Member 177,Visitor 177,Branch D,Youth,845,241,Service,2024-06-25
178,Member 178,Visitor 178,Branch D,Music,853,123,Bible Study,2024-06-26
179,Member 179,Visitor 179,Branch B,Youth,890,413,Charity Drive,2024-06-27
180,Member 180,Visitor 180,Branch B,Ushering,676,212,Service,2024-06-28
181,Member 181,Visitor 181,Branch A,Ushering,618,327,Bible Study,2024-06-29
182,Member 182,Visitor 182,Branch B,Outreach,149,99,Bible Study,2024-06-30
183,Member 183,Visitor 183,Branch C,Prayer,317,100,Charity Drive,2024-07-01
184,Member 184,Visitor 184,Branch B,Youth,338,332,Service,2024-07-02
185,Member 185,Visitor 185,Branch C,Prayer,627,341,Service,2024-07-03
186,Member 186,Visitor 186,Branch C,Youth,980,226,Concert,2024-07-04
187,Member 187,Visitor 187,Branch B,Music,721,207,Service,2024-07-05
188,Member 188,Visitor 188,Branch C,Music,215,19,Charity Drive,2024-07-06
189,Member 189,Visitor 189,Branch B,Prayer,500,382,Bible Study,2024-07-07
190,Member 190,Visitor 190,Branch B,Ushering,331,319,Charity Drive,2024-07-08
191,Member 191,Visitor 191,Branch D,Outreach,191,457,Service,2024-07-09
192,Member 192,Visitor 192,Branch C,Youth,997,106,Bible Study,2024-07-10
193,Member 193,Visitor 193,Branch C,Youth,417,235,Charity Drive,2024-07-11
194,Member 194,Visitor 194,Branch A,Outreach,336,308,Service,2024-07-12
195,Member 195,Visitor 195,Branch B,Prayer,308,224,Service,2024-07-13
196,Member 196,Visitor 196,Branch D,Prayer,762,204,Service,2024-07-14
197,Member 197,Visitor 197,Branch D,Youth,721,7,Concert,2024-07-15
198,Member 198,Visitor 198,Branch A,Music,658,365,Concert,2024-07-16
199,Member 199,Visitor 199,Branch C,Outreach,512,114,Concert,2024-07-17
200,Member 200,Visitor 200,Branch D,Youth,1000,110,Bible Study,2024-07-18
