farm_id,farm_name,crop,harvest,livestock,rainfall,temperature,fertilizer,date
142,Farm-142,Soybean,8200,302,1133,19.1,DAP,2024-05-21
143,Farm-143,Maize,35247,392,540,20.4,Compost,2024-05-22
144,Farm-144,Soybean,6770,308,1466,27.6,DAP,2024-05-23
145,Farm-145,Rice,41061,22,529,35.8,DAP,2024-05-24
146,Farm-146,Maize,24217,242,1657,34.9,Compost,2024-05-25
147,Farm-147,Maize,35871,247,1296,29.0,Compost,2024-05-26
148,Farm-148,Soybean,33762,405,784,32.2,Compost,2024-05-27
149,Farm-149,Wheat,14870,80,573,38.8,NPK,2024-05-28
150,Farm-150,Rice,30922,457,559,36.2,NPK,2024-05-29
151,Farm-151,Wheat,41555,370,1918,32.8,NPK,2024-05-30
152,Farm-152,Soybean,43709,217,1650,32.6,Urea,2024-05-31
153,Farm-153,Cotton,14138,104,1618,35.1,Compost,2024-06-01
154,Farm-154,Maize,18615,414,1564,25.4,Compost,2024-06-02
155,Farm-155,Cotton,3977,456,1827,37.9,NPK,2024-06-03
156,Farm-156,Soybean,13195,199,514,17.9,Compost,2024-06-04
157,Farm-157,Soybean,7884,330,530,18.3,DAP,2024-06-05
158,Farm-158,Soybean,10279,247,687,15.4,NPK,2024-06-06
159,Farm-159,Soybean,45408,370,439,23.7,DAP,2024-06-07
160,Farm-160,Maize,31591,334,284,32.3,Compost,2024-06-08
161,Farm-161,Cotton,33105,10,848,18.5,Compost,2024-06-09
162,Farm-162,Rice,12055,450,1376,26.0,DAP,2024-06-10
163,Farm-163,Maize,10970,331,459,39.7,Compost,2024-06-11
164,Farm-164,Soybean,44418,46,1102,28.1,NPK,2024-06-12
165,Farm-165,Soybean,3325,207,733,39.3,Urea,2024-06-13
166,Farm-166,Maize,4040,467,957,19.3,Urea,2024-06-14
167,Farm-167,Cotton,42761,363,577,22.6,Urea,2024-06-15
168,Farm-168,Cotton,24367,180,620,33.6,Compost,2024-06-16
169,Farm-169,Wheat,19181,281,1351,18.0,NPK,2024-06-17
170,Farm-170,Wheat,14235,26,1648,18.2,NPK,2024-06-18
171,Farm-171,Wheat,28986,161,271,32.4,Compost,2024-06-19
172,Farm-172,Soybean,16974,228,1563,32.2,NPK,2024-06-20
173,Farm-173,Maize,22408,395,849,22.7,Compost,2024-06-21
174,Farm-174,Maize,40923,148,904,20.2,Urea,2024-06-22
175,Farm-175,Wheat,30197,367,502,39.5,NPK,2024-06-23
176,Farm-176,Cotton,3338,494,963,25.6,Compost,2024-06-24
177,Farm-177,Wheat,7343,323,1118,34.1,NPK,2024-06-25
178,Farm-178,Maize,49023,287,1305,17.8,DAP,2024-06-26
179,Farm-179,Soybean,3937,304,532,15.5,DAP,2024-06-27
180,Farm-180,Wheat,35716,416,1292,27.1,DAP,2024-06-28
181,Farm-181,Rice,12026,116,817,25.8,Compost,2024-06-29
182,Farm-182,Rice,10857,413,448,19.9,NPK,2024-06-30
183,Farm-183,Cotton,2404,360,251,15.8,DAP,2024-07-01
184,Farm-184,Maize,32288,51,1028,31.5,NPK,2024-07-02
185,Farm-185,Soybean,34244,327,1222,29.8,Compost,2024-07-03
186,Farm-186,Rice,8106,460,1773,26.7,DAP,2024-07-04
187,Farm-187,Wheat,5143,181,497,37.7,DAP,2024-07-05
188,Farm-188,Soybean,15920,386,1138,16.1,Compost,2024-07-06
189,Farm-189,Maize,47777,487,855,22.5,NPK,2024-07-07
190,Farm-190,Wheat,29651,38,519,15.3,DAP,2024-07-08
191,Farm-191,Soybean,39343,273,208,17.4,NPK,2024-07-09
192,Farm-192,Maize,38495,494,1712,18.1,Urea,2024-07-10
193,Farm-193,Soybean,21862,475,1318,30.0,Compost,2024-07-11
194,Farm-194,Rice,27963,355,1239,29.7,DAP,2024-07-12
195,Farm-195,Rice,13525,196,878,20.0,Compost,2024-07-13
196,Farm-196,Maize,49461,464,1525,31.8,Urea,2024-07-14
197,Farm-197,Rice,44858,36,1644,15.7,Compost,2024-07-15
198,Farm-198,Maize,21844,66,805,18.6,Compost,2024-07-16
199,Farm-199,Cotton,15577,206,1170,33.7,DAP,2024-07-17
200,Farm-200,Rice,7717,197,793,21.9,Urea,2024-07-18
