beneficiary_id,beneficiary_name,donor,program,project,donation,grant,region,date
100,Beneficiary 100,WHO,Education,Project-0100,35442,Grant-0100,Asia,2024-04-09
101,Beneficiary 101,WHO,Water,Project-0101,178,Grant-0101,Latin America,2024-04-10
102,Beneficiary 102,Gates Foundation,Health,Project-0102,44570,Grant-0102,Asia,2024-04-11
103,Beneficiary 103,USAID,Health,Project-0103,42648,Grant-0103,Asia,2024-04-12
104,Beneficiary 104,Red Cross,Health,Project-0104,28378,Grant-0104,Asia,2024-04-13
105,Beneficiary 105,UNICEF,Shelter,Project-0105,34312,Grant-0105,Asia,2024-04-14
106,Beneficiary 106,UNICEF,Health,Project-0106,27669,Grant-0106,Latin America,2024-04-15
107,Beneficiary 107,Red Cross,Shelter,Project-0107,24373,Grant-0107,Asia,2024-04-16
108,Beneficiary 108,Red Cross,Shelter,Project-0108,2946,Grant-0108,Africa,2024-04-17
109,Beneficiary 109,Red Cross,Food Security,Project-0109,45820,Grant-0109,Africa,2024-04-18
110,Beneficiary 110,Red Cross,Shelter,Project-0110,34822,Grant-0110,Africa,2024-04-19
111,Beneficiary 111,UNICEF,Education,Project-0111,28212,Grant-0111,Middle East,2024-04-20
112,Beneficiary 112,WHO,Health,Project-0112,15139,Grant-0112,Africa,2024-04-21
113,Beneficiary 113,WHO,Shelter,Project-0113,31696,Grant-0113,Africa,2024-04-22
114,Beneficiary 114,Gates Foundation,Water,Project-0114,25084,Grant-0114,Middle East,2024-04-23
115,Beneficiary 115,WHO,Shelter,Project-0115,23071,Grant-0115,Latin America,2024-04-24
116,Beneficiary 116,USAID,Shelter,Project-0116,38703,Grant-0116,Latin America,2024-04-25
117,Beneficiary 117,USAID,Food Security,Project-0117,48687,Grant-0117,Middle East,2024-04-26
118,Beneficiary 118,Red Cross,Education,Project-0118,45759,Grant-0118,Latin America,2024-04-27
119,Beneficiary 119,Gates Foundation,Water,Project-0119,37856,Grant-0119,Middle East,2024-04-28
120,Beneficiary 120,UNICEF,Food Security,Project-0120,6503,Grant-0120,Asia,2024-04-29
121,Beneficiary 121,WHO,Education,Project-0121,27984,Grant-0121,Latin America,2024-04-30
122,Beneficiary 122,WHO,Shelter,Project-0122,8874,Grant-0122,Middle East,2024-05-01
123,Beneficiary 123,UNICEF,Water,Project-0123,16780,Grant-0123,Asia,2024-05-02
124,Beneficiary 124,USAID,Education,Project-0124,31369,Grant-0124,Asia,2024-05-03
125,Beneficiary 125,Red Cross,Food Security,Project-0125,15337,Grant-0125,Africa,2024-05-04
126,Beneficiary 126,Gates Foundation,Shelter,Project-0126,5593,Grant-0126,Middle East,2024-05-05
127,Beneficiary 127,USAID,Shelter,Project-0127,18664,Grant-0127,Middle East,2024-05-06
128,Beneficiary 128,Gates Foundation,Health,Project-0128,39309,Grant-0128,Africa,2024-05-07
129,Beneficiary 129,Red Cross,Food Security,Project-0129,35733,Grant-0129,Latin America,2024-05-08
130,Beneficiary 130,WHO,Water,Project-0130,26881,Grant-0130,Middle East,2024-05-09
131,Beneficiary 131,Red Cross,Shelter,Project-0131,16995,Grant-0131,Asia,2024-05-10
132,Beneficiary 132,USAID,Health,Project-0132,12487,Grant-0132,Middle East,2024-05-11
133,Beneficiary 133,WHO,Education,Project-0133,458,Grant-0133,Africa,2024-05-12
134,Beneficiary 134,Red Cross,Shelter,Project-0134,46574,Grant-0134,Middle East,2024-05-13
135,Beneficiary 135,WHO,Education,Project-0135,48835,Grant-0135,Latin America,2024-05-14
136,Beneficiary 136,WHO,Shelter,Project-0136,566,Grant-0136,Africa,2024-05-15
137,Beneficiary 137,Gates Foundation,Education,Project-0137,37978,Grant-0137,Africa,2024-05-16
138,Beneficiary 138,Gates Foundation,Food Security,Project-0138,34345,Grant-0138,Asia,2024-05-17
139,Beneficiary 139,USAID,Education,Project-0139,7822,Grant-0139,Middle East,2024-05-18
140,Beneficiary 140,Red Cross,Education,Project-0140,34163,Grant-0140,Africa,2024-05-19
141,Beneficiary 141,UNICEF,Shelter,Project-0141,571,Grant-0141,Latin America,2024-05-20
142,Beneficiary 142,Red Cross,Shelter,Project-0142,24677,Grant-0142,Latin America,2024-05-21
143,Beneficiary 143,WHO,Education,Project-0143,42996,Grant-0143,Latin America,2024-05-22
144,Beneficiary 144,USAID,Food Security,Project-0144,13562,Grant-0144,Asia,2024-05-23
145,Beneficiary 145,USAID,Water,Project-0145,45173,Grant-0145,Latin America,2024-05-24
146,Beneficiary 146,UNICEF,Health,Project-0146,20802,Grant-0146,Asia,2024-05-25
147,Beneficiary 147,WHO,Education,Project-0147,26894,Grant-0147,Latin America,2024-05-26
148,Beneficiary 148,WHO,Food Security,Project-0148,23841,Grant-0148,Middle East,2024-05-27
149,Beneficiary 149,USAID,Education,Project-0149,7085,Grant-0149,Latin America,2024-05-28
150,Beneficiary 150,USAID,Health,Project-0150,10243,Grant-0150,Latin America,2024-05-29
151,Beneficiary 151,UNICEF,Water,Project-0151,28023,Grant-0151,Asia,2024-05-30
152,Beneficiary 152,UNICEF,Water,Project-0152,42801,Grant-0152,Middle East,2024-05-31
153,Beneficiary 153,Gates Foundation,Education,Project-0153,38462,Grant-0153,Middle East,2024-06-01
154,Beneficiary 154,USAID,Health,Project-0154,16722,Grant-0154,Asia,2024-06-02
155,Beneficiary 155,UNICEF,Education,Project-0155,17224,Grant-0155,Middle East,2024-06-03
156,Beneficiary 156,WHO,Shelter,Project-0156,35234,Grant-0156,Latin America,2024-06-04
157,Beneficiary 157,Gates Foundation,Water,Project-0157,27858,Grant-0157,Latin America,2024-06-05
158,Beneficiary 158,USAID,Food Security,Project-0158,37106,Grant-0158,Middle East,2024-06-06
159,Beneficiary 159,UNICEF,Food Security,Project-0159,24062,Grant-0159,Latin America,2024-06-07
160,Beneficiary 160,USAID,Food Security,Project-0160,40200,Grant-0160,Middle East,2024-06-08
161,Beneficiary 161,Gates Foundation,Health,Project-0161,18159,Grant-0161,Asia,2024-06-09
162,Beneficiary 162,Red Cross,Health,Project-0162,44704,Grant-0162,Asia,2024-06-10
163,Beneficiary 163,USAID,Water,Project-0163,26147,Grant-0163,Asia,2024-06-11
164,Beneficiary 164,USAID,Health,Project-0164,49577,Grant-0164,Africa,2024-06-12
165,Beneficiary 165,USAID,Shelter,Project-0165,13449,Grant-0165,Latin America,2024-06-13
166,Beneficiary 166,USAID,Water,Project-0166,27181,Grant-0166,Asia,2024-06-14
167,Beneficiary 167,UNICEF,Water,Project-0167,36282,Grant-0167,Middle East,2024-06-15
168,Beneficiary 168,Red Cross,Shelter,Project-0168,36640,Grant-0168,Middle East,2024-06-16
169,Beneficiary 169,WHO,Shelter,Project-0169,31719,Grant-0169,Asia,2024-06-17
170,Beneficiary 170,USAID,Shelter,Project-0170,11812,Grant-0170,Asia,2024-06-18
171,Beneficiary 171,WHO,Education,Project-0171,24362,Grant-0171,Asia,2024-06-19
172,Beneficiary 172,UNICEF,Food Security,Project-0172,36740,Grant-0172,Middle East,2024-06-20
173,Beneficiary 173,Red Cross,Food Security,Project-0173,36466,Grant-0173,Africa,2024-06-21
174,Beneficiary 174,Gates Foundation,Water,Project-0174,31803,Grant-0174,Asia,2024-06-22
175,Beneficiary 175,Gates Foundation,Shelter,Project-0175,16731,Grant-0175,Middle East,2024-06-23
176,Beneficiary 176,Gates Foundation,Health,Project-0176,20196,Grant-0176,Middle East,2024-06-24
177,Beneficiary 177,Gates Foundation,Shelter,Project-0177,37956,Grant-0177,Asia,2024-06-25
178,Beneficiary 178,Gates Foundation,Water,Project-0178,22667,Grant-0178,Latin America,2024-06-26
179,Beneficiary 179,Red Cross,Food Security,Project-0179,46335,Grant-0179,Middle East,2024-06-27
180,Beneficiary 180,USAID,Education,Project-0180,26191,Grant-0180,Latin America,2024-06-28
181,Beneficiary 181,Gates Foundation,Shelter,Project-0181,48320,Grant-0181,Latin America,2024-06-29
182,Beneficiary 182,USAID,Food Security,Project-0182,9148,Grant-0182,Africa,2024-06-30
183,Beneficiary 183,WHO,Water,Project-0183,43306,Grant-0183,Middle East,2024-07-01
184,Beneficiary 184,USAID,Water,Project-0184,7904,Grant-0184,Africa,2024-07-02
185,Beneficiary 185,WHO,Food Security,Project-0185,49108,Grant-0185,Asia,2024-07-03
186,Beneficiary 186,USAID,Food Security,Project-0186,15158,Grant-0186,Africa,2024-07-04
187,Beneficiary 187,WHO,Shelter,Project-0187,29368,Grant-0187,Asia,2024-07-05
188,Beneficiary 188,USAID,Health,Project-0188,45930,Grant-0188,Latin America,2024-07-06
189,Beneficiary 189,USAID,Shelter,Project-0189,10703,Grant-0189,Middle East,2024-07-07
190,Beneficiary 190,Red Cross,Education,Project-0190,6671,Grant-0190,Africa,2024-07-08
191,Beneficiary 191,WHO,Food Security,Project-0191,14154,Grant-0191,Middle East,2024-07-09
192,Beneficiary 192,USAID,Education,Project-0192,33414,Grant-0192,Latin America,2024-07-10
193,Beneficiary 193,Red Cross,Education,Project-0193,26351,Grant-0193,Latin America,2024-07-11
194,Beneficiary 194,Red Cross,Health,Project-0194,22279,Grant-0194,Latin America,2024-07-12
195,Beneficiary 195,WHO,Shelter,Project-0195,36182,Grant-0195,Latin America,2024-07-13
196,Beneficiary 196,USAID,Water,Project-0196,40340,Grant-0196,Latin America,2024-07-14
197,Beneficiary 197,Red Cross,Education,Project-0197,45782,Grant-0197,Latin America,2024-07-15
198,Beneficiary 198,Gates Foundation,Education,Project-0198,44963,Grant-0198,Africa,2024-07-16
199,Beneficiary 199,Gates Foundation,Education,Project-0199,46420,Grant-0199,Middle East,2024-07-17
200,Beneficiary 200,Gates Foundation,Education,Project-0200,3511,Grant-0200,Africa,2024-07-18
