machine_id,machine_name,production_id,output,downtime,product,operator,date
92,Machine-092,1092,1421,119,Widget A,Operator 02,2024-04-01
93,Machine-093,1093,2429,5,Component X,Operator 03,2024-04-02
94,Machine-094,1094,4973,87,Widget A,Operator 04,2024-04-03
95,Machine-095,1095,4788,108,Component X,Operator 05,2024-04-04
96,Machine-096,1096,4705,76,Widget A,Operator 06,2024-04-05
97,Machine-097,1097,1553,111,Widget B,Operator 07,2024-04-06
98,Machine-098,1098,3830,11,Part Y,Operator 08,2024-04-07
99,Machine-099,1099,4842,42,Part Y,Operator 09,2024-04-08
100,Machine-100,1100,3050,59,Component X,Operator 10,2024-04-09
101,Machine-101,1101,393,113,Part Y,Operator 11,2024-04-10
102,Machine-102,1102,862,5,Part Y,Operator 12,2024-04-11
103,Machine-103,1103,2551,13,Part Y,Operator 13,2024-04-12
104,Machine-104,1104,2744,66,Part Y,Operator 14,2024-04-13
105,Machine-105,1105,3119,98,Widget B,Operator 15,2024-04-14
106,Machine-106,1106,3204,84,Widget B,Operator 01,2024-04-15
107,Machine-107,1107,654,95,Part Y,Operator 02,2024-04-16
108,Machine-108,1108,3600,39,Widget B,Operator 03,2024-04-17
109,Machine-109,1109,4609,2,Widget B,Operator 04,2024-04-18
110,Machine-110,1110,631,73,Part Y,Operator 05,2024-04-19
111,Machine-111,1111,2498,97,Component X,Operator 06,2024-04-20
112,Machine-112,1112,3956,39,Part Y,Operator 07,2024-04-21
113,Machine-113,1113,1202,81,Widget B,Operator 08,2024-04-22
114,Machine-114,1114,1099,114,Component X,Operator 09,2024-04-23
115,Machine-115,1115,2348,26,Widget B,Operator 10,2024-04-24
116,Machine-116,1116,2796,41,Widget B,Operator 11,2024-04-25
117,Machine-117,1117,4417,25,Widget A,Operator 12,2024-04-26
118,Machine-118,1118,3489,24,Widget A,Operator 13,2024-04-27
119,Machine-119,1119,4397,36,Widget A,Operator 14,2024-04-28
120,Machine-120,1120,1819,35,Widget B,Operator 15,2024-04-29
121,Machine-121,1121,1812,68,Part Y,Operator 01,2024-04-30
122,Machine-122,1122,576,40,Part Y,Operator 02,2024-05-01
123,Machine-123,1123,995,98,Widget B,Operator 03,2024-05-02
124,Machine-124,1124,4780,56,Widget A,Operator 04,2024-05-03
125,Machine-125,1125,4433,85,Widget B,Operator 05,2024-05-04
126,Machine-126,1126,818,15,Part Y,Operator 06,2024-05-05
127,Machine-127,1127,4062,34,Part Y,Operator 07,2024-05-06
128,Machine-128,1128,2452,19,Part Y,Operator 08,2024-05-07
129,Machine-129,1129,3598,20,Widget B,Operator 09,2024-05-08
130,Machine-130,1130,2692,35,Part Y,Operator 10,2024-05-09
131,Machine-131,1131,2227,14,Part Y,Operator 11,2024-05-10
132,Machine-132,1132,4404,1,Part Y,Operator 12,2024-05-11
133,Machine-133,1133,4811,79,Part Y,Operator 13,2024-05-12
134,Machine-134,1134,2998,71,Component X,Operator 14,2024-05-13
135,Machine-135,1135,1162,65,Widget B,Operator 15,2024-05-14
136,Machine-136,1136,4709,13,Widget B,Operator 01,2024-05-15
137,Machine-137,1137,4166,26,Part Y,Operator 02,2024-05-16
138,Machine-138,1138,4357,69,Widget A,Operator 03,2024-05-17
139,Machine-139,1139,4177,44,Part Y,Operator 04,2024-05-18
140,Machine-140,1140,4134,70,Widget B,Operator 05,2024-05-19
141,Machine-141,1141,1573,40,Component X,Operator 06,2024-05-20
142,Machine-142,1142,2006,34,Part Y,Operator 07,2024-05-21
143,Machine-143,1143,2479,18,Component X,Operator 08,2024-05-22
144,Machine-144,1144,1685,120,Widget A,Operator 09,2024-05-23
145,Machine-145,1145,112,90,Widget A,Operator 10,2024-05-24
146,Machine-146,1146,1068,102,Part Y,Operator 11,2024-05-25
147,Machine-147,1147,296,36,Component X,Operator 12,2024-05-26
148,Machine-148,1148,3908,73,Widget A,Operator 13,2024-05-27
149,Machine-149,1149,1066,31,Part Y,Operator 14,2024-05-28
150,Machine-150,1150,1798,21,Widget A,Operator 15,2024-05-29
151,Machine-151,1151,3496,9,Widget B,Operator 01,2024-05-30
152,Machine-152,1152,3491,39,Component X,Operator 02,2024-05-31
153,Machine-153,1153,472,78,Part Y,Operator 03,2024-06-01
154,Machine-154,1154,2834,114,Widget A,Operator 04,2024-06-02
155,Machine-155,1155,2964,43,Widget A,Operator 05,2024-06-03
156,Machine-156,1156,4690,69,Widget B,Operator 06,2024-06-04
157,Machine-157,1157,1839,56,Part Y,Operator 07,2024-06-05
158,Machine-158,1158,192,6,Widget A,Operator 08,2024-06-06
159,Machine-159,1159,1748,16,Component X,Operator 09,2024-06-07
160,Machine-160,1160,2407,3,Widget A,Operator 10,2024-06-08
161,Machine-161,1161,2184,60,Component X,Operator 11,2024-06-09
162,Machine-162,1162,655,115,Widget A,Operator 12,2024-06-10
163,Machine-163,1163,2621,86,Part Y,Operator 13,2024-06-11
164,Machine-164,1164,2559,6,Part Y,Operator 14,2024-06-12
165,Machine-165,1165,4250,13,Part Y,Operator 15,2024-06-13
166,Machine-166,1166,4605,49,Component X,Operator 01,2024-06-14
167,Machine-167,1167,2753,6,Part Y,Operator 02,2024-06-15
168,Machine-168,1168,150,11,Component X,Operator 03,2024-06-16
169,Machine-169,1169,1032,54,Component X,Operator 04,2024-06-17
170,Machine-170,1170,2830,50,Component X,Operator 05,2024-06-18
171,Machine-171,1171,2896,22,Widget B,Operator 06,2024-06-19
172,Machine-172,1172,3344,90,Widget A,Operator 07,2024-06-20
173,Machine-173,1173,4760,76,Component X,Operator 08,2024-06-21
174,Machine-174,1174,338,114,Component X,Operator 09,2024-06-22
175,Machine-175,1175,1538,75,Widget A,Operator 10,2024-06-23
176,Machine-176,1176,1689,80,Part Y,Operator 11,2024-06-24
177,Machine-177,1177,2807,107,Widget B,Operator 12,2024-06-25
178,Machine-178,1178,2868,88,Widget A,Operator 13,2024-06-26
179,Machine-179,1179,4024,89,Component X,Operator 14,2024-06-27
180,Machine-180,1180,3987,57,Widget A,Operator 15,2024-06-28
181,Machine-181,1181,391,78,Component X,Operator 01,2024-06-29
182,Machine-182,1182,1212,45,Part Y,Operator 02,2024-06-30
183,Machine-183,1183,4044,39,Widget A,Operator 03,2024-07-01
184,Machine-184,1184,1372,42,Widget B,Operator 04,2024-07-02
185,Machine-185,1185,3873,104,Widget A,Operator 05,2024-07-03
186,Machine-186,1186,4498,25,Component X,Operator 06,2024-07-04
187,Machine-187,1187,2845,91,Component X,Operator 07,2024-07-05
188,Machine-188,1188,3888,97,Widget B,Operator 08,2024-07-06
189,Machine-189,1189,3491,85,Component X,Operator 09,2024-07-07
190,Machine-190,1190,558,103,Component X,Operator 10,2024-07-08
191,Machine-191,1191,4368,68,Component X,Operator 11,2024-07-09
192,Machine-192,1192,2552,10,Widget A,Operator 12,2024-07-10
193,Machine-193,1193,4728,118,Widget A,Operator 13,2024-07-11
194,Machine-194,1194,2684,96,Widget B,Operator 14,2024-07-12
195,Machine-195,1195,4648,97,Widget B,Operator 15,2024-07-13
196,Machine-196,1196,4489,59,Part Y,Operator 01,2024-07-14
197,Machine-197,1197,253,72,Component X,Operator 02,2024-07-15
198,Machine-198,1198,1806,16,Widget B,Operator 03,2024-07-16
199,Machine-199,1199,4830,11,Component X,Operator 04,2024-07-17
200,Machine-200,1200,2817,104,Widget B,Operator 05,2024-07-18
