order_id,customer,product,supplier,inventory,sales,region,date
107,Customer 107,Laptop,Supplier 07,238,3007,South,2024-04-16
108,Customer 108,Monitor,Supplier 08,160,5401,North,2024-04-17
109,Customer 109,Keyboard,Supplier 09,208,1075,West,2024-04-18
110,Customer 110,Keyboard,Supplier 10,61,459,North,2024-04-19
111,Customer 111,Laptop,Supplier 01,274,2520,West,2024-04-20
112,Customer 112,Tablet,Supplier 02,183,9711,South,2024-04-21
113,Customer 113,Phone,Supplier 03,493,2420,South,2024-04-22
114,Customer 114,Laptop,Supplier 04,394,1917,Central,2024-04-23
115,Customer 115,Laptop,Supplier 05,106,8722,East,2024-04-24
116,Customer 116,Phone,Supplier 06,231,6078,East,2024-04-25
117,Customer 117,Laptop,Supplier 07,157,1288,North,2024-04-26
118,Customer 118,Phone,Supplier 08,237,6220,North,2024-04-27
119,Customer 119,Monitor,Supplier 09,135,6581,West,2024-04-28
120,Customer 120,Tablet,Supplier 10,436,9701,Central,2024-04-29
121,Customer 121,Keyboard,Supplier 01,61,1755,West,2024-04-30
122,Customer 122,Keyboard,Supplier 02,46,5614,Central,2024-05-01
123,Customer 123,Tablet,Supplier 03,80,5044,East,2024-05-02
124,Customer 124,Phone,Supplier 04,413,5385,East,2024-05-03
125,Customer 125,Tablet,Supplier 05,351,2335,Central,2024-05-04
126,Customer 126,Phone,Supplier 06,155,2680,West,2024-05-05
127,Customer 127,Tablet,Supplier 07,423,7257,North,2024-05-06
128,Customer 128,Laptop,Supplier 08,360,8082,Central,2024-05-07
129,Customer 129,Laptop,Supplier 09,356,5298,Central,2024-05-08
130,Customer 130,Tablet,Supplier 10,308,2954,Central,2024-05-09
131,Customer 131,Monitor,Supplier 01,20,9307,West,2024-05-10
132,Customer 132,Tablet,Supplier 02,110,5946,North,2024-05-11
133,Customer 133,Keyboard,Supplier 03,427,3757,West,2024-05-12
134,Customer 134,Laptop,Supplier 04,438,9749,South,2024-05-13
135,Customer 135,Tablet,Supplier 05,167,2972,South,2024-05-14
136,Customer 136,Keyboard,Supplier 06,75,6299,Central,2024-05-15
137,Customer 137,Laptop,Supplier 07,46,5126,Central,2024-05-16
138,Customer 138,Monitor,Supplier 08,364,4925,Central,2024-05-17
139,Customer 139,Monitor,Supplier 09,127,2186,North,2024-05-18
140,Customer 140,Keyboard,Supplier 10,495,3011,North,2024-05-19
141,Customer 141,Tablet,Supplier 01,182,129,Central,2024-05-20
142,Customer 142,Laptop,Supplier 02,202,9485,North,2024-05-21
143,Customer 143,Monitor,Supplier 03,262,6515,East,2024-05-22
144,Customer 144,Keyboard,Supplier 04,25,9397,Central,2024-05-23
145,Customer 145,Phone,Supplier 05,346,630,East,2024-05-24
146,Customer 146,Tablet,Supplier 06,153,3083,West,2024-05-25
147,Customer 147,Phone,Supplier 07,133,9969,East,2024-05-26
148,Customer 148,Tablet,Supplier 08,419,5313,West,2024-05-27
149,Customer 149,Laptop,Supplier 09,89,3719,West,2024-05-28
150,Customer 150,Keyboard,Supplier 10,15,9365,Central,2024-05-29
151,Customer 151,Laptop,Supplier 01,487,1805,Central,2024-05-30
152,Customer 152,Phone,Supplier 02,207,8229,West,2024-05-31
153,Customer 153,Keyboard,Supplier 03,437,2404,North,2024-06-01
154,Customer 154,Laptop,Supplier 04,231,5525,South,2024-06-02
155,Customer 155,Laptop,Supplier 05,284,1374,East,2024-06-03
156,Customer 156,Laptop,Supplier 06,383,3999,West,2024-06-04
157,Customer 157,Phone,Supplier 07,281,5782,South,2024-06-05
158,Customer 158,Laptop,Supplier 08,127,5334,Central,2024-06-06
159,Customer 159,Monitor,Supplier 09,48,2850,Central,2024-06-07
160,Customer 160,Tablet,Supplier 10,236,1553,West,2024-06-08
161,Customer 161,Monitor,Supplier 01,52,5600,North,2024-06-09
162,Customer 162,Phone,Supplier 02,411,7417,West,2024-06-10
163,Customer 163,Phone,Supplier 03,406,286,East,2024-06-11
164,Customer 164,Laptop,Supplier 04,71,4445,South,2024-06-12
165,Customer 165,Keyboard,Supplier 05,62,3535,North,2024-06-13
166,Customer 166,Monitor,Supplier 06,6,4188,West,2024-06-14
167,Customer 167,Phone,Supplier 07,31,1210,East,2024-06-15
168,Customer 168,Tablet,Supplier 08,425,5842,East,2024-06-16
169,Customer 169,Phone,Supplier 09,399,4305,North,2024-06-17
170,Customer 170,Monitor,Supplier 10,113,1870,East,2024-06-18
171,Customer 171,Tablet,Supplier 01,66,120,East,2024-06-19
172,Customer 172,Tablet,Supplier 02,101,888,East,2024-06-20
173,Customer 173,Laptop,Supplier 03,421,6423,East,2024-06-21
174,Customer 174,Keyboard,Supplier 04,205,7279,West,2024-06-22
175,Customer 175,Tablet,Supplier 05,190,6975,North,2024-06-23
176,Customer 176,Laptop,Supplier 06,351,2825,South,2024-06-24
177,Customer 177,Keyboard,Supplier 07,322,6883,South,2024-06-25
178,Customer 178,Laptop,Supplier 08,480,8178,East,2024-06-26
179,Customer 179,Phone,Supplier 09,330,6304,West,2024-06-27
180,Customer 180,Phone,Supplier 10,43,5854,East,2024-06-28
181,Customer 181,Keyboard,Supplier 01,298,9046,East,2024-06-29
182,Customer 182,Laptop,Supplier 02,300,6249,West,2024-06-30
183,Customer 183,Monitor,Supplier 03,132,1761,Central,2024-07-01
184,Customer 184,Laptop,Supplier 04,469,7955,North,2024-07-02
185,Customer 185,Monitor,Supplier 05,416,9570,South,2024-07-03
186,Customer 186,Tablet,Supplier 06,38,3795,West,2024-07-04
187,Customer 187,Tablet,Supplier 07,11,2764,South,2024-07-05
188,Customer 188,Tablet,Supplier 08,33,7493,West,2024-07-06
189,Customer 189,Laptop,Supplier 09,101,1307,West,2024-07-07
190,Customer 190,Keyboard,Supplier 10,462,647,Central,2024-07-08
191,Customer 191,Monitor,Supplier 01,330,4931,East,2024-07-09
192,Customer 192,Laptop,Supplier 02,227,428,North,2024-07-10
193,Customer 193,Tablet,Supplier 03,414,5321,Central,2024-07-11
194,Customer 194,Phone,Supplier 04,65,4378,South,2024-07-12
195,Customer 195,Tablet,Supplier 05,47,1815,North,2024-07-13
196,Customer 196,Keyboard,Supplier 06,463,1315,East,2024-07-14
197,Customer 197,Tablet,Supplier 07,433,5700,Central,2024-07-15
198,Customer 198,Keyboard,Supplier 08,424,2887,West,2024-07-16
199,Customer 199,Phone,Supplier 09,414,6251,South,2024-07-17
200,Customer 200,Monitor,Supplier 10,169,2736,Central,2024-07-18
