project_id,project_name,department,budget,procurement,citizen,revenue,asset,date
58,Gov Project 058,Education,2535947,Tender-0058,Citizen 00058,720877,Asset-0058,2024-02-27
59,Gov Project 059,Defense,3540525,Tender-0059,Citizen 00059,749780,Asset-0059,2024-02-28
60,Gov Project 060,Defense,857080,Tender-0060,Citizen 00060,1745392,Asset-0060,2024-02-29
61,Gov Project 061,Education,4374670,Tender-0061,Citizen 00061,1333883,Asset-0061,2024-03-01
62,Gov Project 062,Defense,2274732,Tender-0062,Citizen 00062,1682538,Asset-0062,2024-03-02
63,Gov Project 063,Education,1160611,Tender-0063,Citizen 00063,617333,Asset-0063,2024-03-03
64,Gov Project 064,Health,3523365,Tender-0064,Citizen 00064,1153590,Asset-0064,2024-03-04
65,Gov Project 065,Defense,890084,Tender-0065,Citizen 00065,1099682,Asset-0065,2024-03-05
66,Gov Project 066,Education,4301484,Tender-0066,Citizen 00066,789104,Asset-0066,2024-03-06
67,Gov Project 067,Agriculture,997629,Tender-0067,Citizen 00067,1477402,Asset-0067,2024-03-07
68,Gov Project 068,Agriculture,2381516,Tender-0068,Citizen 00068,227973,Asset-0068,2024-03-08
69,Gov Project 069,Defense,966406,Tender-0069,Citizen 00069,101003,Asset-0069,2024-03-09
70,Gov Project 070,Agriculture,901404,Tender-0070,Citizen 00070,1885887,Asset-0070,2024-03-10
71,Gov Project 071,Works,4185337,Tender-0071,Citizen 00071,349258,Asset-0071,2024-03-11
72,Gov Project 072,Works,1676368,Tender-0072,Citizen 00072,1037684,Asset-0072,2024-03-12
73,Gov Project 073,Agriculture,1685619,Tender-0073,Citizen 00073,299543,Asset-0073,2024-03-13
74,Gov Project 074,Education,2216152,Tender-0074,Citizen 00074,1728520,Asset-0074,2024-03-14
75,Gov Project 075,Agriculture,4398467,Tender-0075,Citizen 00075,1508356,Asset-0075,2024-03-15
76,Gov Project 076,Agriculture,1701757,Tender-0076,Citizen 00076,1562158,Asset-0076,2024-03-16
77,Gov Project 077,Agriculture,3012465,Tender-0077,Citizen 00077,1518219,Asset-0077,2024-03-17
78,Gov Project 078,Education,3447284,Tender-0078,Citizen 00078,863177,Asset-0078,2024-03-18
79,Gov Project 079,Education,2487585,Tender-0079,Citizen 00079,229314,Asset-0079,2024-03-19
80,Gov Project 080,Works,1355311,Tender-0080,Citizen 00080,538283,Asset-0080,2024-03-20
81,Gov Project 081,Defense,340559,Tender-0081,Citizen 00081,1286049,Asset-0081,2024-03-21
82,Gov Project 082,Works,4608121,Tender-0082,Citizen 00082,415877,Asset-0082,2024-03-22
83,Gov Project 083,Education,4173725,Tender-0083,Citizen 00083,398307,Asset-0083,2024-03-23
84,Gov Project 084,Education,1752263,Tender-0084,Citizen 00084,258222,Asset-0084,2024-03-24
85,Gov Project 085,Education,4042101,Tender-0085,Citizen 00085,1955804,Asset-0085,2024-03-25
86,Gov Project 086,Education,2783304,Tender-0086,Citizen 00086,1792181,Asset-0086,2024-03-26
87,Gov Project 087,Education,1977172,Tender-0087,Citizen 00087,828963,Asset-0087,2024-03-27
88,Gov Project 088,Education,32968,Tender-0088,Citizen 00088,457123,Asset-0088,2024-03-28
89,Gov Project 089,Health,116949,Tender-0089,Citizen 00089,963494,Asset-0089,2024-03-29
90,Gov Project 090,Health,756609,Tender-0090,Citizen 00090,1734215,Asset-0090,2024-03-30
91,Gov Project 091,Agriculture,936361,Tender-0091,Citizen 00091,1643757,Asset-0091,2024-03-31
92,Gov Project 092,Health,4826342,Tender-0092,Citizen 00092,404672,Asset-0092,2024-04-01
93,Gov Project 093,Works,4154845,Tender-0093,Citizen 00093,1508213,Asset-0093,2024-04-02
94,Gov Project 094,Agriculture,1261114,Tender-0094,Citizen 00094,713698,Asset-0094,2024-04-03
95,Gov Project 095,Defense,765668,Tender-0095,Citizen 00095,231001,Asset-0095,2024-04-04
96,Gov Project 096,Education,4302495,Tender-0096,Citizen 00096,1592857,Asset-0096,2024-04-05
97,Gov Project 097,Health,639550,Tender-0097,Citizen 00097,874207,Asset-0097,2024-04-06
98,Gov Project 098,Works,859686,Tender-0098,Citizen 00098,102518,Asset-0098,2024-04-07
99,Gov Project 099,Defense,2156578,Tender-0099,Citizen 00099,1948276,Asset-0099,2024-04-08
100,Gov Project 100,Education,1949113,Tender-0100,Citizen 00100,1333001,Asset-0100,2024-04-09
101,Gov Project 101,Education,3841507,Tender-0101,Citizen 00101,1761293,Asset-0101,2024-04-10
102,Gov Project 102,Defense,2493214,Tender-0102,Citizen 00102,1414583,Asset-0102,2024-04-11
103,Gov Project 103,Defense,2225641,Tender-0103,Citizen 00103,1239826,Asset-0103,2024-04-12
104,Gov Project 104,Defense,3904640,Tender-0104,Citizen 00104,263409,Asset-0104,2024-04-13
105,Gov Project 105,Works,430103,Tender-0105,Citizen 00105,1624305,Asset-0105,2024-04-14
106,Gov Project 106,Agriculture,847257,Tender-0106,Citizen 00106,1875144,Asset-0106,2024-04-15
107,Gov Project 107,Agriculture,1475504,Tender-0107,Citizen 00107,949776,Asset-0107,2024-04-16
108,Gov Project 108,Health,340884,Tender-0108,Citizen 00108,964211,Asset-0108,2024-04-17
109,Gov Project 109,Education,2447454,Tender-0109,Citizen 00109,1385883,Asset-0109,2024-04-18
110,Gov Project 110,Health,3031699,Tender-0110,Citizen 00110,1240885,Asset-0110,2024-04-19
111,Gov Project 111,Agriculture,2633177,Tender-0111,Citizen 00111,1062378,Asset-0111,2024-04-20
112,Gov Project 112,Defense,3583506,Tender-0112,Citizen 00112,287352,Asset-0112,2024-04-21
113,Gov Project 113,Education,982248,Tender-0113,Citizen 00113,1051119,Asset-0113,2024-04-22
114,Gov Project 114,Agriculture,806904,Tender-0114,Citizen 00114,14096,Asset-0114,2024-04-23
115,Gov Project 115,Education,394945,Tender-0115,Citizen 00115,1117254,Asset-0115,2024-04-24
116,Gov Project 116,Health,91137,Tender-0116,Citizen 00116,1548952,Asset-0116,2024-04-25
117,Gov Project 117,Agriculture,1170936,Tender-0117,Citizen 00117,106862,Asset-0117,2024-04-26
118,Gov Project 118,Health,1440360,Tender-0118,Citizen 00118,1165199,Asset-0118,2024-04-27
119,Gov Project 119,Education,2767006,Tender-0119,Citizen 00119,1966483,Asset-0119,2024-04-28
120,Gov Project 120,Works,3009157,Tender-0120,Citizen 00120,912669,Asset-0120,2024-04-29
121,Gov Project 121,Defense,3681815,Tender-0121,Citizen 00121,1764124,Asset-0121,2024-04-30
122,Gov Project 122,Health,2260742,Tender-0122,Citizen 00122,1232087,Asset-0122,2024-05-01
123,Gov Project 123,Education,789732,Tender-0123,Citizen 00123,1017781,Asset-0123,2024-05-02
124,Gov Project 124,Agriculture,3135781,Tender-0124,Citizen 00124,1943546,Asset-0124,2024-05-03
125,Gov Project 125,Health,2884966,Tender-0125,Citizen 00125,1071051,Asset-0125,2024-05-04
126,Gov Project 126,Education,1544019,Tender-0126,Citizen 00126,1643046,Asset-0126,2024-05-05
127,Gov Project 127,Works,964892,Tender-0127,Citizen 00127,1936817,Asset-0127,2024-05-06
128,Gov Project 128,Health,3371965,Tender-0128,Citizen 00128,1913788,Asset-0128,2024-05-07
129,Gov Project 129,Education,3367542,Tender-0129,Citizen 00129,376620,Asset-0129,2024-05-08
130,Gov Project 130,Health,3839724,Tender-0130,Citizen 00130,1455846,Asset-0130,2024-05-09
131,Gov Project 131,Education,2290301,Tender-0131,Citizen 00131,1218316,Asset-0131,2024-05-10
132,Gov Project 132,Defense,3245616,Tender-0132,Citizen 00132,369171,Asset-0132,2024-05-11
133,Gov Project 133,Education,4021809,Tender-0133,Citizen 00133,1536958,Asset-0133,2024-05-12
134,Gov Project 134,Education,3547810,Tender-0134,Citizen 00134,1714690,Asset-0134,2024-05-13
135,Gov Project 135,Education,1409041,Tender-0135,Citizen 00135,274236,Asset-0135,2024-05-14
136,Gov Project 136,Agriculture,958387,Tender-0136,Citizen 00136,222168,Asset-0136,2024-05-15
137,Gov Project 137,Education,1121587,Tender-0137,Citizen 00137,817448,Asset-0137,2024-05-16
138,Gov Project 138,Defense,501961,Tender-0138,Citizen 00138,1383923,Asset-0138,2024-05-17
139,Gov Project 139,Works,1347105,Tender-0139,Citizen 00139,1264436,Asset-0139,2024-05-18
140,Gov Project 140,Defense,880008,Tender-0140,Citizen 00140,1276211,Asset-0140,2024-05-19
141,Gov Project 141,Works,3499893,Tender-0141,Citizen 00141,1856147,Asset-0141,2024-05-20
142,Gov Project 142,Agriculture,4965572,Tender-0142,Citizen 00142,679955,Asset-0142,2024-05-21
143,Gov Project 143,Agriculture,4058970,Tender-0143,Citizen 00143,1062195,Asset-0143,2024-05-22
144,Gov Project 144,Agriculture,4782643,Tender-0144,Citizen 00144,1853409,Asset-0144,2024-05-23
145,Gov Project 145,Works,3685576,Tender-0145,Citizen 00145,811696,Asset-0145,2024-05-24
146,Gov Project 146,Defense,1530523,Tender-0146,Citizen 00146,883003,Asset-0146,2024-05-25
147,Gov Project 147,Health,3195580,Tender-0147,Citizen 00147,1282152,Asset-0147,2024-05-26
148,Gov Project 148,Agriculture,3018145,Tender-0148,Citizen 00148,1925802,Asset-0148,2024-05-27
149,Gov Project 149,Works,251728,Tender-0149,Citizen 00149,1457310,Asset-0149,2024-05-28
150,Gov Project 150,Defense,1106016,Tender-0150,Citizen 00150,1603815,Asset-0150,2024-05-29
151,Gov Project 151,Agriculture,4062365,Tender-0151,Citizen 00151,525594,Asset-0151,2024-05-30
152,Gov Project 152,Education,4104670,Tender-0152,Citizen 00152,578772,Asset-0152,2024-05-31
153,Gov Project 153,Defense,957388,Tender-0153,Citizen 00153,839393,Asset-0153,2024-06-01
154,Gov Project 154,Works,3460102,Tender-0154,Citizen 00154,724027,Asset-0154,2024-06-02
155,Gov Project 155,Health,3706757,Tender-0155,Citizen 00155,621926,Asset-0155,2024-06-03
156,Gov Project 156,Health,395643,Tender-0156,Citizen 00156,954686,Asset-0156,2024-06-04
157,Gov Project 157,Health,541301,Tender-0157,Citizen 00157,1692781,Asset-0157,2024-06-05
158,Gov Project 158,Education,2204567,Tender-0158,Citizen 00158,284701,Asset-0158,2024-06-06
159,Gov Project 159,Defense,2646018,Tender-0159,Citizen 00159,294784,Asset-0159,2024-06-07
160,Gov Project 160,Agriculture,113684,Tender-0160,Citizen 00160,870589,Asset-0160,2024-06-08
161,Gov Project 161,Defense,4412491,Tender-0161,Citizen 00161,1268585,Asset-0161,2024-06-09
162,Gov Project 162,Health,4847282,Tender-0162,Citizen 00162,1473036,Asset-0162,2024-06-10
163,Gov Project 163,Education,4749666,Tender-0163,Citizen 00163,1863992,Asset-0163,2024-06-11
164,Gov Project 164,Health,1888921,Tender-0164,Citizen 00164,1574564,Asset-0164,2024-06-12
165,Gov Project 165,Works,2847871,Tender-0165,Citizen 00165,1079359,Asset-0165,2024-06-13
166,Gov Project 166,Defense,4364523,Tender-0166,Citizen 00166,631866,Asset-0166,2024-06-14
167,Gov Project 167,Education,4398107,Tender-0167,Citizen 00167,1773055,Asset-0167,2024-06-15
168,Gov Project 168,Health,808948,Tender-0168,Citizen 00168,1476140,Asset-0168,2024-06-16
169,Gov Project 169,Education,3640991,Tender-0169,Citizen 00169,1153832,Asset-0169,2024-06-17
170,Gov Project 170,Works,2095214,Tender-0170,Citizen 00170,1810034,Asset-0170,2024-06-18
171,Gov Project 171,Works,4052719,Tender-0171,Citizen 00171,663318,Asset-0171,2024-06-19
172,Gov Project 172,Defense,2910356,Tender-0172,Citizen 00172,1497908,Asset-0172,2024-06-20
173,Gov Project 173,Education,3238579,Tender-0173,Citizen 00173,1550220,Asset-0173,2024-06-21
174,Gov Project 174,Health,1257003,Tender-0174,Citizen 00174,1966911,Asset-0174,2024-06-22
175,Gov Project 175,Health,4693730,Tender-0175,Citizen 00175,1165944,Asset-0175,2024-06-23
176,Gov Project 176,Agriculture,467733,Tender-0176,Citizen 00176,1331623,Asset-0176,2024-06-24
177,Gov Project 177,Health,107684,Tender-0177,Citizen 00177,460800,Asset-0177,2024-06-25
178,Gov Project 178,Defense,1326402,Tender-0178,Citizen 00178,426294,Asset-0178,2024-06-26
179,Gov Project 179,Works,4251008,Tender-0179,Citizen 00179,444799,Asset-0179,2024-06-27
180,Gov Project 180,Health,3946680,Tender-0180,Citizen 00180,1313974,Asset-0180,2024-06-28
181,Gov Project 181,Agriculture,4169364,Tender-0181,Citizen 00181,1503172,Asset-0181,2024-06-29
182,Gov Project 182,Defense,1397508,Tender-0182,Citizen 00182,614389,Asset-0182,2024-06-30
183,Gov Project 183,Defense,638015,Tender-0183,Citizen 00183,1444928,Asset-0183,2024-07-01
184,Gov Project 184,Defense,4134242,Tender-0184,Citizen 00184,729133,Asset-0184,2024-07-02
185,Gov Project 185,Defense,2699671,Tender-0185,Citizen 00185,1936879,Asset-0185,2024-07-03
186,Gov Project 186,Defense,2030747,Tender-0186,Citizen 00186,1415069,Asset-0186,2024-07-04
187,Gov Project 187,Defense,2785747,Tender-0187,Citizen 00187,283232,Asset-0187,2024-07-05
188,Gov Project 188,Works,2343351,Tender-0188,Citizen 00188,1494809,Asset-0188,2024-07-06
189,Gov Project 189,Works,432372,Tender-0189,Citizen 00189,1368329,Asset-0189,2024-07-07
190,Gov Project 190,Agriculture,4262431,Tender-0190,Citizen 00190,377900,Asset-0190,2024-07-08
191,Gov Project 191,Health,1878197,Tender-0191,Citizen 00191,1061741,Asset-0191,2024-07-09
192,Gov Project 192,Education,4627891,Tender-0192,Citizen 00192,1142687,Asset-0192,2024-07-10
193,Gov Project 193,Works,3186242,Tender-0193,Citizen 00193,1461077,Asset-0193,2024-07-11
194,Gov Project 194,Education,3392932,Tender-0194,Citizen 00194,1340628,Asset-0194,2024-07-12
195,Gov Project 195,Agriculture,1981322,Tender-0195,Citizen 00195,681082,Asset-0195,2024-07-13
196,Gov Project 196,Health,671278,Tender-0196,Citizen 00196,1494717,Asset-0196,2024-07-14
197,Gov Project 197,Works,3861164,Tender-0197,Citizen 00197,247022,Asset-0197,2024-07-15
198,Gov Project 198,Works,3736126,Tender-0198,Citizen 00198,1600460,Asset-0198,2024-07-16
199,Gov Project 199,Health,4816965,Tender-0199,Citizen 00199,743696,Asset-0199,2024-07-17
200,Gov Project 200,Health,3768923,Tender-0200,Citizen 00200,1184187,Asset-0200,2024-07-18
