project_id,project_name,department,budget,spent,status,start_date,end_date,contractor,revenue_amount,asset_value
PRJ1024,Project_24,Health,232830.29,51952.67,active,2024-01-25,2024-12-08,Infra Ltd,22751.92,397175.07
PRJ1025,Project_25,Finance,938954.18,717275.82,active,2024-01-26,2024-09-04,TechSol,7614.21,115490.64
PRJ1026,Project_26,Agriculture,224150.16,524071.67,completed,2024-01-27,2024-02-27,BuildCo,19197.57,456362.32
PRJ1027,Project_27,Transport,210048.92,129678.97,completed,2024-01-28,2024-10-30,ConsultPro,25155.83,286079.81
PRJ1028,Project_28,Transport,431737.94,20660.45,delayed,2024-01-29,2024-07-25,Infra Ltd,49795.03,74762.95
PRJ1029,Project_29,Agriculture,323985.67,193520.94,delayed,2024-01-30,2024-03-02,ConsultPro,19617.09,211714.59
PRJ1030,Project_30,Transport,782730.82,191263.02,completed,2024-01-31,2024-05-13,GreenWorks,38223.03,82119.33
PRJ1031,Project_31,Transport,117081.32,708052.89,active,2024-02-01,2024-12-07,ConsultPro,8895.91,308551.27
PRJ1032,Project_32,Transport,822797.35,296903.32,delayed,2024-02-02,2024-03-05,ConsultPro,47385.63,426278.13
PRJ1033,Project_33,Agriculture,612384.18,29105.97,delayed,2024-02-03,2024-12-10,Infra Ltd,6214.19,457804.14
PRJ1034,Project_34,Finance,820212.46,484600.85,delayed,2024-02-04,2024-08-01,BuildCo,23176.43,277253.48
PRJ1035,Project_35,Agriculture,151906.78,111150.39,delayed,2024-02-05,2024-05-13,GreenWorks,35325.26,382770.18
PRJ1036,Project_36,Education,455842.55,435195.61,active,2024-02-06,2024-06-10,GreenWorks,21276.48,240302.23
PRJ1037,Project_37,Finance,899057.69,753260.29,delayed,2024-02-07,2024-08-19,ConsultPro,43591.7,170351.85
PRJ1038,Project_38,Agriculture,886859.48,257175.45,active,2024-02-08,2024-06-20,GreenWorks,25202.96,65690.5
PRJ1039,Project_39,Health,320312.68,791651.04,active,2024-02-09,2025-01-24,TechSol,33044.85,256440.94
PRJ1040,Project_40,Transport,788486.18,215003.05,completed,2024-02-10,2024-07-19,BuildCo,10634.74,184605.87
PRJ1041,Project_41,Health,692186.7,613718.43,delayed,2024-02-11,2024-05-05,Infra Ltd,43886.55,48160.22
PRJ1042,Project_42,Education,399826.64,463096.84,active,2024-02-12,2024-03-23,GreenWorks,47908.18,48840.21
PRJ1043,Project_43,Health,746126.86,442084.35,delayed,2024-02-13,2024-04-11,TechSol,5174.4,232015.65
PRJ1044,Project_44,Transport,476484.46,262848.45,delayed,2024-02-14,2024-10-25,BuildCo,19465.31,10806.82
PRJ1045,Project_45,Finance,356492.37,554114.9,completed,2024-02-15,2024-03-23,BuildCo,19750.49,409546.8
PRJ1046,Project_46,Transport,377836.93,156230.57,delayed,2024-02-16,2024-07-11,ConsultPro,16687.44,91690.68
PRJ1047,Project_47,Health,909971.41,380441.27,delayed,2024-02-17,2025-01-01,ConsultPro,13369.38,271531.54
PRJ1048,Project_48,Education,454377.29,465782.39,delayed,2024-02-18,2024-11-21,GreenWorks,43447.7,110194.38
PRJ1049,Project_49,Finance,231369.63,444924.32,completed,2024-02-19,2025-02-07,Infra Ltd,12022.72,378553.6
PRJ1050,Project_50,Agriculture,615310.24,39594.55,delayed,2024-02-20,2024-10-19,Infra Ltd,43716.45,481640.57
PRJ1051,Project_51,Transport,935003.92,635927.37,completed,2024-02-21,2024-12-31,TechSol,6493.69,92200.7
PRJ1052,Project_52,Agriculture,614315.56,483724.94,active,2024-02-22,2024-07-04,TechSol,28454.25,269871.12
PRJ1053,Project_53,Education,795449.24,72698.55,delayed,2024-02-23,2025-01-31,ConsultPro,12486.6,251277.83
PRJ1054,Project_54,Health,867847.48,790971.4,delayed,2024-02-24,2024-08-16,BuildCo,3898.91,55513.24
PRJ1055,Project_55,Health,883907.8,787939.78,active,2024-02-25,2024-06-01,BuildCo,47553.45,250952.9
PRJ1056,Project_56,Transport,90756.09,144815.13,delayed,2024-02-26,2024-09-19,BuildCo,30692.48,138525.08
PRJ1057,Project_57,Health,625731.38,191909.33,delayed,2024-02-27,2024-07-31,TechSol,25510.57,203570.0
PRJ1058,Project_58,Health,792877.02,520890.79,active,2024-02-28,2024-06-04,Infra Ltd,12608.06,239850.31
PRJ1059,Project_59,Health,623698.26,600024.91,delayed,2024-02-29,2024-07-14,Infra Ltd,4045.09,229335.88
PRJ1060,Project_60,Education,759045.84,783540.6,active,2024-03-01,2025-02-26,Infra Ltd,47142.73,455394.55
PRJ1061,Project_61,Finance,675102.51,601648.34,delayed,2024-03-02,2024-09-14,ConsultPro,21848.39,279183.37
PRJ1062,Project_62,Agriculture,418696.11,710591.52,completed,2024-03-03,2025-02-17,ConsultPro,10397.35,315923.84
PRJ1063,Project_63,Health,913816.52,556650.77,completed,2024-03-04,2024-05-03,ConsultPro,21994.43,243780.37
PRJ1064,Project_64,Health,396470.41,891058.85,completed,2024-03-05,2024-11-10,Infra Ltd,6195.26,380703.8
PRJ1065,Project_65,Finance,743027.2,798469.62,active,2024-03-06,2024-09-14,ConsultPro,36187.87,54628.92
PRJ1066,Project_66,Education,295914.03,650326.32,completed,2024-03-07,2025-02-03,TechSol,32918.73,469726.06
PRJ1067,Project_67,Finance,423470.53,406291.22,delayed,2024-03-08,2024-08-26,GreenWorks,19352.46,208872.87
PRJ1068,Project_68,Transport,779272.27,58634.2,active,2024-03-09,2024-04-22,BuildCo,18142.33,321367.83
PRJ1069,Project_69,Transport,854288.75,346787.99,active,2024-03-10,2024-06-08,Infra Ltd,6989.45,416365.69
PRJ1070,Project_70,Agriculture,221734.72,106898.29,completed,2024-03-11,2024-12-07,TechSol,5658.51,98734.72
PRJ1071,Project_71,Agriculture,994627.45,635843.64,active,2024-03-12,2024-04-21,TechSol,25865.54,371748.4
PRJ1072,Project_72,Finance,151377.07,88182.63,active,2024-03-13,2024-06-23,ConsultPro,4040.73,448498.53
PRJ1073,Project_73,Education,791211.91,828972.07,completed,2024-03-14,2024-09-26,GreenWorks,32794.2,417230.15
PRJ1074,Project_74,Health,442890.61,267464.14,active,2024-03-15,2024-09-25,GreenWorks,8637.53,459777.34
PRJ1075,Project_75,Health,504702.98,619293.29,completed,2024-03-16,2024-05-20,BuildCo,1965.36,312841.5
PRJ1076,Project_76,Health,638898.36,74859.02,completed,2024-03-17,2024-09-18,BuildCo,46247.92,431223.72
PRJ1077,Project_77,Transport,421468.87,441162.11,completed,2024-03-18,2025-01-29,Infra Ltd,25541.32,310082.23
PRJ1078,Project_78,Education,995567.61,51727.9,active,2024-03-19,2024-11-21,ConsultPro,3480.42,323993.91
PRJ1079,Project_79,Education,356492.73,219322.45,delayed,2024-03-20,2024-11-22,TechSol,4441.46,178398.0
PRJ1080,Project_80,Health,102917.35,423373.02,delayed,2024-03-21,2024-05-01,Infra Ltd,19441.69,105371.96
PRJ1081,Project_81,Health,889078.84,766644.39,active,2024-03-22,2025-02-06,GreenWorks,14957.06,33436.87
PRJ1082,Project_82,Education,322797.86,609783.56,completed,2024-03-23,2024-09-08,GreenWorks,21504.36,471004.69
PRJ1083,Project_83,Agriculture,997966.32,335506.56,completed,2024-03-24,2024-12-11,GreenWorks,32802.49,478270.4
PRJ1084,Project_84,Agriculture,895982.27,108434.37,active,2024-03-25,2024-07-04,GreenWorks,3179.21,148635.92
PRJ1085,Project_85,Education,293375.32,891533.52,delayed,2024-03-26,2024-08-17,BuildCo,24069.53,470925.07
PRJ1086,Project_86,Agriculture,632872.99,709183.78,completed,2024-03-27,2024-08-01,ConsultPro,2806.04,363906.08
PRJ1087,Project_87,Finance,935855.43,664803.23,delayed,2024-03-28,2024-11-12,TechSol,6483.87,68344.17
PRJ1088,Project_88,Agriculture,18010.84,668115.4,delayed,2024-03-29,2025-01-01,ConsultPro,34660.36,32788.66
PRJ1089,Project_89,Education,571358.91,474635.74,completed,2024-03-30,2025-01-21,GreenWorks,44914.12,418115.86
PRJ1090,Project_90,Finance,804585.22,244832.1,active,2024-03-31,2024-07-07,Infra Ltd,25321.8,276759.49
PRJ1091,Project_91,Health,97409.37,138644.26,completed,2024-04-01,2024-08-08,TechSol,19667.77,395429.49
PRJ1092,Project_92,Education,512208.07,678855.15,delayed,2024-04-02,2024-10-22,TechSol,27001.87,226643.15
PRJ1093,Project_93,Agriculture,516275.47,729659.33,active,2024-04-03,2024-09-15,Infra Ltd,28420.74,218851.96
PRJ1094,Project_94,Agriculture,914850.64,7482.54,delayed,2024-04-04,2024-10-16,GreenWorks,26078.64,386662.49
PRJ1095,Project_95,Finance,969506.56,121994.44,active,2024-04-05,2024-07-22,Infra Ltd,18711.83,433171.0
PRJ1096,Project_96,Agriculture,98518.91,828334.79,completed,2024-04-06,2024-05-13,Infra Ltd,36058.08,16608.73
PRJ1097,Project_97,Finance,29674.32,806202.78,delayed,2024-04-07,2025-02-26,BuildCo,10395.92,355454.71
PRJ1098,Project_98,Finance,469349.76,443019.17,delayed,2024-04-08,2025-01-22,GreenWorks,13520.25,214525.12
PRJ1099,Project_99,Agriculture,504381.54,24554.21,completed,2024-04-09,2025-03-07,ConsultPro,19031.72,26906.84
PRJ1100,Project_100,Transport,206579.76,764232.16,delayed,2024-04-10,2024-09-04,BuildCo,40413.54,28208.52
PRJ1101,Project_101,Education,760473.07,363875.97,active,2024-04-11,2025-02-04,GreenWorks,41112.0,18992.92
PRJ1102,Project_102,Agriculture,245821.13,504474.1,completed,2024-04-12,2024-09-30,GreenWorks,35343.66,461160.51
PRJ1103,Project_103,Transport,780672.49,566745.39,active,2024-04-13,2025-03-21,GreenWorks,43698.11,379247.96
PRJ1104,Project_104,Agriculture,207397.59,366762.59,active,2024-04-14,2024-08-02,GreenWorks,43028.83,185480.84
PRJ1105,Project_105,Education,883098.37,776524.65,active,2024-04-15,2024-09-06,BuildCo,2860.42,42487.43
PRJ1106,Project_106,Finance,133234.81,304410.88,active,2024-04-16,2025-01-31,BuildCo,15546.19,151818.4
PRJ1107,Project_107,Agriculture,650466.51,609583.29,completed,2024-04-17,2024-11-18,Infra Ltd,46491.96,436095.64
PRJ1108,Project_108,Finance,477921.3,804837.42,active,2024-04-18,2024-12-27,ConsultPro,29886.59,297767.07
PRJ1109,Project_109,Education,179540.42,823643.98,active,2024-04-19,2025-01-18,Infra Ltd,10156.99,237267.97
PRJ1110,Project_110,Education,219019.06,52356.51,completed,2024-04-20,2025-02-24,GreenWorks,46554.99,374467.87
PRJ1111,Project_111,Education,624061.22,71884.76,delayed,2024-04-21,2025-03-16,BuildCo,46085.48,19263.56
PRJ1112,Project_112,Transport,634203.87,40664.89,completed,2024-04-22,2024-11-12,TechSol,27693.68,194605.59
PRJ1113,Project_113,Finance,702065.45,46272.03,delayed,2024-04-23,2024-07-01,TechSol,18844.52,232126.06
PRJ1114,Project_114,Agriculture,798387.42,725182.67,delayed,2024-04-24,2025-01-26,Infra Ltd,21114.26,253371.49
PRJ1115,Project_115,Finance,891675.41,603310.76,active,2024-04-25,2024-10-08,BuildCo,7261.62,199351.55
PRJ1116,Project_116,Finance,986212.84,851511.77,completed,2024-04-26,2024-12-07,GreenWorks,11871.41,100747.1
PRJ1117,Project_117,Transport,911534.79,797305.25,delayed,2024-04-27,2024-08-08,TechSol,46413.28,117785.34
PRJ1118,Project_118,Finance,942961.36,505488.64,delayed,2024-04-28,2024-11-27,BuildCo,45125.74,317088.98
PRJ1119,Project_119,Health,583429.83,113987.21,active,2024-04-29,2025-03-12,GreenWorks,4921.54,368721.01
PRJ1120,Project_120,Education,447406.41,434284.4,delayed,2024-04-30,2024-06-17,ConsultPro,33109.81,398930.54
PRJ1121,Project_121,Education,978574.99,691420.96,active,2024-05-01,2025-04-19,Infra Ltd,15019.52,74962.85
PRJ1122,Project_122,Education,219190.51,107705.36,active,2024-05-02,2025-03-24,TechSol,24040.7,331510.02
PRJ1123,Project_123,Agriculture,171618.14,648450.21,delayed,2024-05-03,2025-03-27,GreenWorks,49449.32,415275.02
PRJ1124,Project_124,Transport,649093.04,187851.66,active,2024-05-04,2024-11-07,TechSol,48948.68,337842.23
PRJ1125,Project_125,Health,997701.17,801406.15,active,2024-05-05,2024-12-19,ConsultPro,29723.55,82484.47
PRJ1126,Project_126,Transport,662221.22,175692.34,active,2024-05-06,2025-02-12,ConsultPro,2629.82,99787.09
PRJ1127,Project_127,Agriculture,862739.48,752877.62,active,2024-05-07,2025-03-24,Infra Ltd,15685.81,338314.08
PRJ1128,Project_128,Transport,626902.81,101621.58,completed,2024-05-08,2025-05-02,GreenWorks,49464.35,66015.19
PRJ1129,Project_129,Finance,501592.13,591345.6,active,2024-05-09,2024-12-16,BuildCo,5523.04,209759.18
PRJ1130,Project_130,Education,64562.24,39030.81,completed,2024-05-10,2024-06-28,BuildCo,21098.38,175757.34
PRJ1131,Project_131,Health,421712.01,597850.26,active,2024-05-11,2025-01-26,BuildCo,30645.57,193372.53
PRJ1132,Project_132,Agriculture,462989.1,631197.24,active,2024-05-12,2025-01-26,Infra Ltd,21162.78,37602.02
PRJ1133,Project_133,Agriculture,25254.07,745303.29,delayed,2024-05-13,2024-10-21,Infra Ltd,49560.52,485050.65
PRJ1134,Project_134,Health,802352.98,664858.8,completed,2024-05-14,2025-05-05,ConsultPro,22916.64,41963.15
PRJ1135,Project_135,Transport,435298.55,828151.25,active,2024-05-15,2024-11-20,Infra Ltd,36733.75,86073.17
PRJ1136,Project_136,Health,770567.77,184750.67,delayed,2024-05-16,2024-08-20,GreenWorks,14747.24,399831.86
PRJ1137,Project_137,Transport,667035.16,794398.57,completed,2024-05-17,2024-08-16,BuildCo,12998.03,17402.83
PRJ1138,Project_138,Health,597382.35,522392.56,active,2024-05-18,2024-11-10,TechSol,31714.75,151217.82
PRJ1139,Project_139,Finance,303246.71,637428.03,completed,2024-05-19,2024-10-16,BuildCo,42837.82,28932.75
PRJ1140,Project_140,Education,990278.03,367514.11,active,2024-05-20,2025-03-06,Infra Ltd,32113.24,196450.46
PRJ1141,Project_141,Education,140634.29,323585.48,completed,2024-05-21,2025-01-26,GreenWorks,13190.23,371608.58
PRJ1142,Project_142,Finance,627240.8,693448.6,delayed,2024-05-22,2025-05-03,ConsultPro,35264.81,379250.38
PRJ1143,Project_143,Health,260718.71,638698.14,active,2024-05-23,2025-02-03,Infra Ltd,47342.48,158050.97
PRJ1144,Project_144,Finance,466886.74,316088.57,delayed,2024-05-24,2025-04-01,GreenWorks,4914.92,452794.55
PRJ1145,Project_145,Education,372858.45,183839.39,active,2024-05-25,2025-01-29,BuildCo,5508.62,495601.03
PRJ1146,Project_146,Finance,736723.21,676204.82,delayed,2024-05-26,2025-03-01,TechSol,34347.99,298930.42
PRJ1147,Project_147,Health,307002.53,261964.35,active,2024-05-27,2024-10-01,Infra Ltd,42166.16,358075.86
PRJ1148,Project_148,Health,945979.53,139079.47,delayed,2024-05-28,2024-07-21,Infra Ltd,22166.36,352087.2
PRJ1149,Project_149,Transport,233201.97,836936.36,delayed,2024-05-29,2024-07-11,ConsultPro,23404.18,317581.39
PRJ1150,Project_150,Agriculture,30265.45,460111.56,active,2024-05-30,2025-02-10,BuildCo,8614.82,84326.9
PRJ1151,Project_151,Transport,75623.42,286446.31,active,2024-05-31,2024-11-17,ConsultPro,15776.7,156189.44
PRJ1152,Project_152,Health,806875.0,15441.72,completed,2024-06-01,2024-08-13,ConsultPro,46480.71,147586.2
PRJ1153,Project_153,Education,141137.4,209616.11,completed,2024-06-02,2025-04-22,TechSol,1826.53,250295.65
PRJ1154,Project_154,Agriculture,45226.07,225218.11,delayed,2024-06-03,2024-12-30,Infra Ltd,43359.13,329902.51
PRJ1155,Project_155,Finance,526137.68,284942.69,active,2024-06-04,2024-07-26,BuildCo,14075.46,378414.85
PRJ1156,Project_156,Transport,488750.63,732586.38,delayed,2024-06-05,2025-05-01,TechSol,46866.23,50013.74
PRJ1157,Project_157,Education,858631.53,274016.69,active,2024-06-06,2024-08-26,ConsultPro,28915.73,48820.58
PRJ1158,Project_158,Health,485479.7,493648.9,completed,2024-06-07,2024-08-12,ConsultPro,16158.6,211851.04
PRJ1159,Project_159,Finance,619232.94,751148.66,active,2024-06-08,2024-09-11,TechSol,38858.98,130463.66
PRJ1160,Project_160,Finance,544802.27,587567.52,active,2024-06-09,2024-10-30,BuildCo,25700.16,55751.91
PRJ1161,Project_161,Finance,416010.65,144154.77,active,2024-06-10,2025-04-11,BuildCo,5092.76,193436.98
PRJ1162,Project_162,Health,245008.28,536556.67,completed,2024-06-11,2025-06-01,Infra Ltd,45825.57,328658.5
PRJ1163,Project_163,Finance,376310.96,662117.32,completed,2024-06-12,2025-01-05,Infra Ltd,6328.95,369261.02
PRJ1164,Project_164,Agriculture,639685.01,397220.85,active,2024-06-13,2025-01-27,ConsultPro,30808.87,480772.91
PRJ1165,Project_165,Health,600875.46,837200.42,active,2024-06-14,2024-10-26,ConsultPro,4930.83,162180.68
PRJ1166,Project_166,Health,172839.17,580468.79,delayed,2024-06-15,2025-05-12,ConsultPro,49324.71,144239.31
PRJ1167,Project_167,Education,128450.43,575107.59,active,2024-06-16,2024-09-08,Infra Ltd,20894.87,81463.07
PRJ1168,Project_168,Agriculture,981252.11,699610.86,active,2024-06-17,2024-09-12,TechSol,4968.79,377247.62
PRJ1169,Project_169,Agriculture,836352.25,648179.4,active,2024-06-18,2024-08-05,GreenWorks,6884.44,28921.25
PRJ1170,Project_170,Transport,273015.61,632907.43,delayed,2024-06-19,2025-05-17,ConsultPro,41624.13,383095.37
PRJ1171,Project_171,Finance,498340.73,394032.29,active,2024-06-20,2024-07-24,TechSol,32807.29,107520.23
PRJ1172,Project_172,Health,11673.82,546580.15,active,2024-06-21,2025-04-11,Infra Ltd,17675.64,300053.26
PRJ1173,Project_173,Transport,186441.69,568902.75,completed,2024-06-22,2025-06-17,Infra Ltd,7137.01,305824.57
PRJ1174,Project_174,Education,130316.72,74618.47,active,2024-06-23,2024-10-15,ConsultPro,4579.01,57671.77
PRJ1175,Project_175,Agriculture,65444.86,389027.39,active,2024-06-24,2025-03-22,Infra Ltd,15106.59,376419.4
PRJ1176,Project_176,Health,79368.89,652503.32,completed,2024-06-25,2024-08-06,TechSol,8972.23,61715.58
PRJ1177,Project_177,Education,483231.98,646873.2,delayed,2024-06-26,2025-04-12,ConsultPro,10885.23,365823.34
PRJ1178,Project_178,Health,229284.08,246767.68,active,2024-06-27,2025-01-09,BuildCo,1446.33,256167.63
PRJ1179,Project_179,Transport,23266.97,639065.78,completed,2024-06-28,2025-03-31,ConsultPro,20684.12,204523.43
PRJ1180,Project_180,Finance,776682.53,482017.57,delayed,2024-06-29,2025-01-30,ConsultPro,12767.96,196586.06
PRJ1181,Project_181,Transport,461414.51,725840.42,delayed,2024-06-30,2025-05-10,TechSol,37847.73,474461.58
PRJ1182,Project_182,Education,455391.44,794678.75,completed,2024-07-01,2024-10-20,ConsultPro,40384.75,245046.98
PRJ1183,Project_183,Health,359412.05,438624.54,active,2024-07-02,2025-02-08,TechSol,9448.75,446628.04
PRJ1184,Project_184,Finance,820778.3,532414.42,active,2024-07-03,2025-06-29,GreenWorks,20685.76,399483.52
PRJ1185,Project_185,Education,173394.75,799401.26,delayed,2024-07-04,2024-11-18,Infra Ltd,30266.83,225412.34
PRJ1186,Project_186,Transport,486410.92,556810.8,completed,2024-07-05,2024-11-22,GreenWorks,13083.27,462068.94
PRJ1187,Project_187,Finance,945057.45,376595.23,delayed,2024-07-06,2024-11-20,BuildCo,24041.92,413913.61
PRJ1188,Project_188,Agriculture,985614.35,680375.58,active,2024-07-07,2025-02-08,TechSol,25197.53,216800.71
PRJ1189,Project_189,Health,154136.13,473077.21,delayed,2024-07-08,2025-05-06,ConsultPro,24095.12,174074.07
PRJ1190,Project_190,Education,12320.87,685455.1,active,2024-07-09,2025-04-28,ConsultPro,46263.71,27758.7
PRJ1191,Project_191,Education,883870.05,829124.28,completed,2024-07-10,2025-01-26,BuildCo,24383.31,128538.63
PRJ1192,Project_192,Health,962337.72,660702.45,active,2024-07-11,2025-03-16,TechSol,12260.25,116051.14
PRJ1193,Project_193,Education,603674.96,121229.34,delayed,2024-07-12,2025-05-16,ConsultPro,48537.92,70647.79
PRJ1194,Project_194,Education,672101.23,619268.49,completed,2024-07-13,2024-12-18,BuildCo,23847.85,15778.93
PRJ1195,Project_195,Finance,648677.93,536258.17,completed,2024-07-14,2025-02-20,TechSol,37711.26,252264.03
PRJ1196,Project_196,Agriculture,575350.31,875362.34,active,2024-07-15,2025-04-11,BuildCo,48440.93,198045.28
PRJ1197,Project_197,Transport,818274.4,646531.4,delayed,2024-07-16,2025-04-22,ConsultPro,23996.35,414187.07
PRJ1198,Project_198,Health,342020.79,641495.21,delayed,2024-07-17,2024-10-01,BuildCo,19417.69,363317.89
PRJ1199,Project_199,Agriculture,967319.96,687863.6,active,2024-07-18,2024-08-28,GreenWorks,24219.63,476586.25
