subscriber_id,plan_id,plan_name,call_id,duration_minutes,data_mb,date,tower_id,cost
SUB1148,PLN0,Standard,CALL10148,58.04,1147.43,2024-05-28,TWR128,6.07
SUB1149,PLN1,Premium,CALL10149,32.81,1456.72,2024-05-29,TWR129,0.3
SUB1150,PLN2,Standard,CALL10150,53.39,808.74,2024-05-30,TWR100,7.72
SUB1151,PLN3,Basic,CALL10151,51.19,960.93,2024-05-31,TWR101,4.11
SUB1152,PLN0,Unlimited,CALL10152,39.26,907.76,2024-06-01,TWR102,0.56
SUB1153,PLN1,Basic,CALL10153,53.27,1268.16,2024-06-02,TWR103,1.73
SUB1154,PLN2,Unlimited,CALL10154,20.48,877.6,2024-06-03,TWR104,8.41
SUB1155,PLN3,Unlimited,CALL10155,38.87,645.08,2024-06-04,TWR105,0.6
SUB1156,PLN0,Unlimited,CALL10156,20.36,301.74,2024-06-05,TWR106,7.93
SUB1157,PLN1,Basic,CALL10157,31.1,1503.36,2024-06-06,TWR107,2.17
SUB1158,PLN2,Premium,CALL10158,39.19,1606.86,2024-06-07,TWR108,5.01
SUB1159,PLN3,Basic,CALL10159,10.11,1188.12,2024-06-08,TWR109,9.1
SUB1160,PLN0,Basic,CALL10160,20.04,169.92,2024-06-09,TWR110,2.81
SUB1161,PLN1,Standard,CALL10161,8.25,133.98,2024-06-10,TWR111,6.12
SUB1162,PLN2,Basic,CALL10162,21.68,472.88,2024-06-11,TWR112,1.19
SUB1163,PLN3,Unlimited,CALL10163,54.21,965.92,2024-06-12,TWR113,8.58
SUB1164,PLN0,Standard,CALL10164,47.85,1258.87,2024-06-13,TWR114,9.44
SUB1165,PLN1,Unlimited,CALL10165,52.51,30.81,2024-06-14,TWR115,6.88
SUB1166,PLN2,Standard,CALL10166,55.87,227.28,2024-06-15,TWR116,9.39
SUB1167,PLN3,Basic,CALL10167,11.53,201.19,2024-06-16,TWR117,6.04
SUB1168,PLN0,Standard,CALL10168,5.8,378.36,2024-06-17,TWR118,8.24
SUB1169,PLN1,Basic,CALL10169,36.24,804.34,2024-06-18,TWR119,1.33
SUB1170,PLN2,Basic,CALL10170,11.02,1073.7,2024-06-19,TWR120,1.77
SUB1171,PLN3,Standard,CALL10171,26.92,684.86,2024-06-20,TWR121,1.37
SUB1172,PLN0,Basic,CALL10172,1.9,1302.87,2024-06-21,TWR122,7.58
SUB1173,PLN1,Basic,CALL10173,28.99,270.06,2024-06-22,TWR123,6.97
SUB1174,PLN2,Standard,CALL10174,51.79,159.1,2024-06-23,TWR124,2.61
SUB1175,PLN3,Standard,CALL10175,25.38,246.26,2024-06-24,TWR125,9.34
SUB1176,PLN0,Unlimited,CALL10176,20.51,1022.25,2024-06-25,TWR126,8.58
SUB1177,PLN1,Unlimited,CALL10177,47.35,26.25,2024-06-26,TWR127,6.71
SUB1178,PLN2,Basic,CALL10178,25.67,141.9,2024-06-27,TWR128,0.83
SUB1179,PLN3,Standard,CALL10179,36.03,1505.44,2024-06-28,TWR129,4.45
SUB1180,PLN0,Basic,CALL10180,7.92,1232.41,2024-06-29,TWR100,7.57
SUB1181,PLN1,Unlimited,CALL10181,17.99,1688.72,2024-06-30,TWR101,5.23
SUB1182,PLN2,Premium,CALL10182,30.01,173.46,2024-07-01,TWR102,8.1
SUB1183,PLN3,Unlimited,CALL10183,41.32,1412.99,2024-07-02,TWR103,5.84
SUB1184,PLN0,Standard,CALL10184,26.55,1619.6,2024-07-03,TWR104,8.99
SUB1185,PLN1,Premium,CALL10185,10.59,240.86,2024-07-04,TWR105,1.31
SUB1186,PLN2,Standard,CALL10186,40.53,444.17,2024-07-05,TWR106,5.66
SUB1187,PLN3,Basic,CALL10187,46.52,12.14,2024-07-06,TWR107,9.69
SUB1188,PLN0,Unlimited,CALL10188,26.16,215.14,2024-07-07,TWR108,2.47
SUB1189,PLN1,Standard,CALL10189,41.13,1551.27,2024-07-08,TWR109,3.29
SUB1190,PLN2,Unlimited,CALL10190,39.79,194.86,2024-07-09,TWR110,1.24
SUB1191,PLN3,Standard,CALL10191,33.65,1881.22,2024-07-10,TWR111,8.58
SUB1192,PLN0,Standard,CALL10192,42.06,1173.86,2024-07-11,TWR112,3.67
SUB1193,PLN1,Basic,CALL10193,30.09,88.04,2024-07-12,TWR113,2.5
SUB1194,PLN2,Premium,CALL10194,20.34,572.42,2024-07-13,TWR114,8.77
SUB1195,PLN3,Premium,CALL10195,54.71,1.26,2024-07-14,TWR115,0.44
SUB1196,PLN0,Unlimited,CALL10196,24.75,149.79,2024-07-15,TWR116,4.93
SUB1197,PLN1,Basic,CALL10197,25.58,1970.42,2024-07-16,TWR117,1.18
SUB1198,PLN2,Premium,CALL10198,23.41,468.21,2024-07-17,TWR118,5.37
SUB1199,PLN3,Premium,CALL10199,26.04,1455.59,2024-07-18,TWR119,2.2
