farm_id,farm_name,crop,harvest_kg,hectares,date,rainfall_mm,temperature_c,livestock_type,livestock_count
Farm_9,Farm_9,Rice,57839.3,29.97,2024-03-30,9.8,22.5,Goat,181
Farm_10,Farm_10,Rice,13921.43,27.15,2024-03-31,42.74,25.2,Goat,88
Farm_11,Farm_11,Beans,22016.99,10.09,2024-04-01,34.32,34.3,Goat,125
Farm_12,Farm_12,Cassava,45075.56,28.27,2024-04-02,31.25,30.8,Goat,26
Farm_13,Farm_13,Rice,16378.64,8.97,2024-04-03,16.81,28.7,Sheep,13
Farm_14,Farm_14,Beans,45170.4,28.91,2024-04-04,10.3,24.7,Sheep,154
Farm_15,Farm_15,Wheat,106045.64,39.26,2024-04-05,16.31,25.1,Sheep,32
Farm_16,Farm_16,Cassava,11285.77,4.9,2024-04-06,43.67,22.5,Poultry,37
Farm_17,Farm_17,Beans,24149.62,38.55,2024-04-07,13.42,28.9,Cattle,198
Farm_18,Farm_18,Rice,108175.88,41.05,2024-04-08,34.69,24.2,Poultry,170
Farm_19,Farm_19,Cassava,11808.0,4.86,2024-04-09,29.46,27.2,Goat,127
Farm_0,Farm_0,Maize,64529.01,41.65,2024-04-10,31.83,20.5,Goat,42
Farm_1,Farm_1,Beans,6088.85,3.77,2024-04-11,5.19,24.1,Poultry,156
Farm_2,Farm_2,Beans,121786.3,47.02,2024-04-12,47.72,25.6,Goat,147
Farm_3,Farm_3,Cassava,26031.02,17.07,2024-04-13,4.14,20.6,Goat,37
Farm_4,Farm_4,Maize,9517.23,17.68,2024-04-14,48.92,25.8,Cattle,165
Farm_5,Farm_5,Beans,26235.82,19.01,2024-04-15,49.04,20.4,Goat,62
Farm_6,Farm_6,Cassava,27913.97,14.92,2024-04-16,47.16,28.1,Poultry,55
Farm_7,Farm_7,Rice,14676.24,5.31,2024-04-17,17.84,31.3,Sheep,178
Farm_8,Farm_8,Beans,47966.16,28.76,2024-04-18,46.87,34.2,Sheep,5
Farm_9,Farm_9,Rice,3121.53,5.13,2024-04-19,34.3,22.8,Goat,156
Farm_10,Farm_10,Cassava,60288.97,20.46,2024-04-20,30.17,31.3,Cattle,87
Farm_11,Farm_11,Beans,15300.4,7.79,2024-04-21,28.72,34.3,Sheep,74
Farm_12,Farm_12,Rice,89581.42,31.45,2024-04-22,9.47,23.6,Poultry,154
Farm_13,Farm_13,Wheat,8958.57,12.7,2024-04-23,11.57,32.3,Sheep,18
Farm_14,Farm_14,Maize,13451.19,5.2,2024-04-24,2.47,30.0,Goat,175
Farm_15,Farm_15,Rice,2984.85,1.83,2024-04-25,13.76,28.8,Poultry,80
Farm_16,Farm_16,Maize,61011.99,40.93,2024-04-26,0.03,33.8,Poultry,123
Farm_17,Farm_17,Cassava,45755.58,17.22,2024-04-27,2.22,27.5,Cattle,10
Farm_18,Farm_18,Rice,65716.34,41.34,2024-04-28,32.09,32.9,Poultry,187
Farm_19,Farm_19,Maize,24085.64,45.17,2024-04-29,22.67,28.3,Goat,105
Farm_0,Farm_0,Maize,9534.88,3.54,2024-04-30,20.3,27.1,Poultry,40
Farm_1,Farm_1,Maize,14790.59,9.05,2024-05-01,16.64,29.8,Cattle,154
Farm_2,Farm_2,Beans,13476.86,5.72,2024-05-02,48.01,35.0,Poultry,114
Farm_3,Farm_3,Rice,12083.21,9.48,2024-05-03,12.07,32.6,Poultry,153
Farm_4,Farm_4,Wheat,38960.25,13.4,2024-05-04,29.78,24.8,Cattle,72
Farm_5,Farm_5,Cassava,26450.84,10.78,2024-05-05,43.39,22.0,Cattle,92
Farm_6,Farm_6,Wheat,18358.72,9.21,2024-05-06,37.67,22.7,Poultry,150
Farm_7,Farm_7,Rice,62235.94,42.05,2024-05-07,6.14,31.7,Cattle,77
Farm_8,Farm_8,Wheat,115728.13,44.89,2024-05-08,7.07,30.9,Sheep,82
Farm_9,Farm_9,Cassava,57199.07,40.52,2024-05-09,8.64,22.1,Sheep,58
Farm_10,Farm_10,Rice,46110.43,43.88,2024-05-10,9.66,22.7,Cattle,31
Farm_11,Farm_11,Cassava,18124.72,26.58,2024-05-11,25.57,30.9,Goat,194
Farm_12,Farm_12,Wheat,11787.63,7.66,2024-05-12,48.88,26.2,Sheep,26
Farm_13,Farm_13,Cassava,10097.58,7.85,2024-05-13,46.31,25.7,Cattle,127
Farm_14,Farm_14,Rice,12635.03,18.79,2024-05-14,28.65,22.4,Cattle,21
Farm_15,Farm_15,Rice,7070.6,3.52,2024-05-15,38.3,30.8,Cattle,130
Farm_16,Farm_16,Maize,45205.77,19.56,2024-05-16,9.31,22.6,Sheep,51
Farm_17,Farm_17,Wheat,13501.76,18.12,2024-05-17,2.92,33.0,Goat,125
Farm_18,Farm_18,Cassava,38709.05,15.8,2024-05-18,34.18,30.1,Cattle,164
Farm_19,Farm_19,Rice,11759.13,19.84,2024-05-19,9.22,30.4,Poultry,144
Farm_0,Farm_0,Wheat,116181.23,46.72,2024-05-20,3.52,22.7,Sheep,198
Farm_1,Farm_1,Rice,8755.23,3.56,2024-05-21,42.67,32.0,Cattle,72
Farm_2,Farm_2,Maize,81844.42,29.82,2024-05-22,28.34,29.5,Poultry,180
Farm_3,Farm_3,Rice,119479.03,41.35,2024-05-23,17.85,20.2,Sheep,194
Farm_4,Farm_4,Beans,83670.22,42.77,2024-05-24,18.44,29.4,Cattle,79
Farm_5,Farm_5,Wheat,32386.23,13.28,2024-05-25,40.6,20.5,Goat,79
Farm_6,Farm_6,Cassava,54592.71,20.11,2024-05-26,18.07,23.3,Poultry,176
Farm_7,Farm_7,Maize,94638.34,39.83,2024-05-27,36.4,33.0,Sheep,82
Farm_8,Farm_8,Cassava,45198.08,42.31,2024-05-28,46.54,26.1,Goat,117
Farm_9,Farm_9,Cassava,33106.26,14.37,2024-05-29,0.42,24.1,Goat,76
Farm_10,Farm_10,Beans,55184.66,26.1,2024-05-30,32.87,33.6,Goat,117
Farm_11,Farm_11,Maize,16532.52,5.65,2024-05-31,7.73,30.7,Sheep,17
Farm_12,Farm_12,Cassava,33791.25,45.77,2024-06-01,0.62,25.0,Cattle,166
Farm_13,Farm_13,Rice,71598.27,36.5,2024-06-02,24.99,31.6,Cattle,70
Farm_14,Farm_14,Rice,99414.77,41.36,2024-06-03,14.41,26.1,Goat,11
Farm_15,Farm_15,Beans,19606.61,13.6,2024-06-04,35.16,28.1,Sheep,11
Farm_16,Farm_16,Maize,2660.58,1.15,2024-06-05,11.56,34.2,Poultry,16
Farm_17,Farm_17,Cassava,8059.5,13.36,2024-06-06,32.98,24.8,Poultry,20
Farm_18,Farm_18,Maize,22170.25,28.85,2024-06-07,18.91,21.9,Sheep,169
Farm_19,Farm_19,Rice,39453.3,19.68,2024-06-08,22.92,34.1,Sheep,37
Farm_0,Farm_0,Cassava,17942.0,8.3,2024-06-09,8.17,33.5,Sheep,117
Farm_1,Farm_1,Cassava,54344.6,20.94,2024-06-10,20.62,22.9,Sheep,43
Farm_2,Farm_2,Maize,17930.81,25.34,2024-06-11,30.17,22.7,Poultry,181
Farm_3,Farm_3,Rice,3531.24,4.08,2024-06-12,25.99,33.0,Cattle,73
Farm_4,Farm_4,Rice,53699.77,43.92,2024-06-13,42.91,34.3,Sheep,143
Farm_5,Farm_5,Cassava,102324.17,41.38,2024-06-14,5.7,31.8,Sheep,21
Farm_6,Farm_6,Cassava,25843.22,38.11,2024-06-15,5.46,20.5,Poultry,172
Farm_7,Farm_7,Beans,25250.43,10.11,2024-06-16,40.43,22.0,Cattle,171
Farm_8,Farm_8,Beans,139374.34,48.21,2024-06-17,0.36,25.3,Cattle,198
Farm_9,Farm_9,Cassava,20043.62,7.05,2024-06-18,5.86,25.5,Cattle,42
Farm_10,Farm_10,Cassava,47689.21,22.45,2024-06-19,4.73,28.4,Cattle,194
Farm_11,Farm_11,Wheat,74257.49,26.89,2024-06-20,4.22,32.0,Poultry,129
Farm_12,Farm_12,Beans,18364.93,11.5,2024-06-21,22.19,31.0,Poultry,123
Farm_13,Farm_13,Maize,36849.59,17.93,2024-06-22,2.77,33.3,Poultry,129
Farm_14,Farm_14,Maize,104154.8,46.56,2024-06-23,9.43,24.9,Goat,66
Farm_15,Farm_15,Cassava,59752.44,35.22,2024-06-24,21.45,25.3,Goat,81
Farm_16,Farm_16,Wheat,14833.17,5.42,2024-06-25,23.3,27.3,Goat,68
Farm_17,Farm_17,Cassava,87016.51,45.04,2024-06-26,34.19,34.5,Poultry,145
Farm_18,Farm_18,Beans,36821.96,14.9,2024-06-27,49.67,22.8,Poultry,112
Farm_19,Farm_19,Maize,20030.16,20.35,2024-06-28,10.49,28.4,Sheep,77
Farm_0,Farm_0,Cassava,39010.84,29.94,2024-06-29,38.34,28.0,Cattle,130
Farm_1,Farm_1,Cassava,8816.44,3.08,2024-06-30,47.93,26.2,Sheep,24
Farm_2,Farm_2,Cassava,8081.64,3.02,2024-07-01,2.05,22.4,Poultry,76
Farm_3,Farm_3,Wheat,16389.28,9.73,2024-07-02,10.73,34.7,Poultry,177
Farm_4,Farm_4,Wheat,21692.35,31.44,2024-07-03,34.84,32.0,Sheep,24
Farm_5,Farm_5,Beans,40188.55,22.56,2024-07-04,22.22,25.1,Cattle,3
Farm_6,Farm_6,Rice,69693.89,32.3,2024-07-05,17.44,25.3,Sheep,123
Farm_7,Farm_7,Beans,19713.81,13.29,2024-07-06,13.18,22.8,Sheep,4
Farm_8,Farm_8,Cassava,49692.56,23.38,2024-07-07,39.59,28.1,Goat,92
Farm_9,Farm_9,Cassava,2951.44,4.25,2024-07-08,42.24,20.7,Cattle,72
Farm_10,Farm_10,Maize,23739.55,44.83,2024-07-09,12.35,21.9,Sheep,126
Farm_11,Farm_11,Cassava,61278.52,21.6,2024-07-10,39.33,20.6,Cattle,169
Farm_12,Farm_12,Rice,48263.8,19.97,2024-07-11,5.78,31.5,Poultry,135
Farm_13,Farm_13,Wheat,38154.54,43.2,2024-07-12,26.42,28.1,Sheep,66
Farm_14,Farm_14,Rice,4684.07,5.23,2024-07-13,36.03,29.3,Sheep,191
Farm_15,Farm_15,Wheat,36739.31,24.9,2024-07-14,1.56,20.2,Cattle,137
Farm_16,Farm_16,Beans,85364.5,38.38,2024-07-15,39.1,31.4,Goat,49
Farm_17,Farm_17,Rice,15113.49,17.63,2024-07-16,26.54,31.3,Poultry,111
Farm_18,Farm_18,Beans,27527.82,49.12,2024-07-17,30.0,20.2,Sheep,44
Farm_19,Farm_19,Beans,135929.98,48.66,2024-07-18,4.09,21.8,Cattle,9
