reservation_id,guest_id,guest_name,room_id,room_type,check_in,check_out,nights,amount,service_type,date
RES1018,GST1018,Guest_18,RM118,Deluxe,2024-02-15,2024-02-16,1,447.77,Restaurant,2024-01-19
RES1019,GST1019,Guest_19,RM119,Suite,2024-02-17,2024-02-21,4,157.14,Spa,2024-01-20
RES1020,GST1020,Guest_20,RM120,Family,2024-02-06,2024-02-07,1,279.92,Minibar,2024-01-21
RES1021,GST1021,Guest_21,RM121,Deluxe,2024-02-17,2024-02-20,3,433.63,Spa,2024-01-22
RES1022,GST1022,Guest_22,RM122,Deluxe,2024-01-24,2024-01-25,1,216.25,Restaurant,2024-01-23
RES1023,GST1023,Guest_23,RM123,Standard,2024-02-07,2024-02-09,2,131.65,Restaurant,2024-01-24
RES1024,GST1024,Guest_24,RM124,Family,2024-02-01,2024-02-03,2,383.25,Spa,2024-01-25
RES1025,GST1025,Guest_25,RM125,Deluxe,2024-01-29,2024-02-03,5,684.26,Laundry,2024-01-26
RES1026,GST1026,Guest_26,RM126,Family,2024-02-01,2024-02-06,5,418.48,Minibar,2024-01-27
RES1027,GST1027,Guest_27,RM127,Suite,2024-01-30,2024-02-03,4,634.92,Laundry,2024-01-28
RES1028,GST1028,Guest_28,RM128,Deluxe,2024-02-19,2024-02-25,6,601.96,Spa,2024-01-29
RES1029,GST1029,Guest_29,RM129,Standard,2024-02-28,2024-02-29,1,817.83,Spa,2024-01-30
RES1030,GST1030,Guest_30,RM130,Standard,2024-02-15,2024-02-17,2,479.93,Minibar,2024-01-31
RES1031,GST1031,Guest_31,RM131,Suite,2024-02-02,2024-02-03,1,73.62,Laundry,2024-02-01
RES1032,GST1032,Guest_32,RM132,Suite,2024-02-15,2024-02-19,4,759.74,Restaurant,2024-02-02
RES1033,GST1033,Guest_33,RM133,Standard,2024-02-17,2024-02-18,1,351.9,Restaurant,2024-02-03
RES1034,GST1034,Guest_34,RM134,Family,2024-02-04,2024-02-08,4,258.08,Spa,2024-02-04
RES1035,GST1035,Guest_35,RM135,Standard,2024-02-17,2024-02-19,2,289.25,Spa,2024-02-05
RES1036,GST1036,Guest_36,RM136,Suite,2024-02-28,2024-03-02,3,868.09,Minibar,2024-02-06
RES1037,GST1037,Guest_37,RM137,Standard,2024-02-29,2024-03-04,4,160.84,Laundry,2024-02-07
RES1038,GST1038,Guest_38,RM138,Standard,2024-02-18,2024-02-20,2,822.84,Spa,2024-02-08
RES1039,GST1039,Guest_39,RM139,Family,2024-02-11,2024-02-13,2,107.81,Minibar,2024-02-09
RES1040,GST1040,Guest_40,RM140,Suite,2024-02-11,2024-02-14,3,320.02,Restaurant,2024-02-10
RES1041,GST1041,Guest_41,RM141,Suite,2024-02-25,2024-03-02,6,937.77,Restaurant,2024-02-11
RES1042,GST1042,Guest_42,RM142,Deluxe,2024-02-20,2024-02-24,4,988.21,Restaurant,2024-02-12
RES1043,GST1043,Guest_43,RM143,Standard,2024-03-09,2024-03-12,3,692.47,Spa,2024-02-13
RES1044,GST1044,Guest_44,RM144,Standard,2024-02-19,2024-02-25,6,572.78,Laundry,2024-02-14
RES1045,GST1045,Guest_45,RM145,Suite,2024-02-27,2024-03-04,6,481.51,Spa,2024-02-15
RES1046,GST1046,Guest_46,RM146,Standard,2024-02-18,2024-02-24,6,335.25,Minibar,2024-02-16
RES1047,GST1047,Guest_47,RM147,Family,2024-03-11,2024-03-16,5,535.03,Laundry,2024-02-17
RES1048,GST1048,Guest_48,RM148,Standard,2024-02-20,2024-02-21,1,240.7,Spa,2024-02-18
RES1049,GST1049,Guest_49,RM149,Family,2024-03-06,2024-03-08,2,422.46,Spa,2024-02-19
RES1050,GST1050,Guest_50,RM100,Family,2024-02-27,2024-02-28,1,115.65,Restaurant,2024-02-20
RES1051,GST1051,Guest_51,RM101,Suite,2024-02-26,2024-03-01,4,249.87,Minibar,2024-02-21
RES1052,GST1052,Guest_52,RM102,Deluxe,2024-03-19,2024-03-24,5,827.48,Minibar,2024-02-22
RES1053,GST1053,Guest_53,RM103,Deluxe,2024-03-17,2024-03-19,2,758.49,Laundry,2024-02-23
RES1054,GST1054,Guest_54,RM104,Family,2024-02-28,2024-03-04,5,446.1,Restaurant,2024-02-24
RES1055,GST1055,Guest_55,RM105,Family,2024-03-03,2024-03-08,5,996.07,Laundry,2024-02-25
RES1056,GST1056,Guest_56,RM106,Suite,2024-03-03,2024-03-04,1,198.7,Spa,2024-02-26
RES1057,GST1057,Guest_57,RM107,Standard,2024-03-16,2024-03-17,1,906.06,Restaurant,2024-02-27
RES1058,GST1058,Guest_58,RM108,Suite,2024-03-08,2024-03-11,3,244.2,Spa,2024-02-28
RES1059,GST1059,Guest_59,RM109,Standard,2024-03-08,2024-03-13,5,660.23,Minibar,2024-02-29
RES1060,GST1060,Guest_60,RM110,Standard,2024-03-16,2024-03-21,5,655.94,Restaurant,2024-03-01
RES1061,GST1061,Guest_61,RM111,Suite,2024-03-31,2024-04-05,5,188.63,Spa,2024-03-02
RES1062,GST1062,Guest_62,RM112,Family,2024-03-09,2024-03-11,2,780.15,Laundry,2024-03-03
RES1063,GST1063,Guest_63,RM113,Suite,2024-03-13,2024-03-18,5,191.87,Restaurant,2024-03-04
RES1064,GST1064,Guest_64,RM114,Family,2024-03-31,2024-04-05,5,552.29,Restaurant,2024-03-05
RES1065,GST1065,Guest_65,RM115,Deluxe,2024-03-15,2024-03-16,1,765.65,Spa,2024-03-06
RES1066,GST1066,Guest_66,RM116,Family,2024-03-30,2024-03-31,1,800.14,Minibar,2024-03-07
RES1067,GST1067,Guest_67,RM117,Deluxe,2024-03-22,2024-03-24,2,576.76,Laundry,2024-03-08
RES1068,GST1068,Guest_68,RM118,Family,2024-03-13,2024-03-14,1,984.71,Spa,2024-03-09
RES1069,GST1069,Guest_69,RM119,Family,2024-03-21,2024-03-22,1,697.26,Restaurant,2024-03-10
RES1070,GST1070,Guest_70,RM120,Suite,2024-04-06,2024-04-09,3,285.62,Laundry,2024-03-11
RES1071,GST1071,Guest_71,RM121,Suite,2024-04-01,2024-04-06,5,802.81,Restaurant,2024-03-12
RES1072,GST1072,Guest_72,RM122,Deluxe,2024-04-06,2024-04-11,5,755.14,Spa,2024-03-13
RES1073,GST1073,Guest_73,RM123,Suite,2024-03-31,2024-04-01,1,692.4,Restaurant,2024-03-14
RES1074,GST1074,Guest_74,RM124,Standard,2024-04-10,2024-04-14,4,302.8,Laundry,2024-03-15
RES1075,GST1075,Guest_75,RM125,Standard,2024-03-28,2024-03-31,3,340.7,Restaurant,2024-03-16
RES1076,GST1076,Guest_76,RM126,Family,2024-04-09,2024-04-13,4,650.01,Laundry,2024-03-17
RES1077,GST1077,Guest_77,RM127,Standard,2024-03-23,2024-03-26,3,826.37,Restaurant,2024-03-18
RES1078,GST1078,Guest_78,RM128,Standard,2024-03-24,2024-03-25,1,758.63,Restaurant,2024-03-19
RES1079,GST1079,Guest_79,RM129,Family,2024-03-24,2024-03-26,2,451.72,Restaurant,2024-03-20
RES1080,GST1080,Guest_80,RM130,Deluxe,2024-04-01,2024-04-04,3,874.96,Laundry,2024-03-21
RES1081,GST1081,Guest_81,RM131,Suite,2024-03-29,2024-04-03,5,643.9,Laundry,2024-03-22
RES1082,GST1082,Guest_82,RM132,Deluxe,2024-04-08,2024-04-13,5,148.93,Restaurant,2024-03-23
RES1083,GST1083,Guest_83,RM133,Standard,2024-04-21,2024-04-27,6,672.28,Minibar,2024-03-24
RES1084,GST1084,Guest_84,RM134,Deluxe,2024-04-20,2024-04-21,1,444.23,Laundry,2024-03-25
RES1085,GST1085,Guest_85,RM135,Suite,2024-04-09,2024-04-10,1,959.3,Laundry,2024-03-26
RES1086,GST1086,Guest_86,RM136,Standard,2024-03-29,2024-03-31,2,485.67,Laundry,2024-03-27
RES1087,GST1087,Guest_87,RM137,Family,2024-04-10,2024-04-13,3,331.02,Spa,2024-03-28
RES1088,GST1088,Guest_88,RM138,Standard,2024-04-08,2024-04-13,5,636.39,Minibar,2024-03-29
RES1089,GST1089,Guest_89,RM139,Standard,2024-04-18,2024-04-22,4,306.23,Laundry,2024-03-30
RES1090,GST1090,Guest_90,RM140,Standard,2024-04-05,2024-04-07,2,396.65,Minibar,2024-03-31
RES1091,GST1091,Guest_91,RM141,Suite,2024-04-12,2024-04-18,6,152.48,Spa,2024-04-01
RES1092,GST1092,Guest_92,RM142,Deluxe,2024-04-06,2024-04-12,6,491.22,Restaurant,2024-04-02
RES1093,GST1093,Guest_93,RM143,Standard,2024-04-22,2024-04-23,1,332.78,Spa,2024-04-03
RES1094,GST1094,Guest_94,RM144,Suite,2024-04-16,2024-04-21,5,744.35,Laundry,2024-04-04
RES1095,GST1095,Guest_95,RM145,Deluxe,2024-05-04,2024-05-09,5,324.88,Restaurant,2024-04-05
RES1096,GST1096,Guest_96,RM146,Standard,2024-04-22,2024-04-25,3,547.86,Minibar,2024-04-06
RES1097,GST1097,Guest_97,RM147,Deluxe,2024-04-22,2024-04-25,3,272.67,Spa,2024-04-07
RES1098,GST1098,Guest_98,RM148,Suite,2024-05-07,2024-05-10,3,710.64,Spa,2024-04-08
RES1099,GST1099,Guest_99,RM149,Standard,2024-04-19,2024-04-23,4,199.15,Minibar,2024-04-09
RES1100,GST1100,Guest_100,RM100,Family,2024-04-29,2024-04-30,1,623.7,Restaurant,2024-04-10
RES1101,GST1101,Guest_101,RM101,Suite,2024-04-26,2024-05-01,5,740.9,Restaurant,2024-04-11
RES1102,GST1102,Guest_102,RM102,Family,2024-05-04,2024-05-09,5,900.63,Spa,2024-04-12
RES1103,GST1103,Guest_103,RM103,Family,2024-04-28,2024-05-04,6,995.77,Restaurant,2024-04-13
RES1104,GST1104,Guest_104,RM104,Family,2024-04-26,2024-04-30,4,734.39,Spa,2024-04-14
RES1105,GST1105,Guest_105,RM105,Family,2024-04-23,2024-04-27,4,857.11,Minibar,2024-04-15
RES1106,GST1106,Guest_106,RM106,Deluxe,2024-04-18,2024-04-22,4,435.98,Minibar,2024-04-16
RES1107,GST1107,Guest_107,RM107,Family,2024-04-22,2024-04-26,4,550.76,Spa,2024-04-17
RES1108,GST1108,Guest_108,RM108,Standard,2024-05-04,2024-05-06,2,416.64,Spa,2024-04-18
RES1109,GST1109,Guest_109,RM109,Deluxe,2024-05-10,2024-05-15,5,952.51,Laundry,2024-04-19
RES1110,GST1110,Guest_110,RM110,Standard,2024-05-08,2024-05-13,5,925.8,Spa,2024-04-20
RES1111,GST1111,Guest_111,RM111,Family,2024-05-05,2024-05-11,6,596.75,Minibar,2024-04-21
RES1112,GST1112,Guest_112,RM112,Suite,2024-05-16,2024-05-18,2,301.04,Minibar,2024-04-22
RES1113,GST1113,Guest_113,RM113,Family,2024-04-30,2024-05-01,1,538.91,Minibar,2024-04-23
RES1114,GST1114,Guest_114,RM114,Standard,2024-05-03,2024-05-04,1,804.7,Minibar,2024-04-24
RES1115,GST1115,Guest_115,RM115,Suite,2024-05-17,2024-05-23,6,136.92,Minibar,2024-04-25
RES1116,GST1116,Guest_116,RM116,Family,2024-05-06,2024-05-12,6,813.95,Restaurant,2024-04-26
RES1117,GST1117,Guest_117,RM117,Standard,2024-05-24,2024-05-25,1,801.56,Spa,2024-04-27
RES1118,GST1118,Guest_118,RM118,Suite,2024-05-15,2024-05-20,5,852.88,Spa,2024-04-28
RES1119,GST1119,Guest_119,RM119,Standard,2024-05-16,2024-05-22,6,865.58,Restaurant,2024-04-29
RES1120,GST1120,Guest_120,RM120,Deluxe,2024-05-07,2024-05-13,6,603.44,Restaurant,2024-04-30
RES1121,GST1121,Guest_121,RM121,Standard,2024-05-02,2024-05-07,5,313.44,Restaurant,2024-05-01
RES1122,GST1122,Guest_122,RM122,Standard,2024-05-22,2024-05-24,2,944.54,Laundry,2024-05-02
RES1123,GST1123,Guest_123,RM123,Suite,2024-05-19,2024-05-20,1,615.26,Minibar,2024-05-03
RES1124,GST1124,Guest_124,RM124,Family,2024-05-04,2024-05-06,2,466.03,Spa,2024-05-04
RES1125,GST1125,Guest_125,RM125,Suite,2024-05-24,2024-05-30,6,970.11,Spa,2024-05-05
RES1126,GST1126,Guest_126,RM126,Suite,2024-05-09,2024-05-14,5,150.74,Restaurant,2024-05-06
RES1127,GST1127,Guest_127,RM127,Deluxe,2024-05-31,2024-06-02,2,325.69,Minibar,2024-05-07
RES1128,GST1128,Guest_128,RM128,Family,2024-05-29,2024-06-04,6,812.04,Restaurant,2024-05-08
RES1129,GST1129,Guest_129,RM129,Family,2024-05-13,2024-05-14,1,105.84,Spa,2024-05-09
RES1130,GST1130,Guest_130,RM130,Standard,2024-06-08,2024-06-09,1,248.5,Minibar,2024-05-10
RES1131,GST1131,Guest_131,RM131,Family,2024-06-05,2024-06-07,2,845.74,Spa,2024-05-11
RES1132,GST1132,Guest_132,RM132,Suite,2024-05-25,2024-05-26,1,681.74,Laundry,2024-05-12
RES1133,GST1133,Guest_133,RM133,Suite,2024-05-29,2024-05-30,1,111.38,Restaurant,2024-05-13
RES1134,GST1134,Guest_134,RM134,Standard,2024-05-17,2024-05-18,1,894.62,Spa,2024-05-14
RES1135,GST1135,Guest_135,RM135,Family,2024-05-28,2024-06-01,4,633.05,Restaurant,2024-05-15
RES1136,GST1136,Guest_136,RM136,Family,2024-05-19,2024-05-22,3,810.39,Spa,2024-05-16
RES1137,GST1137,Guest_137,RM137,Deluxe,2024-05-17,2024-05-18,1,119.49,Spa,2024-05-17
RES1138,GST1138,Guest_138,RM138,Standard,2024-06-07,2024-06-13,6,566.99,Laundry,2024-05-18
RES1139,GST1139,Guest_139,RM139,Family,2024-05-24,2024-05-27,3,477.32,Minibar,2024-05-19
RES1140,GST1140,Guest_140,RM140,Suite,2024-06-02,2024-06-03,1,609.68,Spa,2024-05-20
RES1141,GST1141,Guest_141,RM141,Suite,2024-05-29,2024-06-01,3,891.61,Laundry,2024-05-21
RES1142,GST1142,Guest_142,RM142,Family,2024-06-06,2024-06-08,2,847.13,Restaurant,2024-05-22
RES1143,GST1143,Guest_143,RM143,Standard,2024-06-19,2024-06-20,1,507.39,Laundry,2024-05-23
RES1144,GST1144,Guest_144,RM144,Family,2024-06-19,2024-06-22,3,498.25,Spa,2024-05-24
RES1145,GST1145,Guest_145,RM145,Family,2024-06-05,2024-06-06,1,833.55,Spa,2024-05-25
RES1146,GST1146,Guest_146,RM146,Deluxe,2024-06-02,2024-06-04,2,563.0,Laundry,2024-05-26
RES1147,GST1147,Guest_147,RM147,Deluxe,2024-06-12,2024-06-16,4,132.39,Spa,2024-05-27
RES1148,GST1148,Guest_148,RM148,Standard,2024-06-14,2024-06-20,6,296.7,Minibar,2024-05-28
RES1149,GST1149,Guest_149,RM149,Standard,2024-06-17,2024-06-18,1,358.13,Spa,2024-05-29
RES1150,GST1150,Guest_150,RM100,Deluxe,2024-06-09,2024-06-13,4,660.18,Restaurant,2024-05-30
RES1151,GST1151,Guest_151,RM101,Suite,2024-06-22,2024-06-26,4,397.13,Spa,2024-05-31
RES1152,GST1152,Guest_152,RM102,Standard,2024-06-20,2024-06-26,6,805.37,Spa,2024-06-01
RES1153,GST1153,Guest_153,RM103,Standard,2024-06-06,2024-06-11,5,258.06,Restaurant,2024-06-02
RES1154,GST1154,Guest_154,RM104,Deluxe,2024-06-18,2024-06-22,4,196.61,Spa,2024-06-03
RES1155,GST1155,Guest_155,RM105,Family,2024-06-07,2024-06-12,5,947.27,Spa,2024-06-04
RES1156,GST1156,Guest_156,RM106,Family,2024-07-01,2024-07-02,1,724.19,Laundry,2024-06-05
RES1157,GST1157,Guest_157,RM107,Suite,2024-06-26,2024-06-29,3,732.52,Restaurant,2024-06-06
RES1158,GST1158,Guest_158,RM108,Family,2024-06-07,2024-06-11,4,540.55,Restaurant,2024-06-07
RES1159,GST1159,Guest_159,RM109,Suite,2024-06-12,2024-06-13,1,424.06,Spa,2024-06-08
RES1160,GST1160,Guest_160,RM110,Standard,2024-06-16,2024-06-19,3,270.61,Restaurant,2024-06-09
RES1161,GST1161,Guest_161,RM111,Family,2024-07-08,2024-07-09,1,66.06,Restaurant,2024-06-10
RES1162,GST1162,Guest_162,RM112,Deluxe,2024-06-18,2024-06-23,5,236.15,Minibar,2024-06-11
RES1163,GST1163,Guest_163,RM113,Family,2024-06-23,2024-06-25,2,632.66,Spa,2024-06-12
RES1164,GST1164,Guest_164,RM114,Family,2024-06-28,2024-07-01,3,820.05,Minibar,2024-06-13
RES1165,GST1165,Guest_165,RM115,Family,2024-07-06,2024-07-08,2,618.62,Restaurant,2024-06-14
RES1166,GST1166,Guest_166,RM116,Deluxe,2024-07-03,2024-07-06,3,95.98,Spa,2024-06-15
RES1167,GST1167,Guest_167,RM117,Family,2024-06-22,2024-06-23,1,926.41,Minibar,2024-06-16
RES1168,GST1168,Guest_168,RM118,Standard,2024-07-15,2024-07-17,2,308.31,Restaurant,2024-06-17
RES1169,GST1169,Guest_169,RM119,Suite,2024-06-26,2024-06-28,2,981.58,Restaurant,2024-06-18
RES1170,GST1170,Guest_170,RM120,Deluxe,2024-06-22,2024-06-28,6,622.65,Spa,2024-06-19
RES1171,GST1171,Guest_171,RM121,Deluxe,2024-07-17,2024-07-20,3,963.58,Spa,2024-06-20
RES1172,GST1172,Guest_172,RM122,Deluxe,2024-06-21,2024-06-23,2,349.82,Restaurant,2024-06-21
RES1173,GST1173,Guest_173,RM123,Suite,2024-06-27,2024-07-01,4,794.91,Spa,2024-06-22
RES1174,GST1174,Guest_174,RM124,Family,2024-07-08,2024-07-14,6,415.29,Restaurant,2024-06-23
RES1175,GST1175,Guest_175,RM125,Standard,2024-07-06,2024-07-12,6,231.45,Spa,2024-06-24
RES1176,GST1176,Guest_176,RM126,Suite,2024-07-05,2024-07-08,3,318.11,Laundry,2024-06-25
RES1177,GST1177,Guest_177,RM127,Family,2024-07-23,2024-07-25,2,959.72,Spa,2024-06-26
RES1178,GST1178,Guest_178,RM128,Suite,2024-07-13,2024-07-16,3,604.92,Spa,2024-06-27
RES1179,GST1179,Guest_179,RM129,Deluxe,2024-07-04,2024-07-05,1,95.85,Spa,2024-06-28
RES1180,GST1180,Guest_180,RM130,Suite,2024-07-27,2024-07-29,2,431.18,Laundry,2024-06-29
RES1181,GST1181,Guest_181,RM131,Deluxe,2024-07-18,2024-07-22,4,713.31,Spa,2024-06-30
RES1182,GST1182,Guest_182,RM132,Deluxe,2024-07-07,2024-07-10,3,726.68,Restaurant,2024-07-01
RES1183,GST1183,Guest_183,RM133,Deluxe,2024-07-07,2024-07-12,5,695.26,Restaurant,2024-07-02
RES1184,GST1184,Guest_184,RM134,Deluxe,2024-07-21,2024-07-22,1,556.98,Restaurant,2024-07-03
RES1185,GST1185,Guest_185,RM135,Deluxe,2024-07-10,2024-07-13,3,612.86,Spa,2024-07-04
RES1186,GST1186,Guest_186,RM136,Suite,2024-07-18,2024-07-22,4,260.05,Minibar,2024-07-05
RES1187,GST1187,Guest_187,RM137,Family,2024-07-13,2024-07-17,4,810.86,Restaurant,2024-07-06
RES1188,GST1188,Guest_188,RM138,Standard,2024-08-03,2024-08-08,5,183.09,Minibar,2024-07-07
RES1189,GST1189,Guest_189,RM139,Deluxe,2024-08-04,2024-08-10,6,440.24,Minibar,2024-07-08
RES1190,GST1190,Guest_190,RM140,Deluxe,2024-07-18,2024-07-21,3,611.52,Laundry,2024-07-09
RES1191,GST1191,Guest_191,RM141,Suite,2024-07-13,2024-07-16,3,96.2,Minibar,2024-07-10
RES1192,GST1192,Guest_192,RM142,Deluxe,2024-07-26,2024-07-31,5,737.79,Restaurant,2024-07-11
RES1193,GST1193,Guest_193,RM143,Deluxe,2024-07-27,2024-08-02,6,568.67,Restaurant,2024-07-12
RES1194,GST1194,Guest_194,RM144,Suite,2024-07-15,2024-07-20,5,272.66,Laundry,2024-07-13
RES1195,GST1195,Guest_195,RM145,Family,2024-07-19,2024-07-21,2,457.12,Spa,2024-07-14
RES1196,GST1196,Guest_196,RM146,Suite,2024-08-01,2024-08-06,5,868.05,Laundry,2024-07-15
RES1197,GST1197,Guest_197,RM147,Family,2024-07-22,2024-07-27,5,584.29,Minibar,2024-07-16
RES1198,GST1198,Guest_198,RM148,Family,2024-08-05,2024-08-09,4,419.14,Spa,2024-07-17
RES1199,GST1199,Guest_199,RM149,Deluxe,2024-07-19,2024-07-22,3,524.64,Minibar,2024-07-18
