policy_id,customer_id,premium,coverage_amount,claim_id,claim_amount,status,date,agent_id
POL1027,CUST1027,730.18,454296.74,CLM10027,49943.88,approved,2024-01-28,AGT107
POL1028,CUST1028,1566.32,321640.41,CLM10028,47303.97,rejected,2024-01-29,AGT108
POL1029,CUST1029,998.88,402279.31,CLM10029,26047.28,rejected,2024-01-30,AGT109
POL1030,CUST1030,1582.79,171571.97,CLM10030,33003.17,pending,2024-01-31,AGT110
POL1031,CUST1031,337.24,319257.97,CLM10031,42699.73,approved,2024-02-01,AGT111
POL1032,CUST1032,1199.78,481817.05,CLM10032,27368.81,approved,2024-02-02,AGT112
POL1033,CUST1033,1442.84,13975.17,CLM10033,41645.23,approved,2024-02-03,AGT113
POL1034,CUST1034,1398.74,432761.75,CLM10034,48186.02,rejected,2024-02-04,AGT114
POL1035,CUST1035,169.79,206086.22,CLM10035,36166.36,approved,2024-02-05,AGT115
POL1036,CUST1036,436.08,437733.57,CLM10036,9771.16,rejected,2024-02-06,AGT116
POL1037,CUST1037,1257.19,475645.9,CLM10037,34755.07,approved,2024-02-07,AGT117
POL1038,CUST1038,611.48,424574.05,CLM10038,1235.78,pending,2024-02-08,AGT118
POL1039,CUST1039,957.81,128447.87,CLM10039,30485.15,rejected,2024-02-09,AGT119
POL1040,CUST1040,1799.13,199883.99,CLM10040,38139.91,rejected,2024-02-10,AGT100
POL1041,CUST1041,1738.82,68979.45,CLM10041,45521.62,rejected,2024-02-11,AGT101
POL1042,CUST1042,106.8,405148.65,CLM10042,13365.63,pending,2024-02-12,AGT102
POL1043,CUST1043,1076.69,92909.98,CLM10043,44301.56,pending,2024-02-13,AGT103
POL1044,CUST1044,1866.02,183340.56,CLM10044,4387.1,pending,2024-02-14,AGT104
POL1045,CUST1045,764.32,76758.02,CLM10045,35353.72,rejected,2024-02-15,AGT105
POL1046,CUST1046,997.26,374862.54,CLM10046,38613.21,rejected,2024-02-16,AGT106
POL1047,CUST1047,803.27,188796.16,CLM10047,45471.69,pending,2024-02-17,AGT107
POL1048,CUST1048,1629.18,87425.4,CLM10048,6517.07,rejected,2024-02-18,AGT108
POL1049,CUST1049,935.24,292453.25,CLM10049,181.21,rejected,2024-02-19,AGT109
POL1050,CUST1050,1818.79,53688.76,CLM10050,21088.0,approved,2024-02-20,AGT110
POL1051,CUST1051,462.83,352227.83,CLM10051,15092.86,rejected,2024-02-21,AGT111
POL1052,CUST1052,887.41,48630.93,CLM10052,45609.35,rejected,2024-02-22,AGT112
POL1053,CUST1053,895.99,432072.2,CLM10053,43827.12,approved,2024-02-23,AGT113
POL1054,CUST1054,1300.87,352999.83,CLM10054,12180.68,pending,2024-02-24,AGT114
POL1055,CUST1055,1048.71,41523.7,CLM10055,17995.61,approved,2024-02-25,AGT115
POL1056,CUST1056,583.91,442051.95,CLM10056,7728.75,approved,2024-02-26,AGT116
POL1057,CUST1057,1728.58,95630.65,CLM10057,8314.52,rejected,2024-02-27,AGT117
POL1058,CUST1058,1072.72,304771.03,CLM10058,39551.97,approved,2024-02-28,AGT118
POL1059,CUST1059,530.63,481804.45,CLM10059,40152.33,approved,2024-02-29,AGT119
POL1060,CUST1060,1736.15,57437.34,CLM10060,44658.64,approved,2024-03-01,AGT100
POL1061,CUST1061,1976.81,172577.1,CLM10061,38446.52,rejected,2024-03-02,AGT101
POL1062,CUST1062,149.98,269304.43,CLM10062,18725.19,rejected,2024-03-03,AGT102
POL1063,CUST1063,478.6,49826.38,CLM10063,36518.91,rejected,2024-03-04,AGT103
POL1064,CUST1064,1157.27,206987.78,CLM10064,17699.94,approved,2024-03-05,AGT104
POL1065,CUST1065,812.72,109175.33,CLM10065,43441.07,approved,2024-03-06,AGT105
POL1066,CUST1066,1754.42,213591.88,CLM10066,3728.75,pending,2024-03-07,AGT106
POL1067,CUST1067,902.07,336177.47,CLM10067,7440.63,rejected,2024-03-08,AGT107
POL1068,CUST1068,1057.95,459243.0,CLM10068,37263.95,rejected,2024-03-09,AGT108
POL1069,CUST1069,1016.14,85916.23,CLM10069,28578.25,approved,2024-03-10,AGT109
POL1070,CUST1070,1751.31,420679.5,CLM10070,3787.31,approved,2024-03-11,AGT110
POL1071,CUST1071,931.86,359886.57,CLM10071,26647.03,pending,2024-03-12,AGT111
POL1072,CUST1072,1212.59,255144.81,CLM10072,7819.59,pending,2024-03-13,AGT112
POL1073,CUST1073,259.16,68677.42,CLM10073,13653.91,approved,2024-03-14,AGT113
POL1074,CUST1074,1539.79,64992.74,CLM10074,45142.76,approved,2024-03-15,AGT114
POL1075,CUST1075,246.4,470830.53,CLM10075,15649.44,pending,2024-03-16,AGT115
POL1076,CUST1076,137.71,307361.0,CLM10076,32349.97,approved,2024-03-17,AGT116
POL1077,CUST1077,1325.12,204751.18,CLM10077,27076.37,pending,2024-03-18,AGT117
POL1078,CUST1078,281.69,305065.5,CLM10078,18235.39,approved,2024-03-19,AGT118
POL1079,CUST1079,1399.97,482464.47,CLM10079,16402.36,rejected,2024-03-20,AGT119
POL1080,CUST1080,745.46,326576.0,CLM10080,30046.2,rejected,2024-03-21,AGT100
POL1081,CUST1081,1721.81,320250.43,CLM10081,2400.22,pending,2024-03-22,AGT101
POL1082,CUST1082,250.77,219618.98,CLM10082,32139.42,approved,2024-03-23,AGT102
POL1083,CUST1083,454.5,69200.12,CLM10083,30372.1,rejected,2024-03-24,AGT103
POL1084,CUST1084,1011.05,483503.35,CLM10084,34790.1,approved,2024-03-25,AGT104
POL1085,CUST1085,1618.78,285734.12,CLM10085,9410.84,pending,2024-03-26,AGT105
POL1086,CUST1086,220.68,212045.26,CLM10086,34227.69,approved,2024-03-27,AGT106
POL1087,CUST1087,1970.62,462741.14,CLM10087,9768.83,rejected,2024-03-28,AGT107
POL1088,CUST1088,1222.17,427832.45,CLM10088,40160.94,approved,2024-03-29,AGT108
POL1089,CUST1089,875.36,385221.73,CLM10089,40666.31,approved,2024-03-30,AGT109
POL1090,CUST1090,1298.43,43539.86,CLM10090,14026.26,rejected,2024-03-31,AGT110
POL1091,CUST1091,1912.21,231638.26,CLM10091,30650.44,pending,2024-04-01,AGT111
POL1092,CUST1092,500.04,102178.76,CLM10092,7054.04,pending,2024-04-02,AGT112
POL1093,CUST1093,400.28,235605.39,CLM10093,26981.48,pending,2024-04-03,AGT113
POL1094,CUST1094,681.74,462458.5,CLM10094,43215.61,pending,2024-04-04,AGT114
POL1095,CUST1095,212.59,264888.05,CLM10095,20863.48,pending,2024-04-05,AGT115
POL1096,CUST1096,650.24,352335.23,CLM10096,35029.57,approved,2024-04-06,AGT116
POL1097,CUST1097,1081.37,309917.13,CLM10097,9646.73,pending,2024-04-07,AGT117
POL1098,CUST1098,416.36,388344.34,CLM10098,34725.41,approved,2024-04-08,AGT118
POL1099,CUST1099,1910.7,26425.79,CLM10099,28694.25,pending,2024-04-09,AGT119
POL1100,CUST1100,1781.11,110257.97,CLM10100,47154.86,rejected,2024-04-10,AGT100
POL1101,CUST1101,714.78,35043.12,CLM10101,30346.18,rejected,2024-04-11,AGT101
POL1102,CUST1102,1872.23,371236.06,CLM10102,14655.75,pending,2024-04-12,AGT102
POL1103,CUST1103,355.89,160473.68,CLM10103,24596.85,approved,2024-04-13,AGT103
POL1104,CUST1104,730.68,300680.53,CLM10104,21204.58,rejected,2024-04-14,AGT104
POL1105,CUST1105,1682.41,302238.72,CLM10105,35441.6,approved,2024-04-15,AGT105
POL1106,CUST1106,1506.8,83025.86,CLM10106,32821.57,pending,2024-04-16,AGT106
POL1107,CUST1107,248.33,448220.28,CLM10107,35937.3,rejected,2024-04-17,AGT107
POL1108,CUST1108,430.5,16383.4,CLM10108,5533.42,rejected,2024-04-18,AGT108
POL1109,CUST1109,1161.93,108662.13,CLM10109,42802.82,pending,2024-04-19,AGT109
POL1110,CUST1110,1708.66,357531.82,CLM10110,42602.21,rejected,2024-04-20,AGT110
POL1111,CUST1111,1019.68,265098.4,CLM10111,36593.06,pending,2024-04-21,AGT111
POL1112,CUST1112,1250.12,470620.94,CLM10112,30670.75,pending,2024-04-22,AGT112
POL1113,CUST1113,132.82,186967.96,CLM10113,16720.39,pending,2024-04-23,AGT113
POL1114,CUST1114,501.57,46404.52,CLM10114,39284.21,approved,2024-04-24,AGT114
POL1115,CUST1115,1258.71,196983.07,CLM10115,46416.6,pending,2024-04-25,AGT115
POL1116,CUST1116,332.74,121735.63,CLM10116,21626.12,approved,2024-04-26,AGT116
POL1117,CUST1117,310.49,436889.54,CLM10117,39341.22,rejected,2024-04-27,AGT117
POL1118,CUST1118,303.04,93315.23,CLM10118,22305.04,approved,2024-04-28,AGT118
POL1119,CUST1119,1340.13,314073.25,CLM10119,29024.5,approved,2024-04-29,AGT119
POL1120,CUST1120,1989.46,25222.01,CLM10120,3719.6,rejected,2024-04-30,AGT100
POL1121,CUST1121,1447.91,362030.34,CLM10121,3093.9,rejected,2024-05-01,AGT101
POL1122,CUST1122,461.92,364338.76,CLM10122,19368.59,pending,2024-05-02,AGT102
POL1123,CUST1123,1416.7,473347.78,CLM10123,23255.11,approved,2024-05-03,AGT103
POL1124,CUST1124,1151.05,424988.48,CLM10124,37449.0,rejected,2024-05-04,AGT104
POL1125,CUST1125,285.4,463970.54,CLM10125,44161.88,rejected,2024-05-05,AGT105
POL1126,CUST1126,601.92,147491.88,CLM10126,2507.07,rejected,2024-05-06,AGT106
POL1127,CUST1127,259.25,71936.15,CLM10127,34427.33,rejected,2024-05-07,AGT107
POL1128,CUST1128,533.78,63676.53,CLM10128,48085.11,pending,2024-05-08,AGT108
POL1129,CUST1129,752.93,436950.65,CLM10129,45952.85,pending,2024-05-09,AGT109
POL1130,CUST1130,833.43,473244.74,CLM10130,21426.67,approved,2024-05-10,AGT110
POL1131,CUST1131,191.5,154032.67,CLM10131,13034.48,pending,2024-05-11,AGT111
POL1132,CUST1132,676.15,245469.98,CLM10132,5804.42,approved,2024-05-12,AGT112
POL1133,CUST1133,484.75,446958.32,CLM10133,37695.53,pending,2024-05-13,AGT113
POL1134,CUST1134,420.03,338706.52,CLM10134,40052.8,rejected,2024-05-14,AGT114
POL1135,CUST1135,401.77,177537.61,CLM10135,7658.91,rejected,2024-05-15,AGT115
POL1136,CUST1136,1445.1,92812.1,CLM10136,17202.13,pending,2024-05-16,AGT116
POL1137,CUST1137,982.2,34682.13,CLM10137,48065.27,approved,2024-05-17,AGT117
POL1138,CUST1138,1063.18,362357.25,CLM10138,19866.29,pending,2024-05-18,AGT118
POL1139,CUST1139,288.14,211567.61,CLM10139,22005.5,pending,2024-05-19,AGT119
POL1140,CUST1140,577.11,43725.7,CLM10140,26966.57,approved,2024-05-20,AGT100
POL1141,CUST1141,175.8,436630.03,CLM10141,490.85,pending,2024-05-21,AGT101
POL1142,CUST1142,378.28,291087.77,CLM10142,42661.01,approved,2024-05-22,AGT102
POL1143,CUST1143,666.51,306090.04,CLM10143,28655.45,approved,2024-05-23,AGT103
POL1144,CUST1144,757.3,415769.6,CLM10144,45682.99,approved,2024-05-24,AGT104
POL1145,CUST1145,1096.78,344465.19,CLM10145,14704.0,rejected,2024-05-25,AGT105
POL1146,CUST1146,1655.7,344388.99,CLM10146,14740.77,approved,2024-05-26,AGT106
POL1147,CUST1147,125.5,131165.95,CLM10147,38884.45,rejected,2024-05-27,AGT107
POL1148,CUST1148,129.07,261164.01,CLM10148,21229.81,rejected,2024-05-28,AGT108
POL1149,CUST1149,1231.11,281926.85,CLM10149,37723.88,rejected,2024-05-29,AGT109
POL1150,CUST1150,728.72,156633.6,CLM10150,29498.86,rejected,2024-05-30,AGT110
POL1151,CUST1151,1530.3,425996.31,CLM10151,27506.76,approved,2024-05-31,AGT111
POL1152,CUST1152,975.68,162949.11,CLM10152,4805.02,approved,2024-06-01,AGT112
POL1153,CUST1153,504.93,301874.67,CLM10153,31185.51,approved,2024-06-02,AGT113
POL1154,CUST1154,1489.73,211054.32,CLM10154,11811.95,pending,2024-06-03,AGT114
POL1155,CUST1155,258.61,190735.17,CLM10155,37183.62,pending,2024-06-04,AGT115
POL1156,CUST1156,952.04,274277.75,CLM10156,23509.11,pending,2024-06-05,AGT116
POL1157,CUST1157,1754.9,321256.48,CLM10157,45240.72,approved,2024-06-06,AGT117
POL1158,CUST1158,1884.4,57485.47,CLM10158,41671.82,rejected,2024-06-07,AGT118
POL1159,CUST1159,505.23,197652.95,CLM10159,10051.19,pending,2024-06-08,AGT119
POL1160,CUST1160,1238.01,216422.49,CLM10160,12056.1,pending,2024-06-09,AGT100
POL1161,CUST1161,908.74,495593.74,CLM10161,39508.44,approved,2024-06-10,AGT101
POL1162,CUST1162,1588.28,215348.85,CLM10162,40836.31,rejected,2024-06-11,AGT102
POL1163,CUST1163,444.17,302328.4,CLM10163,21931.46,approved,2024-06-12,AGT103
POL1164,CUST1164,1473.02,226391.16,CLM10164,15801.17,rejected,2024-06-13,AGT104
POL1165,CUST1165,1121.07,338125.07,CLM10165,13222.72,approved,2024-06-14,AGT105
POL1166,CUST1166,1667.41,246030.6,CLM10166,40418.22,pending,2024-06-15,AGT106
POL1167,CUST1167,734.65,142560.32,CLM10167,2510.14,rejected,2024-06-16,AGT107
POL1168,CUST1168,1596.76,492400.25,CLM10168,17261.12,pending,2024-06-17,AGT108
POL1169,CUST1169,577.03,143894.9,CLM10169,31372.58,rejected,2024-06-18,AGT109
POL1170,CUST1170,1670.15,267783.32,CLM10170,22791.57,pending,2024-06-19,AGT110
POL1171,CUST1171,1620.15,287600.11,CLM10171,20954.08,approved,2024-06-20,AGT111
POL1172,CUST1172,488.61,332402.3,CLM10172,19732.48,approved,2024-06-21,AGT112
POL1173,CUST1173,1187.71,388858.29,CLM10173,20602.31,rejected,2024-06-22,AGT113
POL1174,CUST1174,1913.47,277749.38,CLM10174,9141.6,rejected,2024-06-23,AGT114
POL1175,CUST1175,1398.26,440000.58,CLM10175,24795.66,rejected,2024-06-24,AGT115
POL1176,CUST1176,385.76,363243.4,CLM10176,45224.15,rejected,2024-06-25,AGT116
POL1177,CUST1177,287.21,102229.01,CLM10177,42008.75,pending,2024-06-26,AGT117
POL1178,CUST1178,531.76,231816.51,CLM10178,16686.51,rejected,2024-06-27,AGT118
POL1179,CUST1179,1823.33,114074.62,CLM10179,24203.6,approved,2024-06-28,AGT119
POL1180,CUST1180,1539.11,156546.44,CLM10180,20067.22,rejected,2024-06-29,AGT100
POL1181,CUST1181,1751.43,305870.86,CLM10181,43564.05,rejected,2024-06-30,AGT101
POL1182,CUST1182,1557.95,23429.1,CLM10182,5552.59,rejected,2024-07-01,AGT102
POL1183,CUST1183,1085.99,363260.5,CLM10183,14556.59,approved,2024-07-02,AGT103
POL1184,CUST1184,1808.03,371789.46,CLM10184,3943.99,approved,2024-07-03,AGT104
POL1185,CUST1185,746.52,107874.4,CLM10185,9035.61,pending,2024-07-04,AGT105
POL1186,CUST1186,609.6,200734.58,CLM10186,39081.69,approved,2024-07-05,AGT106
POL1187,CUST1187,1266.22,341075.51,CLM10187,39104.81,approved,2024-07-06,AGT107
POL1188,CUST1188,971.51,285528.22,CLM10188,23834.31,rejected,2024-07-07,AGT108
POL1189,CUST1189,1394.09,386193.16,CLM10189,30008.21,approved,2024-07-08,AGT109
POL1190,CUST1190,1844.65,379766.68,CLM10190,503.64,pending,2024-07-09,AGT110
POL1191,CUST1191,416.9,453939.15,CLM10191,14849.69,pending,2024-07-10,AGT111
POL1192,CUST1192,1202.25,117591.43,CLM10192,20892.62,rejected,2024-07-11,AGT112
POL1193,CUST1193,1094.53,381777.86,CLM10193,43818.48,pending,2024-07-12,AGT113
POL1194,CUST1194,515.39,393502.84,CLM10194,25491.89,rejected,2024-07-13,AGT114
POL1195,CUST1195,1179.74,164363.17,CLM10195,532.88,pending,2024-07-14,AGT115
POL1196,CUST1196,1853.68,66718.14,CLM10196,39945.64,pending,2024-07-15,AGT116
POL1197,CUST1197,1864.24,229033.09,CLM10197,14752.45,rejected,2024-07-16,AGT117
POL1198,CUST1198,1437.45,121288.36,CLM10198,14574.53,rejected,2024-07-17,AGT118
POL1199,CUST1199,1114.15,459189.02,CLM10199,3539.14,approved,2024-07-18,AGT119
