machine_id,machine_name,date,production_volume,units_produced,downtime_hours,status,good_units,total_units,product_name
MCH_7,MCH_7,2024-02-07,382,382,1.02,running,324,382,Tool
MCH_8,MCH_8,2024-02-08,146,146,1.59,running,127,146,Gadget
MCH_9,MCH_9,2024-02-09,187,187,0.55,running,182,187,Gadget
MCH_0,MCH_0,2024-02-10,203,203,3.69,down,192,203,Tool
MCH_1,MCH_1,2024-02-11,59,59,3.33,down,54,59,Gadget
MCH_2,MCH_2,2024-02-12,269,269,3.0,down,234,269,Widget
MCH_3,MCH_3,2024-02-13,392,392,1.93,down,357,392,Assembly
MCH_4,MCH_4,2024-02-14,277,277,1.01,maintenance,235,277,Gadget
MCH_5,MCH_5,2024-02-15,340,340,3.92,maintenance,316,340,Tool
MCH_6,MCH_6,2024-02-16,230,230,0.16,running,225,230,Component
MCH_7,MCH_7,2024-02-17,258,258,1.12,running,236,258,Assembly
MCH_8,MCH_8,2024-02-18,181,181,0.53,running,172,181,Component
MCH_9,MCH_9,2024-02-19,221,221,1.67,maintenance,208,221,Gadget
MCH_0,MCH_0,2024-02-20,157,157,0.57,running,146,157,Assembly
MCH_1,MCH_1,2024-02-21,367,367,2.29,running,327,367,Tool
MCH_2,MCH_2,2024-02-22,403,403,3.51,down,395,403,Assembly
MCH_3,MCH_3,2024-02-23,448,448,3.82,running,423,448,Widget
MCH_4,MCH_4,2024-02-24,349,349,1.06,maintenance,341,349,Gadget
MCH_5,MCH_5,2024-02-25,118,118,3.43,running,108,118,Gadget
MCH_6,MCH_6,2024-02-26,235,235,1.77,running,219,235,Widget
MCH_7,MCH_7,2024-02-27,162,162,3.76,running,153,162,Assembly
MCH_8,MCH_8,2024-02-28,345,345,2.56,maintenance,304,345,Tool
MCH_9,MCH_9,2024-02-29,207,207,2.13,running,202,207,Tool
MCH_0,MCH_0,2024-03-01,51,51,0.29,running,46,51,Assembly
MCH_1,MCH_1,2024-03-02,478,478,1.03,maintenance,431,478,Gadget
MCH_2,MCH_2,2024-03-03,329,329,3.16,running,310,329,Assembly
MCH_3,MCH_3,2024-03-04,82,82,1.66,maintenance,72,82,Tool
MCH_4,MCH_4,2024-03-05,388,388,0.63,down,353,388,Tool
MCH_5,MCH_5,2024-03-06,258,258,0.68,down,230,258,Gadget
MCH_6,MCH_6,2024-03-07,445,445,2.9,maintenance,430,445,Gadget
MCH_7,MCH_7,2024-03-08,177,177,3.9,running,174,177,Tool
MCH_8,MCH_8,2024-03-09,103,103,2.04,down,92,103,Tool
MCH_9,MCH_9,2024-03-10,435,435,3.4,running,424,435,Component
MCH_0,MCH_0,2024-03-11,189,189,2.54,down,163,189,Tool
MCH_1,MCH_1,2024-03-12,457,457,3.99,maintenance,425,457,Component
MCH_2,MCH_2,2024-03-13,102,102,1.83,running,91,102,Component
MCH_3,MCH_3,2024-03-14,445,445,0.96,running,434,445,Widget
MCH_4,MCH_4,2024-03-15,286,286,2.97,running,278,286,Tool
MCH_5,MCH_5,2024-03-16,240,240,3.14,down,218,240,Assembly
MCH_6,MCH_6,2024-03-17,345,345,3.12,running,325,345,Tool
MCH_7,MCH_7,2024-03-18,90,90,0.45,down,85,90,Gadget
MCH_8,MCH_8,2024-03-19,61,61,0.4,running,53,61,Tool
MCH_9,MCH_9,2024-03-20,315,315,1.99,running,277,315,Component
MCH_0,MCH_0,2024-03-21,285,285,0.3,running,248,285,Gadget
MCH_1,MCH_1,2024-03-22,322,322,3.41,running,302,322,Component
MCH_2,MCH_2,2024-03-23,354,354,3.52,running,327,354,Tool
MCH_3,MCH_3,2024-03-24,177,177,1.38,running,164,177,Gadget
MCH_4,MCH_4,2024-03-25,249,249,3.55,maintenance,240,249,Component
MCH_5,MCH_5,2024-03-26,104,104,1.16,maintenance,101,104,Assembly
MCH_6,MCH_6,2024-03-27,107,107,2.49,maintenance,105,107,Tool
MCH_7,MCH_7,2024-03-28,202,202,1.64,running,176,202,Gadget
MCH_8,MCH_8,2024-03-29,77,77,3.14,running,73,77,Component
MCH_9,MCH_9,2024-03-30,76,76,2.76,running,73,76,Tool
MCH_0,MCH_0,2024-03-31,470,470,0.18,maintenance,454,470,Widget
MCH_1,MCH_1,2024-04-01,494,494,0.76,running,470,494,Tool
MCH_2,MCH_2,2024-04-02,393,393,3.21,maintenance,351,393,Tool
MCH_3,MCH_3,2024-04-03,61,61,0.94,running,55,61,Widget
MCH_4,MCH_4,2024-04-04,282,282,0.63,down,247,282,Assembly
MCH_5,MCH_5,2024-04-05,222,222,2.18,maintenance,193,222,Component
MCH_6,MCH_6,2024-04-06,82,82,3.57,down,70,82,Assembly
MCH_7,MCH_7,2024-04-07,321,321,3.77,maintenance,297,321,Component
MCH_8,MCH_8,2024-04-08,377,377,1.2,running,373,377,Component
MCH_9,MCH_9,2024-04-09,133,133,1.09,running,113,133,Gadget
MCH_0,MCH_0,2024-04-10,347,347,2.17,down,314,347,Assembly
MCH_1,MCH_1,2024-04-11,217,217,1.76,running,207,217,Widget
MCH_2,MCH_2,2024-04-12,418,418,3.67,maintenance,362,418,Component
MCH_3,MCH_3,2024-04-13,480,480,3.56,running,412,480,Gadget
MCH_4,MCH_4,2024-04-14,162,162,0.74,running,140,162,Gadget
MCH_5,MCH_5,2024-04-15,319,319,3.4,down,298,319,Widget
MCH_6,MCH_6,2024-04-16,366,366,0.91,maintenance,335,366,Component
MCH_7,MCH_7,2024-04-17,496,496,1.01,running,456,496,Component
MCH_8,MCH_8,2024-04-18,167,167,3.91,running,144,167,Tool
MCH_9,MCH_9,2024-04-19,474,474,0.0,running,407,474,Assembly
MCH_0,MCH_0,2024-04-20,267,267,1.02,running,242,267,Gadget
MCH_1,MCH_1,2024-04-21,414,414,0.3,running,387,414,Tool
MCH_2,MCH_2,2024-04-22,117,117,2.58,running,104,117,Widget
MCH_3,MCH_3,2024-04-23,55,55,0.37,running,48,55,Widget
MCH_4,MCH_4,2024-04-24,466,466,2.0,running,406,466,Tool
MCH_5,MCH_5,2024-04-25,108,108,0.17,running,103,108,Tool
MCH_6,MCH_6,2024-04-26,359,359,0.3,running,326,359,Gadget
MCH_7,MCH_7,2024-04-27,171,171,2.21,running,155,171,Assembly
MCH_8,MCH_8,2024-04-28,269,269,3.56,maintenance,240,269,Assembly
MCH_9,MCH_9,2024-04-29,234,234,0.06,running,199,234,Gadget
MCH_0,MCH_0,2024-04-30,127,127,2.95,running,113,127,Assembly
MCH_1,MCH_1,2024-05-01,462,462,2.27,down,419,462,Component
MCH_2,MCH_2,2024-05-02,477,477,3.48,running,472,477,Widget
MCH_3,MCH_3,2024-05-03,360,360,1.26,running,348,360,Widget
MCH_4,MCH_4,2024-05-04,290,290,2.53,running,282,290,Component
MCH_5,MCH_5,2024-05-05,311,311,0.62,running,299,311,Gadget
MCH_6,MCH_6,2024-05-06,57,57,1.88,running,54,57,Assembly
MCH_7,MCH_7,2024-05-07,142,142,2.11,running,135,142,Component
MCH_8,MCH_8,2024-05-08,318,318,2.13,running,293,318,Widget
MCH_9,MCH_9,2024-05-09,366,366,3.37,running,325,366,Tool
MCH_0,MCH_0,2024-05-10,113,113,0.61,maintenance,111,113,Assembly
MCH_1,MCH_1,2024-05-11,63,63,2.54,running,55,63,Gadget
MCH_2,MCH_2,2024-05-12,354,354,2.23,running,329,354,Widget
MCH_3,MCH_3,2024-05-13,350,350,2.96,running,321,350,Component
MCH_4,MCH_4,2024-05-14,429,429,3.65,running,372,429,Component
MCH_5,MCH_5,2024-05-15,312,312,3.8,running,289,312,Tool
MCH_6,MCH_6,2024-05-16,167,167,2.23,maintenance,157,167,Component
MCH_7,MCH_7,2024-05-17,78,78,0.49,running,71,78,Assembly
MCH_8,MCH_8,2024-05-18,324,324,0.72,running,289,324,Component
MCH_9,MCH_9,2024-05-19,408,408,1.05,running,373,408,Tool
MCH_0,MCH_0,2024-05-20,143,143,2.75,running,127,143,Gadget
MCH_1,MCH_1,2024-05-21,149,149,3.62,running,146,149,Gadget
MCH_2,MCH_2,2024-05-22,62,62,2.62,running,60,62,Gadget
MCH_3,MCH_3,2024-05-23,267,267,0.7,running,237,267,Tool
MCH_4,MCH_4,2024-05-24,146,146,2.93,running,139,146,Gadget
MCH_5,MCH_5,2024-05-25,80,80,0.37,maintenance,74,80,Widget
MCH_6,MCH_6,2024-05-26,168,168,1.4,running,159,168,Widget
MCH_7,MCH_7,2024-05-27,91,91,1.05,running,77,91,Gadget
MCH_8,MCH_8,2024-05-28,422,422,2.43,running,371,422,Tool
MCH_9,MCH_9,2024-05-29,312,312,2.88,running,271,312,Component
MCH_0,MCH_0,2024-05-30,321,321,2.24,running,279,321,Tool
MCH_1,MCH_1,2024-05-31,255,255,0.27,running,235,255,Widget
MCH_2,MCH_2,2024-06-01,359,359,3.84,maintenance,322,359,Tool
MCH_3,MCH_3,2024-06-02,328,328,0.9,maintenance,285,328,Gadget
MCH_4,MCH_4,2024-06-03,345,345,0.7,running,320,345,Assembly
MCH_5,MCH_5,2024-06-04,493,493,3.15,running,423,493,Assembly
MCH_6,MCH_6,2024-06-05,487,487,2.75,maintenance,422,487,Tool
MCH_7,MCH_7,2024-06-06,254,254,0.73,running,237,254,Tool
MCH_8,MCH_8,2024-06-07,423,423,3.31,running,362,423,Assembly
MCH_9,MCH_9,2024-06-08,108,108,0.59,running,101,108,Assembly
MCH_0,MCH_0,2024-06-09,101,101,2.45,maintenance,94,101,Tool
MCH_1,MCH_1,2024-06-10,275,275,3.62,running,266,275,Component
MCH_2,MCH_2,2024-06-11,202,202,2.44,running,176,202,Component
MCH_3,MCH_3,2024-06-12,196,196,0.75,running,170,196,Tool
MCH_4,MCH_4,2024-06-13,475,475,0.92,running,442,475,Tool
MCH_5,MCH_5,2024-06-14,223,223,1.47,running,191,223,Tool
MCH_6,MCH_6,2024-06-15,51,51,0.79,running,45,51,Gadget
MCH_7,MCH_7,2024-06-16,452,452,1.8,running,398,452,Widget
MCH_8,MCH_8,2024-06-17,317,317,2.28,running,284,317,Assembly
MCH_9,MCH_9,2024-06-18,67,67,0.64,down,60,67,Tool
MCH_0,MCH_0,2024-06-19,444,444,1.14,running,424,444,Component
MCH_1,MCH_1,2024-06-20,201,201,1.72,running,180,201,Component
MCH_2,MCH_2,2024-06-21,454,454,0.21,running,432,454,Gadget
MCH_3,MCH_3,2024-06-22,256,256,2.87,maintenance,223,256,Component
MCH_4,MCH_4,2024-06-23,276,276,2.49,running,269,276,Widget
MCH_5,MCH_5,2024-06-24,364,364,2.59,running,324,364,Assembly
MCH_6,MCH_6,2024-06-25,159,159,1.11,down,137,159,Gadget
MCH_7,MCH_7,2024-06-26,196,196,2.7,running,193,196,Widget
MCH_8,MCH_8,2024-06-27,259,259,3.56,running,225,259,Gadget
MCH_9,MCH_9,2024-06-28,257,257,0.45,running,242,257,Gadget
MCH_0,MCH_0,2024-06-29,348,348,0.15,down,338,348,Assembly
MCH_1,MCH_1,2024-06-30,348,348,0.22,down,330,348,Component
MCH_2,MCH_2,2024-07-01,418,418,3.18,down,360,418,Component
MCH_3,MCH_3,2024-07-02,487,487,3.92,running,423,487,Gadget
MCH_4,MCH_4,2024-07-03,150,150,0.12,running,143,150,Tool
MCH_5,MCH_5,2024-07-04,160,160,1.36,running,146,160,Widget
MCH_6,MCH_6,2024-07-05,378,378,0.91,running,353,378,Tool
MCH_7,MCH_7,2024-07-06,376,376,1.54,down,321,376,Component
MCH_8,MCH_8,2024-07-07,297,297,3.85,running,292,297,Widget
MCH_9,MCH_9,2024-07-08,447,447,3.96,maintenance,394,447,Assembly
MCH_0,MCH_0,2024-07-09,57,57,0.9,running,52,57,Component
MCH_1,MCH_1,2024-07-10,465,465,1.57,down,400,465,Component
MCH_2,MCH_2,2024-07-11,155,155,1.53,running,151,155,Gadget
MCH_3,MCH_3,2024-07-12,392,392,0.7,running,358,392,Gadget
MCH_4,MCH_4,2024-07-13,410,410,3.17,running,392,410,Gadget
MCH_5,MCH_5,2024-07-14,68,68,1.91,down,63,68,Widget
MCH_6,MCH_6,2024-07-15,199,199,3.86,running,192,199,Component
MCH_7,MCH_7,2024-07-16,292,292,1.11,down,288,292,Tool
MCH_8,MCH_8,2024-07-17,259,259,3.34,running,253,259,Assembly
MCH_9,MCH_9,2024-07-18,104,104,1.13,running,99,104,Widget
