Transaction ID,Date,Member Name,Department,Event Type,Region,Amount,Discount,Quantity,Total,Payment Method
CHC40469,23-03-2024,Member_0098,Music Ministry,Conference,East,1176.61,0,3,3529.84,Bank Transfer
CHC40195,"August 19, 2023",Member_0309,Music Ministry,Sunday Service,East,184.82,0,4,,Bank Transfer
CHC40065,2022-08-18,Member_0392,Music Ministry,Outreach,  ,212.01,0,3.0,636.04,Cheque
CHC40402,12/23/2023,Member_0309,Administration,Conference,East,417.84,0,3,1253.52,Cheque
CHC40147,2024/03/12,Member_0111, Main Sanctuary,Sunday Service,South,$296.36,0,3,889.09,Cash
CHC40139,01/04/2024,Member_0568,Outreach,building fund,West,579.27,0,3,,  Cash  
CHC40002,20-06-2023,Member_0011,Outreach,Sunday Service,Central,242.69,0,3,728.08,Mobile Money
CHC40151,23-06-2023,Member_0167,Outreach,Midweek Service,South,13.64,0,2,27.29,Mobile Money
CHC40519,2023-05-23,Member_0030,Outreach,Outreach,Central,928.4,0,2,1856.8,Bank Transfer
CHC40325,2024-08-12,member_0385,Children's Church,Sunday Service,north,491.88,0,3,1475.64,Mobile Money
CHC40024,05/16/2024,Member_0210,Outreach,Special Program,East,3024,0,2,6048.92,Cheque
CHC40598,07/16/22,Member_0426,administration,Conference,West,2438.99,0,1,2438.99,Cash
CHC40551,TBD,Member_0393, Children's Church,Building Fund,West,"$7,178.52",0,1,7178.52,mobile money
CHC40585,19 Nov 2022,Member_0391,Children's Church,Building Fund,North,9724.69,0,4,38898.77,Bank Transfer
CHC40560,"October 07, 2024",Member_0140,Outreach,Conference,South,1401.57,0,3,4204.71,Mobile Money
CHC40532,08/04/2024,Member_0307,Music Ministry,Building Fund,TBD,6787.6,0,1,6787.6,Bank Transfer
CHC40400,2023-04-05,Member_0135,Administration,Midweek Service,South,175.36,0,3,526.07,Bank Transfer
CHC40165,2022/03/16,Member_0479,Music Ministry,  Midweek Service  ,TBD,275.89,0,2,551.78,Mobile Money
CHC40103,08/04/23,Member_0013,Children's Church,Midweek Service,Central,394.26,0,1,394.26,Mobile Money
CHC40196,2023/12/30,Member_0391,Youth Ministry,Building Fund,West,9448.54,0,1,9448.54,MOBILE MONEY
CHC40506,2022-10-08,,Youth Ministry,Special Program,West,4344.51,0,1,4344.51,  Mobile Money  
CHC40478,2024/03/30,member_0234,  Children's Church  ,  Special Program  ,Central,1334.8,$0.00,4,5339.19,Mobile Money
CHC40250,06/04/23,Member_0420,Main Sanctuary,Conference,East,1013.29,0,1,1013.29,Mobile Money
CHC40188,11 Sep 2023,Member_0107,Children's Church,Building Fund,North,2870.85,0,1,2870.85,Bank Transfer
CHC40591,07/27/22,Member_0187,Music Ministry,Sunday Service,West,212.1,0,2,424.2,Bank Transfer
CHC40552,2022/07/30,Member_0328,Outreach,Midweek Service, South,198.1,TBD,1,198.1,Bank Transfer
CHC40388,03/24/23,Member_0260,Children's Church,Midweek Service,West,332.24,0,-4,1328.95,Cash
CHC40143,2023-01-26,Member_0385,Outreach,Building Fund,North,-8107.827129396835,0,1,8107.83, Cheque
CHC40586,"May 25, 2024",Member_0599,Children's Church,Conference,North,686.71,0,1,686.71,Mobile Money
CHC40368,01 Oct 2023,N/A,Administration,Building Fund,North,1964.25,0,3,5892.74,Bank Transfer
CHC40558,"August 15, 2023",Member_0558,Children's Church,Sunday Service,None,159.9,0,4,639.61,N/A
CHC40152,03/15/24,null,,Special Program,Central,2113.39,0,4,8453.55,Mobile Money
CHC40101,28 Sep 2024,Member_0437,Children's Church,Sunday Service,West,127.25,0,2,-254.5036391886541,Cheque
CHC40422,"November 05, 2024",Member_0457,Children's Church,Sunday Service,SOUTH,315.71,0,3,947.12,Cheque
CHC40043,08 Jan 2022,Member_0529,Administration,Midweek Service,East,118.56,0,3,355.68,Cash
CHC40185,09-04-2024,Member_0087,Outreach,Sunday Service,Central,198.75,0,1,198.75,Cash
CHC40599,12 Feb 2022,,Outreach,Sunday Service,Central,345.58,0,2,691.16,Mobile Money
CHC40163,08/12/22,Member_0306,Children's Church,Special Program,West,1936.79,0,1,1937,  Mobile Money  
CHC40329,TBD,,Outreach,,West,719.43,0,2,1438.86,Bank Transfer
CHC40334,"December 23, 2024",MEMBER_0117,Administration,Conference,North,472.88,0,2,945.76,Cash
CHC40055,19-10-2023,Member_0576,Outreach,Building Fund,West,9484.31,0,2,18968.62,Cash
CHC40185,09-04-2024,Member_0087,Outreach,Sunday Service,Central,198.75,0,1,198.75,Cash
CHC40080,2024/03/17,Member_0456,Youth Ministry,outreach,East,189.67,0,2,379.34,Cheque
CHC40239,05 Jun 2022,Member_0585,Administration,Conference,Central,1742.2,0,1,1742.2,
CHC40339,2022/04/30,Member_0485,Youth Ministry,Sunday Service,Central,60.21,0,2,120.42,cheque
CHC40113,04/02/2023,Member_0346,Outreach,Conference,  West  ,1184.36,0,1,1184.36,Cash
CHC40378,01/31/23,Member_0296,Children's Church,Conference,  West  ,1600.46,0,3,4801.37,Mobile Money
CHC40372,02/13/23,  ,Music Ministry,Midweek Service,North,75.56,0,1,,Mobile Money
CHC40087,27-06-2022,Member_0440,Children's Church,Special Program,Central,4169.92,$0.00,2,8339.84,Bank Transfer
CHC40015,08 May 2023,Member_0560,Administration,Sunday Service,Central,74.46,0,3,223.38,Cash
CHC40023,2023/12/27,Member_0079,Main Sanctuary,Sunday Service,East,19.52,0,2,39.05,Cheque
CHC40544,2023/04/30,Member_0182,Children's Church,Midweek Service,East,429.04,0,4,1716.14,Cash
CHC40449,28 Feb 2022,Member_0251,Outreach,Building Fund,North,8828.12,0,4,35312.5,Bank Transfer
CHC40356,09/28/2022,Member_0361,Children's Church,Special Program,South,3332.47,0,1,3332.47,Cash
CHC40579,05/19/2022,Member_0020,Outreach,Midweek Service,South,170.6,0,2,341.21,Cash
CHC40226,2022/11/22,Member_0427,Children's Church,Special Program,east,3484.49,0,1,3484,Cheque
CHC40445,10/09/24,,Outreach,Special Program,South,1593.0,0,2,3186.01,BANK TRANSFER
CHC40361,2022-01-07,Member_0129,  Youth Ministry  ,Special Program,Central,1641.16,0,3,-4923.46784782608,Cash
CHC40090,0000-00-00,Member_0385,Main Sanctuary,Conference,Central,2597.83,0,3,7793.5,  Mobile Money  
CHC40408,"October 05, 2024",Member_0506,  Outreach  ,Outreach,North,148,0,2,296.59,Cash
CHC40441,2024/03/19,Member_0166,  Children's Church  ,Building Fund,South,3208.31,0,2,6416.61,Bank Transfer
CHC40483,11/13/2023,Member_0141,Music Ministry,Conference,Central,1418.11,0,4.0,5672.43, Bank Transfer
CHC40581,2024/02/07,  Member_0501  ,main sanctuary,Outreach,West,633.48,N/A,2,1266.97,Bank Transfer
CHC40066,20-02-2024,Member_0139,Outreach,Midweek Service, West,283.73, 0 ,2,567.47,Bank Transfer
CHC40389,0000-00-00,Member_0500,Music Ministry,Sunday Service,East,417.06,0,2,834.12,Mobile Money
CHC40283,2023/12/14,Member_0239,Outreach,Special Program,North,3104.67,0,1,3104.67,Cheque
CHC40462,04/15/23,Member_0245,Administration,Building Fund,South,9973.67,0,3,29921.02,Bank Transfer
CHC40437,2022-06-15,Member_0062,Outreach,Outreach,East,495.43,0,4,1981.74,Bank Transfer
CHC40572,09/01/2023,Member_0028,Main Sanctuary,Sunday Service,West,436.72,,1,436.72,  Bank Transfer  
CHC40468,16 Jun 2023,Member_0116,Youth Ministry,Outreach,,814.25,0,1, 814.2528385966563 ,Mobile Money
CHC40338,2022/11/07,Member_0263,,Conference,North,1232.09,0,4,,Mobile Money
CHC40326,2023-11-19,Member_0488,Music Ministry,Sunday Service,central,315.74,0,4,1262.96,Cash
CHC40160,09/22/23,,Music Ministry,Building Fund,Central, 5056.669664258096 ,0,1,5056.67,Cash
CHC40351,"February 15, 2023",Member_0367,Administration, Outreach,Central,814.55,0,3,2443.65,Bank Transfer
CHC40306,2022-09-03,Member_0173,Outreach, Outreach,,,0,4,1759.7,Bank Transfer
CHC40530,2022/04/13,Member_0411,Main Sanctuary,Special Program,South,1261.2,0,4,5044.81,Cash
CHC40470,03/19/2023,Member_0310,Children's Church,Special Program,East,4683.34,0,4,18733.36,Mobile Money
CHC40293,2024-04-04,Member_0369,Music Ministry,Outreach,  South  ,906.61,0,3,2719.84,Bank Transfer
CHC40594,02/25/22,Member_0111,Main Sanctuary,Special Program,West,439.0,0,4,,Mobile Money
CHC40095,2024/11/01,Member_0389,Main Sanctuary,  Special Program  ,,2310.96,0,3,6932.87,
CHC40039,"January 02, 2022",Member_0350,Youth Ministry,Midweek Service,East,120.8,0,3,362.39,Bank Transfer
CHC40052,16 Dec 2022,Member_0045,Music Ministry,Special Program,East,4701.46,$0.00,2,9402.93,Unknown
CHC40394,06-12-2022,Member_0590,Youth Ministry,Conference,North,1606.16,0,1,1606.16,Cash
CHC40452,28-08-2022,Member_0416,Children's Church,Building Fund,East,2023.86,0,4,8095.45,Cheque
CHC40451,2024/04/02,Member_0391,Main Sanctuary,Special Program,  North  ,"$4,042.66",0,1,4042.66,Cash
CHC40514,23 Jun 2023,Member_0012,Main Sanctuary,,central,2728.93,,2,"$5,457.86",
CHC40458,07/07/2023,Member_0419,Main Sanctuary,Outreach,East,839.39,0,4,3357.56,Cheque
CHC40112,02/12/2022,Member_0192,  Children's Church  ,Building Fund,North,9828.65,0,3,29485.94,Cash
CHC40533,2024/04/22,Member_0158,Administration,Building Fund,Central,4107.02,0,1,4107.02,Cheque
CHC40348,2024-07-10,Member_0413,Children's Church,Midweek Service,South,153.35,0,2,306.7,Cheque
CHC40430,"May 30, 2022",Member_0476,Administration,outreach,South,980.59,0,2,,Cash
CHC40380,21-07-2023,Member_0237,Children's Church,N/A,Central,,0,3,335.89,Cheque
CHC40110,12/30/23,Member_0595,Main Sanctuary,Outreach,West,633.21,0,-4,2532.84,Cash
CHC40535,2022-04-15,Member_0068,Youth Ministry,Midweek Service,North,477.19,0,,954.39, Cheque
CHC40102,"March 16, 2023",Member_0113,MUSIC MINISTRY,Conference,Central,1915.52,0,3,5746.56,Bank Transfer
CHC40398,"March 04, 2024",Member_0070,Children's Church,Midweek Service,West,454.82,0,2,909.64,Mobile Money
CHC40094,08/25/23,Member_0355,Outreach,Conference,South,2768.81,0,1,2768.81,Cheque
CHC40157,2024-03-13,Member_0320,Youth Ministry,Outreach,South,849.34,$0.00,1,849.34,Cash
CHC40286,2022/05/01,Member_0173,Children's Church,Sunday Service,East,$439.47,0,1,439.47,bank transfer
CHC40200,03/23/2024,Member_0424,Youth Ministry,Sunday Service,North,341.12,0,2,682.25,Mobile Money
CHC40324,2022-11-01,Member_0482,,Midweek Service,North,117.28,0,2,234.57,Cheque
CHC40512,"May 02, 2024",Member_0204,,Conference,North,1458.22,0,2,2916.43,Mobile Money
CHC40273,2024/05/25,Member_0169,Youth Ministry,Midweek Service,South,,0,2,338.62,Cheque
CHC40217,12-05-2023,Member_0440,Main Sanctuary,Special Program,  -  ,4811,0,1,4811.13,Mobile Money
CHC40486,2022/10/20,Member_0144,Youth Ministry,Building Fund,SOUTH,5608.5,0,1,5608.5,Bank Transfer
CHC40565,"November 23, 2022",Member_0446,Music Ministry,Outreach,West,35.52,0,2,71.04,Bank Transfer
CHC40120,12/20/23,Member_0053,Children's Church,Conference,West,1237.29,0,4,4949.16,Mobile Money
CHC40474,10/21/22,Member_0511,ADMINISTRATION,Conference,West,1889.71,0,3,5669.12,Cheque
CHC40540,"April 19, 2024",Member_0045,administration,Sunday Service,North,255.5,0,1,255.5,  Cash  
CHC40559,2022/01/02,Member_0509,  Youth Ministry  ,Sunday Service,Central,488.2,,1,488.2,Bank Transfer
CHC40289,04/05/2023,Member_0535,Administration,Building Fund,Central,6798.34,0,1,6798.34,Bank Transfer
CHC40199,10/27/2024,Member_0009,Music Ministry,,West,86.23,,3,258.68,Cash
CHC40218,2022/06/07,Member_0204,Outreach,Outreach,West,776.04,0,4,3104.17,Mobile Money
CHC40264,07/27/23,Member_0542,Outreach,SPECIAL PROGRAM,North,,0,4,6482.41, Cheque
CHC40534,05/25/2024,Member_0385, Children's Church,Conference,,2223.84,0,,,mobile money
CHC40498,"March 01, 2022",Member_0154,Outreach,Sunday Service,West, 347.3705610133168 ,0,3,1042.11,Cash
CHC40313,2024-02-06,Member_0591,Children's Church,,Central,3330.65,0,2,6661.3,Bank Transfer
CHC40124,"April 04, 2024",,Administration,Building Fund,West,5896.81,0,2,11793.63,Cheque
CHC40413,2023-11-20,Member_0584,Children's Church,Building Fund,East,4380.15,0,2,"$8,760.29",  -  
CHC40464,10/15/2022,Member_0187,Administration,Conference,TBD,,0,4,10605.47,Cash
CHC40194,2022-02-20,Member_0205,Youth Ministry,Building Fund,West,1325.65,0,-2,2651.3,  Bank Transfer  
CHC40444,12/14/24,Member_0383,Administration,Outreach,South,924.62,0,4,3698.48,Cheque
CHC40142,"June 10, 2024",Member_0379,Main Sanctuary,Sunday Service,South, 245.99603009594657 ,0,3,737.99,Cheque
CHC40577,05/23/2022,Member_0027,Main Sanctuary, Building Fund,North,7890.56,0,4,31562.24,cash
CHC40489,06/15/2022,Member_0160,Youth Ministry,Building Fund,West,3107.67,0,1,3107.67,BANK TRANSFER
CHC40032,2023-11-13,member_0103,Children's Church,Midweek Service,Central,66.97,0,2,,Bank Transfer
CHC40386,2022/07/12,Member_0522,Youth Ministry,Outreach,South,455.81,0,1,455.81,BANK TRANSFER
CHC40321,05/08/2022,Member_0416,Outreach,Sunday Service,South,60.37,0,4,241.49,Bank Transfer
CHC40531,"March 29, 2023",  Member_0190  ,Outreach,Conference,North,2288.86,0,3,6866.58,Cheque
CHC40567,2022/04/27,Member_0168,Youth Ministry, Special Program,West,1933.01,0,4,7732.02,Mobile Money
CHC40107,04/23/2023,Member_0385,Administration,Conference,TBD,1932.14,0,2,3864.28,Cash
CHC40071,08 Jun 2024,Member_0320,  Outreach  ,Conference,North,191.77,0,2,383.55,Mobile Money
CHC40279,01/01/22,Member_0023,Outreach,Building Fund,North,4908.86,0,3,14727,Bank Transfer
CHC40332,"June 24, 2022",Member_0374,Administration,Special Program,East,3468.36,0,2,6936.73,Cash
CHC40343,04/29/2024,Member_0569,Children's Church,special program,Central,3500.51,0,2,7001.01,bank transfer
CHC40190,06/21/22,Member_0290, Children's Church,Special Program,Central,676.14,0,1,676.14,Bank Transfer
CHC40202,2024-07-15,Member_0176,Music Ministry,Conference,Central,"$1,883.64",0,2,3767,mobile money
CHC40425,2024-13-45,Member_0334,Youth Ministry,Special Program,East,672.63,-,2,1345.27,Bank Transfer
CHC40153,06-10-2023,Member_0227,Administration,Special Program,West,4332.53,unknown,1,4332.53,Mobile Money
CHC40208,"June 15, 2024",Member_0161,Main Sanctuary,Conference, South,1698.75,0,4,6795.02,mobile money
CHC40358,"November 20, 2022",Member_0578,Outreach,Outreach,,105.47,0,2,210.94,
CHC40385,"July 10, 2023",Member_0171,Youth Ministry,Outreach,South,229.99,0,1,229.99,Cash
CHC40049,04/22/23,Member_0026,Music Ministry,Building Fund,Central,1047.04,0,2,2094.07,Bank Transfer
CHC40267,2022-12-19,Member_0080,Outreach,Midweek Service,N/A,102.56,0,3,-307.6925040356188,Unknown
CHC40212,30 Jul 2023,Member_0271,Main Sanctuary,Building Fund,West,9654.43,0,2,19308.86,Cash
CHC40446,2024/11/08,Member_0105,Outreach,  Conference  ,East,,0,3,804.76,Cheque
CHC40379,01/04/22,Member_0179, Youth Ministry,Conference,South,1859.01,0,2,,Cheque
CHC40171,2023/08/14,Member_0178,Main Sanctuary,Special Program,Central,3600.07,0,2,7200.14,Bank Transfer
CHC40435,04-03-2024,Member_0279,  Music Ministry  ,Midweek Service,Central,472.44,0,1,472.44,Mobile Money
CHC40557,06/04/23,Member_0410,Children's Church,Midweek Service,Central,427.05,0,3,1281.15,Cash
CHC40209,07/09/2023,Member_0025,Youth Ministry,Special Program,North,3447.18,0,4,13788.72,Cash
CHC40203,01 May 2024,Member_0043,Outreach,Building Fund,South,4704.67,0,4,18818.68,Cheque
CHC40309,01-08-2022,Member_0458,Main Sanctuary,Building Fund,South,9309.69,0,1,-9309.691121979175,Mobile Money
CHC40328,"September 24, 2024",Member_0339,Main Sanctuary,Outreach,East,632.87,0,1,-,Bank Transfer
CHC40436,"February 24, 2023",Member_0559,Main Sanctuary,  Sunday Service  ,,12.22,0,1,12.22,None
CHC40210,2024-11-18,Member_0065,Main Sanctuary,Building Fund,South,4502.62,0,1,4502.62,Cash
CHC40137,09/25/24,Member_0588,Music Ministry,Outreach,South,574.03,0,1,574,Mobile Money
CHC40484,31 Jan 2024,Member_0449,Children's Church,Building Fund,South,411.6,0,4,1646.4,  Cheque  
CHC40307,04/28/24,MEMBER_0585,Music Ministry,Building Fund,Central,6301.44,0,3,18904.33,Bank Transfer
CHC40091,2022-06-21,Member_0328,Administration,Special Program,North,4116.97,0,2,8233.94,Cash
CHC40211,2023-02-04,Member_0346,Music Ministry,Building Fund,  East  ,4492.54,0,4,17970.15,Bank Transfer
CHC40136,"July 02, 2023",Member_0030,Music Ministry,Special Program,Central,3465.93,0,3,10397.78,Cheque
CHC40348,2024-07-10,Member_0413,Children's Church,Midweek Service,South,153.35,0,2,306.7,Cheque
CHC40149,27 Mar 2022,Member_0196,YOUTH MINISTRY,Special Program,Central,2463.19,0,,-4926.387185147917,Bank Transfer
CHC40229,23 Nov 2024,Member_0196,Children's Church,Conference,South,290.18,0,4,1160.73,Cash
CHC40051,2024/07/14,Member_0394,Youth Ministry,Midweek Service,West,226.07,0,3,678.22,Mobile Money
CHC40300,01/11/2023,Member_0212,Children's Church,  Special Program  ,East,1853,0,3,,Bank Transfer
CHC40257,"March 29, 2022",Member_0177,Outreach,Midweek Service,North,50,$0.00,3,150.7,Cash
CHC40105,01-05-2024,Member_0429,Music Ministry,Building Fund,West,3916.6,0,1.0,3916.6,Bank Transfer
CHC40440,2024-09-16,Member_0041,Youth Ministry,Special Program,West,3196.6,0,1,3196.6,Bank Transfer
CHC40475,"May 13, 2022",Member_0600,Administration,Sunday Service,East,-181.86319081671738,0,3,545.59,Cash
CHC40016,11/27/2023,Member_0137,Music Ministry,Special Program,South,1153.06,null,3.0,3459.19,Cheque
CHC40576,12/03/24,Member_0516,  Outreach  ,Conference,South,"$2,516.45",0,2,5032.9,Bank Transfer
CHC40505,2023/05/31,Member_0246,Youth Ministry,  Outreach  ,Central,807.74,0,3,2423.22,Cheque
CHC40510,"June 21, 2022",Member_0234,N/A,Outreach,,213.38,0,3,640.13,Mobile Money
CHC40377,2023/01/22,  Member_0513  ,  Administration  ,Outreach,Central,872.43,0,,2617.29,N/A
CHC40105,01-05-2024,Member_0429,Music Ministry,Building Fund,West,3916.6,0,1.0,3916.6,Bank Transfer
CHC40390,10/24/2024,Member_0511,Outreach,Midweek Service,Central,120.88,0,3,362.64,Cash
CHC40472,2022/12/04,Member_0104,Administration,Building Fund,South,7801.17,0,2,15602.35,BANK TRANSFER
CHC40082,03-10-2023,Member_0053,Children's Church,Special Program,Central,3557.95,0,2,7115.91,Cheque
CHC40331,08/03/22,Member_0385,Main Sanctuary,Sunday Service,Central,194.0,0,1,194.0,Mobile Money
CHC40076,2023/03/29,,Youth Ministry,Building Fund,  West  ,3812.16,0,2,7624.32,CASH
CHC40242,2023/01/02,Member_0575,,Midweek Service,north,20.65,0,1,20.65,Cheque
CHC40517,03-04-2023,Member_0352,Outreach,Midweek Service,West,455.66,0,1,455.66,  Bank Transfer  
CHC40365,09-06-2024,,ADMINISTRATION,Conference,south,278.45,0,4,1113.81,Cheque
CHC40168,03/02/2023,Member_0396,Children's Church,Conference,South,1878.01,0,3,5634.04,Mobile Money
CHC40123,22 Sep 2023,Member_0090,Outreach,Special Program,East,2146.99,0,3,6440.96,
CHC40280,"October 04, 2023",Member_0442,Children's Church,Midweek Service,Central,433.14,0,1, 433.13571075057416 ,Mobile Money
CHC40369,18 Jun 2023,Member_0143,Main Sanctuary,Sunday Service,  East  ,235.65,0,2,471.29,Cheque
CHC40240,18 Mar 2023,Member_0360,Youth Ministry,Outreach,  South  ,384.78,0,1,384.78,Cash
CHC40206,17 Dec 2024,Member_0372,Children's Church,Midweek Service,South,22.01,0,2,44.03,Cash
CHC40017,05/16/2024,Member_0215,Main Sanctuary,Sunday Service,North,$70.03,0,3,210.08,Mobile Money
CHC40109,11 Jun 2024,MEMBER_0369,Outreach,Building Fund,Central,305.49,0,4,1221.98,Mobile Money
CHC40178,09/17/2022,Member_0420, Administration,Special Program,south,4560.55,0,1,4560.55,Cash
CHC40568,27 Jun 2023,Member_0204,Outreach,Sunday Service,East,259.0,0,2,518.0,Bank Transfer
CHC40428,07/04/22,,Administration,Midweek Service,East,376.28,0,4,1505.11,Bank Transfer
CHC40352,"April 18, 2024",Member_0447,Music Ministry,Special Program,South,2667.58,0,1, 2667.5832338019645 ,Cheque
CHC40062,12/13/22,Member_0317,MAIN SANCTUARY,,West,798.76,0,4,"$3,195.05",  Cheque  
CHC40258,"February 24, 2024",TBD,Main Sanctuary,Sunday Service,South,493.98,,3,1481.95,Cheque
CHC40497,25 May 2024,Member_0547,Youth Ministry,Outreach,North,618.76,0,1,618.76,  Cash  
CHC40414,08/28/2024,Member_0143,Children's Church,Special Program,N/A,4329.57,0,4, 17318.288775212797 ,Bank Transfer
CHC40213,05/26/2024,Member_0136,Main Sanctuary,,East,771.36,$0.00,1,771.36,Bank Transfer
CHC40447,"May 18, 2023",Member_0393,Youth Ministry,Midweek Service,North,68.9,0,3,206.7,Mobile Money
CHC40494,2023-09-07,Member_0508,Outreach,Special Program,North,1278.36,0,3,3835,Cash
CHC40177,02/11/2022,Member_0184, Administration,Building Fund,east,9118,0,1,9118.04,Bank Transfer
CHC40516,"October 25, 2022",Member_0547,MUSIC MINISTRY,Special Program,North,154.22,0,2,,Bank Transfer
CHC40355,01/24/24,Member_0144,OUTREACH, Sunday Service,North,352.83,0,2.0,705.65,Bank Transfer
CHC40416,01/23/22,Member_0328,Music Ministry,,West,387.66,0,4,1550.64,Cash
CHC40072,13-04-2024,Member_0480,Main Sanctuary,Special Program,west,3207.85,0,3,9623.56,Bank Transfer
CHC40304,12-03-2022,member_0597,Youth Ministry,Midweek Service,East,80.94,0,4,323.77,Cash
CHC40070,"September 28, 2024",Member_0012,Youth Ministry,TBD,Central,null,0,2,1773.46,Cheque
CHC40500,08/03/23,Member_0216,Outreach,Sunday Service,West,-458.04027525364006,0,2,916.08,Mobile Money
CHC40013,09-08-2024,Member_0001,Administration,,Central,360.85, 0 ,1,360.85,Cash
CHC40407,"July 09, 2024",Member_0592,Youth Ministry,Sunday Service, West,209.94,0,4,839.75,Cheque
CHC40314,0000-00-00,Member_0434,,Sunday Service,South,374.51,0,4,1498.02,Mobile Money
CHC40243,"July 26, 2023",Member_0198,Youth Ministry,Building Fund,West,8367.78,0,2,16735.55,Cheque
CHC40569,06/27/2022, Member_0237,Main Sanctuary,  Special Program  ,West,4331.43,0,2,8662.86,Bank Transfer
CHC40030,2022-11-29,Member_0084,Children's Church,Outreach,West,132.91,0,4,532,Cheque
CHC40374,05/08/2024,member_0454,Children's Church,  Conference  ,NORTH,2231.46,0,4,8925.83,Bank Transfer
CHC40391,"August 03, 2022",Member_0173,Administration,outreach,North,736.78,0,4,2947.11,Mobile Money
CHC40100,2022/08/08,Member_0414,Children's Church,SUNDAY SERVICE,West,173.56,0,2,347.12,Mobile Money
CHC40138,01/23/2022,Member_0472,  Administration  ,Midweek Service,West,475.4,0,1,475.4,Bank Transfer
CHC40550,30-12-2022,Member_0232,Administration,Conference,South,302.95,0,2, 605.8913398318043 ,null
CHC40290,20 Nov 2022,Member_0469,,Conference,West,2082.17,0,1,2082.17,Cheque
CHC40089,11 May 2024,Member_0547,Administration,Midweek Service,West, 10.096649569404608 ,0,2,20.19,Cash
CHC40179,06/21/24,Member_0564,Main Sanctuary,Sunday Service,North,419.02, 0 ,4,1676.09,Bank Transfer
CHC40434,2022-02-04,  Member_0145  ,Outreach,Special Program,North,1863.54,0,3,5590.63,Mobile Money
CHC40227,2024-10-09,Member_0108,,Sunday Service,Central,485.86,0,1,485.86,Bank Transfer
CHC40224,"July 13, 2023",Member_0302,Music Ministry,Outreach,  South  ,92.89,$0.00,-1,92.89,Cheque
CHC40383,invalid,Member_0177,,Midweek Service, Central,15.58,0,1,,Bank Transfer
CHC40207,2024-01-06,Member_0109,Youth Ministry,Midweek Service,Central,192.13,0,2,384.26,Cheque
CHC40046,08/13/24,  Member_0400  ,Administration,Special Program, West,1518.95,0,,TBD,Cheque
CHC40215,2022/08/06,Member_0195,  Outreach  ,Conference,North,2485.28,0,3,7455.85,Mobile Money
CHC40406,09/14/2024,Member_0455,Music Ministry,Building Fund,East,3630.15,0,3,10890.45,Cash
CHC40104,2022-12-29,Member_0131,Children's Church,Outreach,West,N/A,0,4,$638.25,Cash
CHC40216,2022-04-19,Member_0293,Youth Ministry,Sunday Service,South,279.95,0,1,279.95,CASH
CHC40146,16 Apr 2022,Member_0382,Music Ministry,Special Program,East,2322.33,,2,4644.65,Mobile Money
