Transaction ID,Date,Contractor Name,Department,Project Type,Region,Amount,Discount,Quantity,Total
GOV30698,2023/01/09,Contractor_050,Defense,Water Supply,Central,418770.83,17038.75,2,"$803,464.15"
GOV30621,04/08/2023,Contractor_036,Infrastructure,Rural Electrification,Central,1332008.24,0,1,1332008.24
GOV30035,"October 02, 2024",Contractor_090,Defense,Hospital Project,East,6267791.26,,2,12535582.53
GOV30242,2022-03-21,Contractor_095,Defense,Hospital Project,North, 8400002.615318306 ,0,9,75600023.54
GOV30427,2023-11-24,Contractor_027,,Water Supply,  South  ,210517.77,0,11,2315695.49
GOV30010,"September 25, 2023",Contractor_031,Education,Water Supply,west,313450.14,0,3,940350.41
GOV30398,0000-00-00,Contractor_094,Agriculture,Rural Electrification,  Central  ,2429654,0,10,24296544.42
GOV30154,N/A,  Contractor_082  ,Health,Road Construction,West,2084114.07, 0 ,7,14588798.52
GOV30188,01/11/2024,Contractor_089,Agriculture,,West,3691967.58,0,4,14767870.32
GOV30571,2022/10/01,Contractor_019,Agriculture,School Building,North,1683382.29,0,9,15150440.62
GOV30606,"July 08, 2022",Contractor_016,agriculture,Rural Electrification,East,1943513.95,185172.61,1,1758341.34
GOV30269,06/24/2022,contractor_042,Energy,  Road Construction  ,  South  ,,0,3,6420791.48
GOV30432,2024/03/09,Contractor_060,Health,Water Supply,North,775847.86,10188.97,10,7656588.86
GOV30516,2022/04/19,Contractor_096,Agriculture,School Building,North,1965507.91,188075.03,4,"$7,109,731.51"
GOV30235,2022/07/23,Contractor_100,Infrastructure, Public Transport,North,,0,7,8331295.28
GOV30665,14-08-2024,Contractor_016,Transport,Water Supply,East,403632.4,4376.75,9,3593300.81
GOV30637,08 Jul 2022,Contractor_035,Agriculture,Water Supply,East,53083.88,0,7,371587.16
GOV30460,N/A,Contractor_081,Agriculture,Water Supply,North,480247.07,0,3,1440741.22
GOV30411,09 Nov 2024,Contractor_087,Energy,Hospital Project,West,9403507.39,0,7,65824551.75
GOV30136,04/21/24,Contractor_081,Health,Hospital Project,East,1591620.42,135864.2,8,11646049.76
GOV30195,04/19/24,Contractor_003,Transport,Road Construction,North,1384922,0,8,11079378.3
GOV30348,04/06/24,Contractor_068,Energy,Rural Electrification,North,2014662.23,176661.15,,12866007.56
GOV30320,2024/10/18,contractor_064,Infrastructure,Water Supply,North,283257.49,0,12,3399089.87
GOV30440,2024/04/17,Contractor_062,Defense,Road Construction,South,,0,-7,27426935.88
GOV30619,12/15/2024,Contractor_096,Defense,,North,668744.69,16319.9,9,-5871823.092697574
GOV30081,03/27/22,,,Hospital Project,South,6877870.05,282419.63,9,59359053.84
GOV30085,07/13/2022,Contractor_076,Defense,Rural Electrification,East,1343389.58,0,N/A,8060337.46
GOV30413,21 Nov 2022,Contractor_042,Education,Public Transport,Central,771143.42,0,5,3855717.09
GOV30047,03-07-2022,Contractor_074,Education,Rural Electrification,East,1084315.34,0,1,"$1,084,315.34"
GOV30445,20-09-2023,Contractor_091,Transport,Road Construction,North,2914265.58,0,8,23314124.62
GOV30674,,Contractor_015,Agriculture,Public Transport,North, 516502.36438160297 ,45453.15,8,-3768393.7453716574
GOV30075,2023-05-27,Contractor_048,Defense,Hospital Project, North,4438233.66,368750.34,11,44764316.48
GOV30643,04/27/23,Contractor_081,Health,Water Supply,East,500540.75, 0 ,7,3503785.27
GOV30129,10/05/23,Contractor_080,N/A,Public Transport,Central,108653.53,8994.47,11,1096249.71
GOV30442,2022-10-16,Contractor_032,Energy,Hospital Project,West,2764963.87,0,6,16589783.22
GOV30532,23 Aug 2023,Contractor_100,Education,Road Construction,North,3241412.1,0,1,3241412.1
GOV30392,08/19/24,Contractor_078,education,Hospital Project,East,null,75306.25,unknown,17045838.99
GOV30561,02/24/2024,Contractor_090,Transport,public transport,East,337197.11,0,2,674394.22
GOV30588,20-02-2024,Contractor_037,Defense,Water Supply,North,239745.73,,7,1678220.09
GOV30144,04 Apr 2023,Contractor_022,Agriculture,Public Transport,West,,20988.26,-5,1103885.88
GOV30143,2022/04/24,Contractor_092,Defense,Rural Electrification,East,2625458.38,0,3,7876375.14
GOV30274,2024/06/19,Contractor_063,,Rural Electrification,East,873089.68,0,6,5238538.08
GOV30110,"July 18, 2024",Contractor_049,Agriculture,Hospital Project,North,3407257.03,0,9.0,30665313.23
GOV30673,2022/06/25,Contractor_039,Infrastructure,School Building,North,547392.3,0,4,2189569.18
GOV30007,11/20/2022,  Contractor_004  ,EDUCATION,School Building,N/A,1300111.79,0,2,"$2,600,223.57"
GOV30307,08/11/2023,Contractor_068,Defense,School Building,South,1469920.48,53155.19,-12,17001183.47
GOV30287,26-02-2024,Contractor_023,  Health  ,Road Construction,East,4939315.02,56260.26,2,9766109.52
GOV30545,16-02-2022,Contractor_059,Infrastructure,Public Transport,South,343266.87,0,9,3089401.83
GOV30672,2022-04-04,Contractor_009,Transport,Hospital Project,North,5241475.08,0,11,57656225.83
GOV30206,01/15/22,Contractor_043,Transport,Rural Electrification,North,1435024.13,5887.69,11,15720500.89
GOV30373,"May 06, 2023",Contractor_043,Health,Rural Electrification,Central,2339300.09,97527.12,4,
GOV30466,05-07-2023,,Health,School Building,North,461207.25,0,1,461207.25
GOV30341,02/11/23,Contractor_006,Education,School Building,North,1716465.01,0,1,-1716465.006671432
GOV30148,2024-01-14,Contractor_075,Agriculture,Road Construction,North,1862712.17,90406.07,8,14178448.78
GOV30094,01/16/2023,Contractor_087,Education,Water Supply,West, 269280.0088747229 ,0,6,1615680.05
GOV30157,22-03-2024,contractor_084,Health,Rural Electrification,South,1908502.9,0,4,7634011.6
GOV30291,26 Jul 2024,Contractor_092,AGRICULTURE,Water Supply,East,748159.35,44971.91,3,2109562.32
GOV30603,2022/02/12,Contractor_068,Transport,Public Transport,Central,1423465.49,0,4,5693861.95
GOV30684,0000-00-00,Contractor_058,Defense,Unknown,South,231732.44,0,7,1622127.1
GOV30399,11/25/22,Contractor_069,Infrastructure,Water Supply,West,unknown,40595.73,11,4575884.56
GOV30378,2024/03/29,Contractor_019,infrastructure,Hospital Project,east,4797554.24,344849.57,3,13358113.99
GOV30604,invalid,Contractor_004,Health,,Central,354002.63,0,6,2124015.78
GOV30175,24 Aug 2023,Contractor_089,Defense,School Building,South,618504.74,0,, 6803552.102100071 
GOV30414,2024-03-02,Contractor_027,  Defense  ,Public Transport,None,461735.17,45386.45,10,4163487.2
GOV30618,2024/01/27,Contractor_054,Education,Rural Electrification,East,1392759.98,-,5,6490269.98
GOV30106,06/16/24,Contractor_007,Agriculture,Water Supply,South,727633.97,0,11,8003973.7
GOV30018,2022-01-16,Contractor_064,Defense,Hospital Project,West,8392389.68,285785.4,4, 32426417.138310976 
GOV30547,2023/08/08,Contractor_062, Infrastructure,Water Supply,North,-,0,5,3443036.84
GOV30358,12/02/22,Contractor_092,Education,Road Construction,Central,539521.03,0,2,1079042.07
GOV30627,08/28/24,Contractor_062,,Water Supply,West,666607.92, 0 ,11,7332687.14
GOV30475,2023/05/09,Contractor_058,Transport,Hospital Project,Central,,51544.34,7,25326536.18
GOV30285,2022-03-18,Contractor_038,Health,Rural Electrification,West,846410.34,0,1,846410.34
GOV30533,10/03/22,  Contractor_061  ,Defense,Hospital Project,East,5437885.98,153920.3,1,5283965.68
GOV30690,12/20/2024,Contractor_047,Education,Public Transport,TBD,577101.02,39962.09,3,1611416.78
GOV30424,2022-02-06,Contractor_028,Infrastructure,Hospital Project,Central,1112138,44750.18,,3202163.5
GOV30130,08/05/2024,Contractor_030,Health,water supply,East,763252.31,0,7,5342766.14
GOV30045,16-12-2022,Contractor_096,Health,Public Transport,NORTH,580720.1,0,6,3484320.59
GOV30064,05/05/23,Contractor_033,Infrastructure,Rural Electrification,east,2685310.93,263275.08,4.0,9688143.38
GOV30118,13 Sep 2024,Contractor_051,Education,School Building,South,1061073.81,0,11,11671811.9
GOV30079,2022/02/03,Contractor_095,Infrastructure,School Building,North,1845258.23,0,6,11071549.37
GOV30684,0000-00-00,Contractor_058,Defense,Unknown,South,231732.44,0,7,1622127.1
GOV30653,19 Jul 2022,Contractor_052,Education,Hospital Project,East,5737994.28,0,6,34427965.65
GOV30262,07/01/23,Contractor_094,Defense,Rural Electrification,South,1115291.86,0,9,"$10,037,626.71"
GOV30363,2023-02-09,Contractor_064,Education,Rural Electrification,West,1754771.98,0,11,unknown
GOV30049,12/12/24,Contractor_025,Agriculture,School Building,East,600576.5,0,9,5405188.46
GOV30452,07/04/2023,Contractor_071,Infrastructure,Public Transport,West,106744.03, 6276.781716935323 ,9,904205.23
GOV30531,2024/03/03,Contractor_002,Health,School Building,West,1848315.24,0,9,16634837.12
GOV30567,17-06-2024,Contractor_068,Agriculture,null,East,283588.89,22070.11,5,1307593.93
GOV30635,08/29/22,Contractor_055,Transport,Road Construction,East,3508556.85,0,10,35085568.53
GOV30384,2023/07/03,Contractor_015,Agriculture,School Building,Central,1492515.5,47029.3,5,7227430.99
GOV30089,07 Dec 2022,Contractor_074,Transport,School Building,Central,1535822.61,-,1,1443095.7
GOV30015,2023/06/10,Contractor_022,Education,Rural Electrification,North,120472.03,0,4,481888.14
GOV30485,04/05/2024,Contractor_053,Defense,Water Supply,  West  ,655288.53,0,8,5242308.2
GOV30251,02 Jan 2022,Contractor_053,Health,School Building,North,942971.34,0,12,
GOV30493,29 Jul 2023,Contractor_053,Education,Public Transport,  North  ,170237.65,0,4,680950.61
GOV30113,2023/06/05,Contractor_002,  Transport  ,School Building,West,1804128.67,139899.09,4,6656918.34
GOV30471,2024-04-08,,Defense,School Building,West,1094404.76,0,2,2188809.52
GOV30024,25 Dec 2023,Contractor_076,Education,School Building,Central,712931.09,0,1,712931.09
GOV30254,07/28/2023,Contractor_035,Education,Water Supply,North,451305.17,0,2,902610.34
GOV30012,08/22/2022,Contractor_027,Defense,,East,2805966.81,57508.02,12,"$32,981,505.49"
GOV30367,2022/12/02,Contractor_068,Transport,School Building,North,212735,15670.69,6,1182387.9
GOV30337,23-10-2024,Contractor_001,Health,Hospital Project,East,2209521.48,0,3,6628564.45
GOV30002,10/27/2022,Contractor_100,Defense,Rural Electrification,South,1482500.0,0,10,14825000.03
GOV30179,01/25/24,Contractor_055,Transport,Public Transport,North,207945.45,0,5,1039727.25
GOV30054,24-05-2022,Contractor_084,Health,,North,1340322.17,0,6,8041933.0
GOV30023,03/24/2022,Contractor_020,,Water Supply,East,349289.16,0,8,2794313.28
GOV30082,09/03/24,Contractor_029,Infrastructure,School Building,East,121672.47,11195.21,7,773340.8
GOV30530,26-11-2024,Contractor_015,Energy,Rural Electrification,Unknown,2869492.13,0,5,14347460.65
GOV30642,27 Dec 2024, Contractor_093,Agriculture,TBD,South,52977.05,0,1,52977.05
GOV30014,invalid,CONTRACTOR_097,Defense,public transport,West,385449.29,0,11,4239942.17
GOV30036,TBD,  Contractor_098  ,Defense,Road Construction,Central,737026.07,0,7,5159182.51
GOV30039,07/14/23,Contractor_042,Energy,Hospital Project,West,5998744.77,102603.37,6,35376848.46
GOV30303,10/18/2022,Contractor_007,,  Hospital Project  ,South,4557371.36,0,8,36458970.89
GOV30664,28-01-2022,Contractor_094,Infrastructure,Road Construction,East,1603220.89,32818.85,12,18844824.58
GOV30132,2024-04-08,Contractor_082,Infrastructure,School Building,Central,590683.82,56471.76,2,"$1,068,424.12"
GOV30428,"November 24, 2023",Contractor_081,Defense,Hospital Project,North,9766908.44,0,11,107435992.81
GOV30478,21 Sep 2022,Contractor_017,Agriculture,Water Supply,North,492840.63,39846.58,12,5435928.6
GOV30017,"October 13, 2024",Contractor_033,Agriculture,Rural Electrification,Central,944518.87,,1,944518.87
GOV30506,2022/04/29,Contractor_026,Defense,Rural Electrification,North,1992893.58,0,2,3985787.16
GOV30070,2023-02-21,Contractor_028,Health,Road Construction,West,4198574.87,0,12,50382898.42
GOV30448,11/04/24,Contractor_050,AGRICULTURE,Water Supply,null,329797.11,0,3,989391.34
GOV30222,06/02/23,Contractor_012,TBD,Water Supply,North,48721.83,0,2,97443.66
GOV30468,"January 20, 2022",Contractor_094,Health,,West, 219259.83615384324 ,0,10,2192598.36
GOV30696,18-10-2022,Contractor_032,Infrastructure,Water Supply,West,485546.35,0,3,1456639.05
GOV30517,2023-04-20,Contractor_051,Energy,School Building, West,1566368,0,5,7831840.23
GOV30059,2022/11/16,Contractor_095,Defense,Road Construction,West,199352.84,0,3,598058.51
GOV30580,04/25/2023,Contractor_092,Agriculture,Water Supply,  Central  ,237101.02,0,,1422606.12
GOV30204,02/05/22,Contractor_079,Education,Rural Electrification,East,2694674.91,196802.4,1,
GOV30301,2022-04-05,Contractor_062,Defense,School Building,South,1318707.26,0,4,-5274829.021647284
GOV30293,08/20/2024,Contractor_058,Health,Public Transport,east,986812,0,5,-4934057.808536071
GOV30647,20-03-2022,Contractor_094,,Road Construction,East,3629387.91,"$354,634.29",1,3274753.62
GOV30380,2022/07/14,Contractor_060,  Energy  ,water supply,North,276984.95,0,10,2769849.5
GOV30088,28-01-2022, Contractor_038,Energy,Rural Electrification,South,"$1,196,092.92",0,3,3588278.77
GOV30365,27-04-2024,Contractor_018,Energy,Hospital Project,East,2829394.08,235587.33,5,12969033.76
GOV30585,09/11/23,Contractor_005,Defense,Rural Electrification,East,2499471.8,237416.36,6,
GOV30376,07/16/2024,Contractor_001,Defense,  School Building  ,Unknown,1870182.32,0,3,5610546.97
GOV30253,19-02-2024,Contractor_055,  Infrastructure  ,  Public Transport  ,East,-204744.03818107705,0,-6,1228464.23
GOV30628,02-06-2024,Contractor_024,Energy,Road Construction,South,3908799.51,0,7,
GOV30166,09/23/2022, Contractor_034,Transport,Hospital Project,South,1853436.79,60819.97,4,7170467.26
GOV30257,25 Oct 2023,contractor_037,Energy,Water Supply,North,606609.14,0,1,606609.14
GOV30575,,Contractor_051,Education, Hospital Project,South,533023.11,10896.6,8,4177012.09
GOV30552,09 Apr 2024,Contractor_034,Education,Road Construction,Central,1159612.22,0,6,6957673.29
GOV30126,12/10/2023,Contractor_024,Agriculture,Public Transport,East,N/A,0,9,9642827.86
GOV30508,04 Jun 2022,CONTRACTOR_050,Transport,School Building,East,302154.02,N/A,1,302154.02
GOV30147,07 Jun 2024,Contractor_023,Health,School Building,West,752978.37,-,12,8423149.22
GOV30114,06/07/24,Contractor_013,Health,Road Construction,South,4952824.26,316695,1,4636129.05
GOV30169,"December 30, 2022",Contractor_044,Energy,Road Construction,East,4408277,254441.16,4,16615343.58
GOV30541,06/22/23,Contractor_084,Agriculture,RURAL ELECTRIFICATION,WEST,1562041.2,0,9,14058370.77
GOV30013,02/27/2024,Contractor_047,N/A,SCHOOL BUILDING,NORTH,363781.48,0,3,1091344.44
GOV30443,2023/02/25,Contractor_078,Infrastructure,Rural Electrification,North,2395801.28,0,3,7187403.84
GOV30318,2023/01/26,Contractor_090,Transport,Public Transport,West,657151.21,0,8,5257209.66
GOV30430,2023/06/08,Contractor_082,Health,Public Transport,East,252213.4,0,-1,252213.4
GOV30360,11/26/22,Contractor_019,Energy,Rural Electrification,  North  ,"$2,750,355.45",56018.44,2,5388674.03
GOV30681,2022/08/01,contractor_034,Defense,Hospital Project,south,9702751.58,0,2,19405503.15
GOV30288,05 Jun 2024,Contractor_036,Transport,Water Supply,West,697054.14,0,8,TBD
GOV30458,2024-11-08,Contractor_001,Infrastructure,ROAD CONSTRUCTION,West,2386780.74,99312.52,11,25162150.41
GOV30559,06/23/24,Contractor_074,Agriculture,PUBLIC TRANSPORT,South,1492876,null,6,8957256.25
GOV30535,03/09/2022,Contractor_089,Defense,Road Construction,West,3044858.32,0,9,27403724.92
GOV30345,11/11/22,Contractor_003,Infrastructure,Road Construction,Central,3854155.59,125702.82,12,unknown
GOV30163,18 Jan 2024,Contractor_028,Transport,Water Supply,  Central  ,535221.36,0,8,4281770.89
GOV30125,07/03/2023,Contractor_079,Agriculture,Public Transport,North,865935.25,0,8,6927482.01
GOV30614,17-07-2023,Contractor_025,Infrastructure,Rural Electrification,Central,1770780.66,0,11,19478587.23
GOV30292,2023/04/26,Contractor_075,Energy,Rural Electrification,Central,,78112.88,5,9687404.35
GOV30584,24-01-2024,Contractor_095,Energy,  Public Transport  ,West,455138.0,0,12,5461655.96
GOV30563,2023-07-23,Contractor_091,Education,Public Transport,N/A,613013.35,0,12,7356160.25
GOV30577,01/17/2023,Contractor_068,Education,Rural Electrification,South,552979.29,0,10,5529792.86
GOV30200,2024-08-19,Contractor_018,Education,Rural Electrification,North,749939.75,0,5,3749698.74
GOV30573,"September 27, 2024",Contractor_013,Education,School Building,Central,603038.69,0,11,6633425.61
GOV30397,16 Apr 2024,Contractor_031,AGRICULTURE,School Building,  Central  , 1361429.5098145222 ,106765.51,2,2509327.99
GOV30344,04/05/2022,,Education,Rural Electrification,South,1696715.1,0,4,6786860.4
GOV30562,2022-06-02,,Energy,School Building,East,490515.08,23328.19,,467186.89
GOV30300,2024/05/23,,Defense,Rural Electrification,N/A,2973835.18,0,12,35686022.11
GOV30093,07/08/24,Contractor_058, Agriculture,Road Construction,Central,-434511.2314291643,TBD,-1,434511.23
GOV30141,"April 21, 2023",Contractor_009,Health,School Building, West,1502660.88,0,7,10518626.17
GOV30037,26 Jun 2023,Contractor_090,Health,  -  ,Central,314358.17,6254.81,7,2156723.53
GOV30342,"March 08, 2024",Contractor_037,Defense,Hospital Project,East,5584421.44,454814.49,4,20518427.83
GOV30038,23-06-2022, Contractor_035,,Rural Electrification,West,2637779.47,0,11,29015574.13
GOV30420,26-09-2024,Contractor_099,Energy,Rural Electrification, Central,2686531.38,N/A,10,26865313.84
GOV30382,"February 24, 2024",Contractor_027,Agriculture,Rural Electrification,South,2130512.48,0,8,17044099.81
GOV30119,2023/05/19,Contractor_017,Infrastructure,Road Construction,East,2637547.45,0,5,13187737.23
GOV30473,02/04/22,Contractor_072,Transport,Water Supply,East,275949.75,0,5,1379748.74
GOV30031,"December 31, 2022",Contractor_077,Defense,Water Supply,South,520511.46,0,11,5725626.03
GOV30009,07/23/24,Contractor_082,Agriculture,,North,955515.69,0,4,"$3,822,062.78"
GOV30624,2023/12/31,Contractor_012,Energy,Water Supply,West,"$73,010.49",0,8,584083.9
GOV30277,2023-04-23,Contractor_013,Infrastructure,Water Supply,North,67466.08,6115.44,7,429454.48
GOV30185,03/17/22,Contractor_012,Energy,Water Supply,Central,563638.98,0,9,5072750.85
GOV30240,08/29/23,Contractor_099,Health,HOSPITAL PROJECT,Central,853140.14,26017.24,11,"$9,098,351.93"
GOV30027,2023/04/08,Contractor_031,Infrastructure,Water Supply,North,336103.72,0,8,"$2,688,829.73"
GOV30092,0000-00-00,Contractor_097,Agriculture,,North,965348.1,$0.00,12,11584177.26
GOV30019,2022-11-19,Contractor_025,Defense,Public Transport,,856943.76,0,,"$5,141,662.58"
GOV30438,04-10-2024,Contractor_035,Infrastructure,School Building,West,1137380.22,0,5,5686901.09
GOV30542,11 Jul 2023,Contractor_075,  Transport  ,Hospital Project,Central,2475585.2,0,10,24755851.97
GOV30031,"December 31, 2022",Contractor_077,Defense,Water Supply,South,520511.46,0,11,5725626.03
GOV30391,04/26/22,Contractor_015,Infrastructure, Rural Electrification,  Central  ,686939.13,64263.59,-7,4358728.73
GOV30504,07 Mar 2022,null,Energy,None,Central,5443867.02,0,10,
GOV30230,10 Jan 2022,Contractor_043,Energy,Public Transport,Central,1145377.14,46788.2,5,5492944.7
GOV30540,25 Sep 2024,Contractor_084,Health,RURAL ELECTRIFICATION,Central,585732.29,0,9,5271590.59
GOV30022,04/03/24,Contractor_057,Infrastructure,Hospital Project,East,8298987.85,0,TBD,66391902.78
GOV30469,06/13/2022,Contractor_017,Infrastructure,Water Supply,East,681410.93,0,-10,6814109.33
GOV30234,N/A,Contractor_053,Energy,School Building,West,1459876.42,0,7,10219134.97
GOV30315,2022-04-01,CONTRACTOR_001,Health,Water Supply,North,186225.81,4754.92,8,1451767.08
GOV30158,10 Jul 2023,Contractor_071,Defense,School Building,WEST,1560840.28,0,8,12486722.26
GOV30579,"March 28, 2023",Contractor_091,Transport,Hospital Project,East,4184769.69,282943.47,11,42920088.47
GOV30630,2022-01-23,Contractor_072,Defense,Water Supply,Central,695171.64,25532.64,12,8035668.1
GOV30180,02/17/24,Contractor_027,Infrastructure,Rural Electrification,North,1177973.24,0,6,7067839.44
GOV30361,"March 16, 2022",,agriculture,Water Supply,Central,516623.58,0,2,1033247.16
GOV30463,"January 21, 2023",Contractor_084,  Energy  ,Water Supply,Central,378169.72,15992.89,7,2535237.82
GOV30467,04/25/23,Contractor_093,Transport,Rural Electrification,South,1710634.69,0,2,3421269.37
GOV30321,04/02/24,Contractor_095,Transport,Public Transport,East,1195658.48,0,1,1195658.48
GOV30685,2023-12-13,Contractor_051,Defense,school building,East,1599517.13,10411.37,1,1589105.77
GOV30385,10/06/24,  Contractor_086  ,Health,School Building,West,,1723.31,12, 13784615.799182322 
GOV30272,01/16/2023,Contractor_049,,School Building,Central,"$335,398.22", 0 ,7,2347787.53
GOV30167,"August 01, 2023",Contractor_040,Infrastructure,Road Construction,Central,3308928.12,0,3,9926784.35
GOV30273,"May 20, 2023",Contractor_001,Energy,Rural Electrification,South,974629,69910.1,9,8142467.46
GOV30626,22 Feb 2022,  Contractor_008  ,Energy,Road Construction,Central,446127.62,0,10,4461276.15
GOV30590,05/07/22,Contractor_022,  Energy  ,Road Construction,East,1433354.48,null,11,
GOV30677,2024/09/25,Contractor_034,Agriculture,Water Supply,South,432321.72,0,1,"$432,321.72"
GOV30121,invalid,Contractor_033,Agriculture,Road Construction,East,2447904.27,62294.86,1,2385609.41
GOV30212,25 Aug 2024,,Education,water supply,EAST,"$137,973.95",5384.54,5,662947.02
GOV30582,"September 14, 2023",Contractor_039,Defense,Rural Electrification,East,1321975.18,117566.56,7,8430860.36
GOV30546,"May 13, 2024",Contractor_004,Agriculture,Public Transport,,1368838.69,0,12,16426064.23
GOV30419,2024/10/12,Contractor_054,Agriculture,Road Construction,North,"$4,210,044.93",73990.89,-12,49632648.54
GOV30686,,Contractor_087,Agriculture,Hospital Project,North,6013549.27,0,12,72162591.18
GOV30655,"February 15, 2024",Unknown,Agriculture,Hospital Project,North,1974148.85,0,11,21715637.33
GOV30564,07/15/22,Contractor_017,Energy,Hospital Project,North,6941090.96,0,6,41646545.74
GOV30604,invalid,Contractor_004,Health,,Central,354002.63,0,6,2124015.78
GOV30654,21 Jul 2022,Contractor_001,Energy,  Hospital Project  ,West,1447552.85,132055.95,,5261987.63
GOV30100,2022/01/16,Contractor_082,Education,Rural Electrification,South,2821844.64,0,4,11287378.55
GOV30507,07/17/23,Contractor_009,Defense,Road Construction,South,4895051.9,0,7,
GOV30578,2023/08/20,Contractor_006,ENERGY,Road Construction,North,1954670.51,0,10,19546705.06
GOV30176,2023/03/21,Contractor_033,Education,Road Construction,West,2952302.45,0,2,5904604.89
GOV30676,07/30/23,Contractor_083,Health,Public Transport,North,614384.26,0,-8,4915074.11
GOV30488,"December 01, 2022",Contractor_002,Transport,Public Transport,North,330819.41,0,5,1654097.05
GOV30224,14-03-2024,Contractor_095,Education,Water Supply,North,125328.84,7953.64,4,469500.8
GOV30317,2022/03/05,Contractor_005,  Health  ,Hospital Project,South,5653611.36,0,8,45228890.89
GOV30032,2023/10/10,Contractor_016,  Energy  ,Public Transport,East,889285.67,0,1,unknown
