Transaction ID,Date,Donor Name,Program Type,Region,Amount,Discount,Quantity,Total,Funding Source
NGO50266,2023-09-13,Donor_043,Education Support,  East  ,"$67,130.71",0,1,67130.71,  Grant  
NGO50341,01 Feb 2023,Donor_055,Skills Training,,6740.02,0,5,33700.12,Unknown
NGO50225,03/07/2022,Donor_197,Food Aid,International,21014.31,0,5,105071.53,Government
NGO50547,21 Feb 2024,Donor_008,Skills Training,south,43972.76,0,9,395754.81,Government
NGO50619,09/24/2022,Donor_155,,Central,73993.79,0,-9,665944.15,International Aid
NGO50123,07/07/22,Donor_186,Emergency Relief,West,944691.57,0,-7,"$6,612,840.98",Corporate
NGO50084,"November 21, 2022",Donor_151,Food Aid,International,-29496.932306964056,0,6,176981.59,International Aid
NGO50371,12/18/2023,DONOR_159,Education Support,South,22600.11,0,3,67800.33,Individual
NGO50421,02-08-2022,donor_034,Food Aid,Central,25729.1,0,3,77187.31,Individual
NGO50610,19 Oct 2024,Donor_135,Skills Training,North,47577.1,130.58,,474465.18,International Aid
NGO50274,12/11/22,Donor_103,Water Project,Central,185657,2276.13,5,916904.35,Corporate
NGO50275,16-10-2023,Donor_047,Health Outreach,Central,30725.91,1412.95,5,146564.78,International Aid
NGO50309,05-10-2024, Donor_042,Emergency Relief,South,852632.1,0,6,5115792.59,
NGO50040,05-08-2023,Donor_052,Food Aid,International,91295,0,3,273885.39,International Aid
NGO50109,"June 07, 2023",,Education Support,Central,15253.76,518.91,5,73674.25,Individual
NGO50536,07/05/2024,Donor_171,Skills Training,West,,0,3,81336.62,Grant
NGO50302,10 Jan 2022,Donor_113,Shelter,North,-45739.91711709228,$0.00,4,,Government
NGO50092,2023/03/25,Donor_095,Emergency Relief,Central,519362.45,0,1,519362,Government
NGO50602,2023-09-14,DONOR_138,Food Aid,West,65196.42,1478.62,4,254871.2,Government
NGO50579,2024-12-10,Donor_164,EMERGENCY RELIEF,North,552133.47,0,3,1656400.42,Individual
NGO50099,"January 17, 2023",Donor_132,Education Support,North,42982.86,0,-9,386845.73,GRANT
NGO50310,28-12-2024,Donor_022,Emergency Relief,East,793090.21,0,7,5551631.46,International Aid
NGO50481,"November 25, 2024",Donor_004,Shelter,North,348471.74,9948.27,2,677046.95,Corporate
NGO50166,12-07-2022,Donor_045,Health Outreach,International,47655.53,2372.74,8,362262.29,Corporate
NGO50345,2024-02-19,Donor_107, Education Support,South,19338.78,0,10,193387.8,Grant
NGO50324,2024/07/26,Donor_173,Skills Training,International, 32363.698695352603 ,null,8,249612.14,Individual
NGO50288,2022-06-23,Donor_131,education support,East,15464.0,0,6,92784.01,Corporate
NGO50062,03/08/23,Donor_073,Education Support,  West  ,35294.9,0,7,247064.29,Corporate
NGO50489,2023/09/08,Donor_170,Education Support,International,67196.43,0,7,470374.98,Government
NGO50090,08/26/2022,Donor_028,Shelter,West,468224.86,22860.17,10,4453646.93,Grant
NGO50229,2022-07-20, Donor_110,Health Outreach,International,21947.74,0,6,131686.41,individual
NGO50354,2024-05-18,Donor_120,Emergency Relief,South,772406.14,0,5,3862030.71,Corporate
NGO50572,2024/08/17,Donor_066,Skills Training,International,11838.41,0,7,82868.87,Individual
NGO50591,02/18/22,Donor_023,Shelter,North,303134.89,0,6,1818809.33,Individual
NGO50030,2022/12/26,Donor_125,Health Outreach,International,110587.21,0,-3,331761.63,Grant
NGO50563,"October 03, 2022",Donor_044,Emergency Relief,South,922599.02,0,5,"$4,612,995.11",Government
NGO50626,2023-09-01,Donor_027,Shelter,West,473257.42,0,4,1893029.68,Corporate
NGO50085,13 Mar 2024,Donor_038,Emergency Relief,International,600095.52,0,10,6000955.22,International Aid
NGO50013,03-09-2022,donor_070,Emergency Relief,West,261913.66,4237.59,10,2576760.76,Individual
NGO50461,2023/05/27,Donor_001,Water Project,North,184742.87,0,5,923714.37,Individual
NGO50555,"September 17, 2024",Donor_157,Shelter, West,334204.06,0,9,3007836.57,Corporate
NGO50427,07 Apr 2023,Donor_109,Emergency Relief,North,"$770,862.80",29001.31,10.0,7418614.9,Government
NGO50203,2024/06/21,Donor_092,Skills Training,International,,0,1,29028.07,Individual
NGO50404,31 Dec 2022,Donor_012,Health Outreach,West,108771.21,0,7,761398.49,Individual
NGO50191,07-07-2022,Donor_100,Skills Training,South,44883.77,0,7,314186.39,International Aid
NGO50646,03 Apr 2024,Donor_024,Education Support,Central,38305.36,0,3,114916.08,Individual
NGO50625,03/01/24,Donor_198,Skills Training,South,10137,155.81,,39925.96,Grant
NGO50594,2023-02-14,Donor_181,Education Support,International,33605.7,0,9,302451.28,Corporate
NGO50314,2022-06-20,Donor_060,Water Project,,153634.07,0,4,614536,Government
NGO50605,18-07-2023,Donor_062,Health Outreach,East,51091.11,806.56,2,100569.09,Grant
NGO50419,04/11/22,Donor_076,Health Outreach,North,"$55,341.15",0,7,387388.08,Grant
NGO50316,2024/11/09,Donor_116,Food Aid,North,81054.29,2250.03,7,551629.82,Individual
NGO50628,07 Jan 2024,Donor_024,Health Outreach,Central,114627.26,0,2,229254.51,Corporate
NGO50028,04/04/2023,Donor_128,Emergency Relief,East,246277.49,0,,1723942.42,Individual
NGO50193,04/17/24,Donor_147,Water Project,South,104206.91,0,2,208413.83,Corporate
NGO50496,08-02-2024,DONOR_057, Education Support,North,70562.58,,10,705625.76,International Aid
NGO50430,2024/04/22,  Donor_114  ,Health Outreach,East,110023.27,0,3,330069.81, Government
NGO50148,2023/11/27,Donor_151,Water Project,East,174421.79,0,4,697687.16,
NGO50172,2022-06-09,Donor_033,Education Support,International,18723.57,0,10,187235.74,Corporate
NGO50035,2024/05/21,Donor_187,Emergency Relief,North,593188.6,27816.89,2,1130743.42,  Individual  
NGO50635,06/18/2022,Donor_143,Health Outreach,West,144695.38,0,7,1012867.67,International Aid
NGO50038,0000-00-00,Donor_087,Education Support,Central,79905.95,0,4,319623.81,  International Aid  
NGO50139,05 Jan 2023,Donor_032,Skills Training,East,49278.32,0,10.0, 492783.18349660834 ,Individual
NGO50459,13 Nov 2024,Donor_121,Food Aid,South,34596.88,0,10,345968.83,Government
NGO50480,09/23/2024,Donor_172,Shelter,  Central  ,124904.66,0,8,999237.31,International Aid
NGO50545,"November 18, 2023",Donor_058,Health Outreach, International,91732.96,0,4,,Corporate
NGO50518,21-07-2024,DONOR_134,Food Aid,South,40664.27,2012.91,7,270559.51,Government
NGO50069,11/18/2024,Donor_081,,East, 20639.262847648148 ,0,1,20639.26,Individual
NGO50589,"November 02, 2022",Donor_048,Skills Training,International,24150.28,800.85,7,"$163,445.99",Government
NGO50324,2024/07/26,Donor_173,Skills Training,International, 32363.698695352603 ,null,8,249612.14,Individual
NGO50066,2022/03/28, Donor_024,Food Aid,West,91817.88,0,2,183635.76,Government
NGO50529,2022-06-01,,Education Support,North,74276.82,0,4,297107.3,Government
NGO50426,09-08-2023,Donor_050,Emergency Relief,Central,676200.91,0,3,2028602.73,Individual
NGO50282,TBD,Donor_143,Emergency Relief,South,483953.79,"$7,894.92",1,476058.88,Individual
NGO50541,02/28/24,Donor_053,Food Aid,CENTRAL,82308.72,0,,411543.59,Corporate
NGO50076,12 Feb 2023,Donor_028,Water Project,North,68523.86,0,8,548190.87,Government
NGO50374,2023-09-12,Donor_032,Shelter,International,156255.56,0,10,1562555.57,Corporate
NGO50106,01/04/2024,Donor_040,Education Support,North,36906.75,0,7,258347.27,Corporate
NGO50454,14 Jan 2023,Donor_194,Education Support,  International  ,55096,0,1,55096.36,Grant
NGO50013,03-09-2022,donor_070,Emergency Relief,West,261913.66,4237.59,10,2576760.76,Individual
NGO50250,2022-01-22,Donor_071,Food Aid,East,52392.71,0,4,209570.84,Corporate
NGO50573,2024/05/01,Donor_194,Education Support,South,,0,1,28985.78,Individual
NGO50370,2022-05-17,Donor_012,Emergency Relief,West,838054.0,0,6,5028323.99,Grant
NGO50129,02 Oct 2022,Donor_084,Skills Training,International,43947.9,0,2,87895.8,Grant
NGO50463,TBD,Donor_147,food aid,South,86292.68,0,9,776634.12,Grant
NGO50486,03/03/22,Donor_004,Shelter,International,323931.14,12106.62,7,2182771.65,Government
NGO50221,2023/03/19,Donor_196,Emergency Relief,International,858410.63,37674.64,5,4103679.97,Individual
NGO50296,17-08-2023,donor_116,Food Aid,East,48611.9,0,4,194447.59,Government
NGO50567,2024/06/07,Donor_004,Food Aid,International,50870.96,0,2,101741.91,Corporate
NGO50351,12 Dec 2024,Donor_075,Education Support,West,63152.44,0,3,"$189,457.31",Grant
NGO50042,22-05-2024,Donor_190,  Education Support  ,north,55988.64,,10,542927.35,Government
NGO50049,11/25/2022,Donor_090,Shelter,International,204102.65,0,7,1428718.57,International Aid
NGO50189,2022-12-03,Donor_031,Skills Training,International,49463.75,1808.29,3,142966,Government
NGO50064,27 Mar 2023,Donor_068,Emergency Relief,West,237252.65,0,8,1898021.2,Grant
NGO50546,04-03-2024,Donor_086,Education Support,South,40918.17,1368.98,10,395491.84,International Aid
NGO50224,2024-10-17,donor_067,Education Support,Central,44432.85,0,7,311029.95,Individual
NGO50007,04/08/24,  Donor_010  ,Health Outreach,,25395.35,726.32,5,123345.14,International Aid
NGO50056,04 Jan 2024,Donor_154,Water Project,Central,72327.23,2877.37,3,208349.55,Grant
NGO50054,N/A,Donor_104,Health Outreach,N/A,94233.25,0,2,188466.5,Corporate
NGO50476,2022-01-26,Donor_191,Unknown,West,"$85,109.18",0,4,340436.72,International Aid
NGO50230,27 Aug 2022,Donor_081,Skills Training,North,45450.34,0,2,90900.68,Government
NGO50097,14 Dec 2023,Donor_109,Skills Training,East,41689.44,0,3,125068.31,Corporate
NGO50330,06/15/24,,Health Outreach,North,31268.54,0,7,218879.76, Corporate
NGO50233,15 Aug 2024,Donor_087,Skills Training,Central,13301.02,$448.49,8,102820.27,Corporate
NGO50346,2024/02/06,DONOR_131,Health Outreach,East,29153,0,5,145764.24,international aid
NGO50260,invalid,Donor_110,Health Outreach,Central,27122.39,0,3,81367,Individual
NGO50125,18 Jul 2022,  Donor_128  ,Food Aid,,60162.2,0,9,541459.84,
NGO50110,27 Sep 2023,Donor_099,Health Outreach,North,121933.86,0,8,975470.91,Individual
NGO50600,invalid,Donor_050,Food Aid,North,68062.64,0,4,272250.56,  Grant  
NGO50640,30-05-2022,Donor_170,Shelter,North,461168.13,0,4,1844672.52,Grant
NGO50284,2023/12/03,Donor_132,Education Support,International,64752.17,1468.7,8,506267.71,grant
NGO50542,invalid,  Donor_051  ,  Education Support  ,International,50955.81,2125.28,7,341813.7,Corporate
NGO50513,2024/04/12,Donor_155,Emergency Relief,International,693975.76,0,3,2081927.27,International Aid
NGO50272,03/09/2022,Donor_006,Skills Training,International,20107.16,0,3,"$60,321.49",International Aid
NGO50434,04/24/22,Donor_073,Education Support,Central,12335.05,0,9.0,,Grant
NGO50375,2024-07-13,Donor_175,Water Project,  Central  ,164547.64,1008.79,7,1144771.97,Government
NGO50490,2023/01/16,Donor_036,Emergency Relief,International,-48730.736823871935,0,8,389845.89,government
NGO50630,2024/02/26,Donor_038,Shelter,West,44019.9,0,4,176079.59,Government
NGO50256,08/02/24,Donor_192,Shelter,Central,318079.03,0,9,"$2,862,711.27",Individual
NGO50289,01/20/22,Donor_188,Shelter,West,43579.59,981.71,4,-170391.5361485936,Government
NGO50315,2022/03/22,Donor_102,Emergency Relief,Central,549267.16,0,,3844870.11,International Aid
NGO50020,2022-09-12,Donor_175,  -  ,West,227380.0,7966.42,2,438827.16,Government
NGO50356,2023-04-12,Donor_182,,Unknown,368774.81,12696.43,9,3204705.49,Corporate
NGO50556,30 Jan 2023,N/A,Shelter,,-15101.075714301682,0,4,60404.3,N/A
NGO50415,01 Jul 2024,Donor_002,Food Aid,North,67122.64,2527.76,9,,Corporate
NGO50047,12/06/23,Donor_025,Shelter,International,106223.18,3508.55,unknown,719002.37,Grant
NGO50180,"August 26, 2022",Donor_047,Shelter,International,218411.99,0,9,1965707.92,
NGO50568,19-10-2024,donor_018,Water Project,Central,135048.01,2693.07,10,1323549.4,Corporate
NGO50582,12/05/2022,,Water Project,International,78675.29,1043.98,3,232893.94,International Aid
NGO50429,"March 31, 2023",Donor_148,Skills Training,West,16100.52,583.59,6,93101.55,Corporate
NGO50263,10/11/22,  ,Health Outreach,North,35712.51,0,,107137.52,International Aid
NGO50487,04 Mar 2023,Donor_100,Skills Training,  International  ,,0,6,,Corporate
NGO50307,2024-02-15,Donor_198,Emergency Relief,South,262484.0,0,4,1049936.0,Grant
NGO50598,2024-11-11,Donor_019,Education Support,South,null,2414.11,8,556392.85,Government
NGO50637,12 Sep 2024,Donor_034,Shelter,North,364652.1,0,9,3281868.86,International Aid
NGO50564,"July 07, 2023",Donor_192,Food Aid,Central,81138.43,1222.66,8,639326.17,Corporate
NGO50327,11/15/24,Donor_191,Emergency Relief,South,229857.05,0,7,1608999.36,Grant
NGO50643,09/07/24,Donor_075,Food Aid,central,49273.86,0,5,246369.28,Grant
NGO50280,"March 07, 2022",Donor_004,Health Outreach,South, 31053.60456512025 ,823.99,8,241836.88,International Aid
NGO50321,2023-05-18,Donor_006,Skills Training,Central,10298.59,0,5,51492.93,Individual
NGO50154,2022-10-16,Donor_096, Skills Training,International,45922,1131.48,9,403116.02,Corporate
NGO50503,12/19/2024,null,Shelter,  East  ,303714.91,0,6,1822289.47,Grant
NGO50236,2022/01/26,Donor_081,Emergency Relief,,-756422.3833375396,TBD,2,1512844.77,Grant
NGO50045,2022-07-06,Donor_098,Education Support,West,32518.29,1298.07,6,"$187,321.33",grant
NGO50340,"January 13, 2022",Donor_136,Food Aid,North,94346.84,0,1,94346.84,Corporate
NGO50500,2023-08-15,Donor_144,Skills Training,North,16049.91,$385.15,6,93988.54,Grant
NGO50312,08-03-2024,donor_056,Water Project,West,23012.39,0,2,46024.78,Grant
NGO50101,26 Aug 2024,Donor_019,Education Support,South,34752.04, 0 ,1,34752.04,Grant
NGO50394,2024/03/28,Donor_056,Emergency Relief,South,601766.8,,1,579324.82,Grant
NGO50043,09/04/22,  Donor_125  ,Education Support,West,27345.98,1251.07,10,260949.06,International Aid
NGO50045,2022-07-06,Donor_098,Education Support,West,32518.29,1298.07,6,"$187,321.33",grant
NGO50368,"August 21, 2022",Donor_107,Skills Training,International,,272.72,5,77761.73,Grant
NGO50512,05/15/2023,Donor_135,Emergency Relief,West,282341.54,,8,2258732.29,Corporate
NGO50271,06/23/22,Donor_006,Shelter,West,280789.2,0,6,1684735.18,Individual
NGO50431,21-10-2024,Donor_147,Education Support,International,26505.58,$0.00,6,159033.5,Grant
NGO50433,2024-01-01,Donor_195,Education Support,INTERNATIONAL,N/A,0,8,548421.39,Corporate
NGO50627,2023-08-01,Donor_138,Food Aid,Central,12124.12,0,3,36372.35,Grant
NGO50247,2024-12-29,Donor_186,Water Project,West,69598.44,0,10,695984.4,International Aid
NGO50502,09/22/24,Donor_129,Emergency Relief,South,403416.95,0,4,1613667.82,Corporate
NGO50337,01/09/2024,Donor_047,Emergency Relief,North,37387.47,0,,112162.42,Corporate
NGO50194,12/14/2024,Donor_128,Health Outreach,West,"$76,976.83",0,7,538837.81,individual
NGO50179,07/11/2024,Donor_083,Water Project,International,142495.83,0,6,854974.98,
NGO50308,2024/11/04,DONOR_179,Water Project,North,137947.7,0,8,1103581.57,Corporate
NGO50034,"November 24, 2023",Donor_032,EMERGENCY RELIEF,North,665705.44,0,5,3328527.21,INTERNATIONAL AID
NGO50241,28 Oct 2024,  Donor_119  ,Food Aid,North,15622.58,0,9, 140603.2311321719 ,Individual
NGO50528,2022-04-26,Donor_074,Emergency Relief,  ,371153.99,5862.68,7,2557039.15,TBD
NGO50082,2023/02/08,Donor_182,Water Project,International,100430.52,0,3,301291.56,Corporate
NGO50130,11/14/2023,Donor_192,Health Outreach,International,132933.26,0,7.0,930532.82,Government
NGO50532,2023-12-12,Donor_120,Health Outreach,SOUTH,30875.8,641.66,5,151170.67,International Aid
NGO50435,02/19/24,Donor_106,Education Support,North,22643.85,353.86,1,22289.99,Corporate
NGO50138,2023-03-14,Donor_090,Food Aid,International, 85962.84395931261 ,-1087.379322819565,4,339501.86,Corporate
NGO50590,02/26/24,Donor_168,,NORTH,31167.85,0,7,218174.96,Government
NGO50018,08/13/23,Donor_007,Education Support,East,10734.61,0,10,107346.07,Corporate
NGO50642,08 Oct 2022,Donor_140,Skills Training,South,39019.23,0,10,-390192.26287818654,Individual
NGO50244,06 Feb 2022,Donor_095,Emergency Relief,International,899370.13,0,3,2698110.39,Corporate
NGO50624,N/A,Donor_091, Shelter,West,,0,4,980528.32,Corporate
NGO50437,09/11/24,Donor_043, Food Aid,South,-60916.91147225653,1304.1,10,596128.08,Government
NGO50389,15 Jun 2022,Donor_035,Shelter,North,"$216,080.01",0,2,432160.02,Grant
NGO50265,"March 12, 2022",  Donor_148  ,Water Project,International,39802.49,,6,228421.04,Individual
NGO50212,06/12/24,Donor_079,Food Aid,East,4911.18,211.45,10,46997.31,Government
NGO50319,2023-11-26,Donor_192,Skills Training,International,28346.36,600.8,2,55491.12,International Aid
NGO50016,2024-10-25,Donor_156,Shelter,West,200595.23,$0.00,5,1002976.17,Grant
NGO50376,03/08/24,Donor_156,,West,463941.71,9667.15,8,3634196.47,Individual
NGO50093,08/12/2024,Donor_060,Skills Training,North,13934.08,0,6,83604.49,Grant
NGO50444,2023-01-30,Donor_140,Water Project,South,67699.58,0,1,67699.58,International Aid
NGO50577,07/07/2023,Donor_119,Emergency Relief,,279565.57,6736.46,9,2455461.96,International Aid
NGO50118,"October 14, 2023",Donor_169,Emergency Relief,North,777122.8,0,10,7771228.03,Government
NGO50603,08 Aug 2024,DONOR_014,Shelter,East,158636.05,6596.43,3,456118.85,Government
NGO50023,"May 18, 2023",Donor_073,Food Aid,South,96379.78,2538.13,5,469208,Grant
NGO50072,2023-10-21,Donor_049,HEALTH OUTREACH,International,104198.69,322.72,9,934883.7,Grant
NGO50322,09/13/22,Donor_009,,Central,14347.22,0,4,57388.88,Corporate
NGO50313,27 Jun 2022,Donor_139,Education Support,South,28992.77,0,2,57985.53, Individual
NGO50206,10/19/22,Donor_146,Health Outreach,East,76749.27,0,9,690743.39,
NGO50001,2022-10-02,Donor_031,Emergency Relief,Central,879116.55,0,2,,GOVERNMENT
NGO50485,08-01-2023,Donor_095,Food Aid,,74866.77,0,3,224600.31,International Aid
NGO50281,N/A,Donor_022,Water Project,International,92380.13,0,6,554280.79,  Grant  
NGO50065,,Donor_072,Emergency Relief,International,817764.65,4067.34,5,4068486.56,Grant
NGO50175,"September 08, 2022",Donor_147,Skills Training,Central,43382.7,0,10,433827.03,individual
NGO50176,2022-04-17,Donor_171,Water Project,North,161361.57,0,7,1129530.97,Corporate
NGO50456,24 Jun 2022,Donor_123,Water Project,West, 31819.18616591653 ,317.6,4,126006.33,Government
NGO50355,15-05-2022,Donor_048,  Water Project  ,East,36925.13,390.1,4,146140.15,Individual
NGO50297,07/09/22,donor_128,FOOD AID,Central,69318.8,0,3,207956.39,International Aid
NGO50417,25-03-2022,Donor_137,Education Support,International,19426.28,0,8,155410.25,Government
NGO50201,29 Nov 2024,,Water Project,South,184066.77,0,9,1656600.9,Individual
NGO50220,2024/05/17,Donor_003,Skills Training,International,29907.04,0,8,239256.34,Grant
NGO50423,09-07-2024,Donor_081,Health Outreach,None,36109.27,0,6,216655.61,  Grant  
NGO50078,06/12/23,Donor_096,Education Support,,28113.56, 0 ,10,281135.64,Grant
NGO50402,31 Aug 2023,Donor_017,Skills Training,,13282.12,0,2,26564.23,Corporate
NGO50505,2024-06-07,Donor_015, Shelter,West, 307750.17682733136 ,0,3, 923250.5304819942 ,Individual
NGO50269,2023/09/09,Donor_122,Education Support,North,65507.12,0,7,458549.81,Grant
NGO50213,2024-03-08,Donor_105,FOOD AID,International,70699.61,0,7,494897.29,Individual
NGO50553,10-06-2022,Donor_128,Health Outreach,West,127635.64,0,6,765813.85,International Aid
NGO50597,2024-05-10,Donor_066,Skills Training,CENTRAL,20947.0,0,9,188523.01,Corporate
NGO50060,"March 13, 2022",Donor_034,Education Support,Central,13361.4,0,5,66807.02,International Aid
NGO50292,"January 20, 2024",N/A,Food Aid,CENTRAL,"$43,469.80",0,6,260818.79,Corporate
NGO50208,04/22/2024,Donor_113,Food Aid,North,22997.62,0,9,206978.61,Grant
NGO50584,29-05-2022,Donor_188,Education Support,North,7935.39,0,7,55547.7,Government
NGO50405,01 Sep 2022,,Shelter,South,278541.23,0,2,557082.45,Grant
NGO50292,"January 20, 2024",N/A,Food Aid,CENTRAL,"$43,469.80",0,6,260818.79,Corporate
NGO50506,04-08-2024,Donor_049,Food Aid,West,76580.57,3492.68,8,584703.16,corporate
NGO50621,2022/10/25,Donor_144,Emergency Relief,south,835020.32,0,4,3340081,Corporate
NGO50571,10/04/22,Donor_104,Health Outreach,International,144649.83,1064.45,4,574341.52,Grant
NGO50454,14 Jan 2023,Donor_194,Education Support,  International  ,55096,0,1,55096.36,Grant
NGO50447,"November 12, 2024",Donor_004,Education Support,Central,55324.45,0,2,110648.91,Grant
NGO50222,07-05-2022,Donor_162,Skills Training,East,-19975.442515872277,0,8,159803.54,international aid
NGO50253,10 Jun 2024,Unknown,Shelter,West,183770.42,4713.22,10,-1790571.9765395976,Corporate
NGO50632,08 May 2024,Donor_129,Water Project,International,78685.35,0,4,314741.41,Individual
NGO50131,,Donor_009,Water Project,  International  ,5645.63,0,-2,11291.26,International Aid
NGO50117,2024/07/27,Donor_160,Food Aid,Central,27951,0,3,83852,Individual
NGO50339,01-04-2024,Donor_065,Emergency Relief,N/A,718537.04,$0.00,6,4311222.25,Corporate
NGO50238,01/24/23,Donor_013,  Food Aid  ,North,88384.01,0,8,707072.08,Grant
NGO50478,2023/05/31,Donor_158,Education Support,Central, 69621.27575338277 ,1968.62,8,541221.24,Corporate
NGO50378,17-03-2023,Donor_074,Water Project,Central,105019.69,0,2,210039.39,corporate
NGO50088,2022-07-17,Donor_139,Skills Training,  ,12138.18,250.8,8,95099.03,CORPORATE
NGO50086,2022/01/31,Donor_050,Food Aid,Central,29303.81,0,7,205126.67,International Aid
NGO50353,TBD,Donor_134,Water Project,  East  ,29254.44,0,10,292544.37,Corporate
NGO50558,"July 29, 2024",Donor_137,Education Support,International,31267.05,465,3,92407.11,Government
NGO50398,"September 03, 2022",Donor_101,Skills Training,International,13133.89,0,2,26267.78,  Grant  
NGO50400,2022/05/14,Donor_078,Skills Training,Central,36711.59,0,9,330404.32,government
NGO50146,01/25/2023,Donor_067,Water Project,Central,"$52,125.99",0,3,156377.97,Government
NGO50052,05/24/22,Donor_055,Food Aid,  -  ,16598.55,0,10,165985.46,International Aid
NGO50336,10/10/24,Donor_147,Skills Training,North,4027.34,0,3,12082.01,Government
NGO50183,02-04-2023,Donor_092,Education Support,,14450.01,0,6,86700.06,Corporate
NGO50523,,Donor_019,,West,327131.32,0,3,981393.97,Government
NGO50254,2023-05-15,Donor_140,Food Aid,East,61642.6,0,1,61642.6,Grant
NGO50141,03 Nov 2024,Donor_031,Emergency Relief,South,762975.04,0,9,6866775.32,Corporate
NGO50475,"February 22, 2023",Donor_118,Water Project,North,8979.51,0,4,35918.05,Corporate
NGO50393,2023/12/28,,Emergency Relief,North,506090.43,,2,"$1,012,180.87",Government
NGO50565,2023/01/19,Donor_054,FOOD AID,west,36465.91,0,4,145863.65,International Aid
NGO50145,11/09/24,Donor_107,Skills Training,North,30733.18,254.82,7,213348.51,Grant
NGO50592,05/02/2022,Donor_164,Water Project,North,79397.59,0,8, 635180.6911203823 ,Grant
NGO50288,2022-06-23,Donor_131,education support,East,15464.0,0,6,92784.01,Corporate
NGO50629,24-11-2024,Donor_043,Shelter,East,,0,-1,236976.78,Individual
NGO50291,10-09-2022,Donor_194,Shelter,South,271285.77,0,6,1627714.64,Government
NGO50332,2023-12-09,Donor_162,Food Aid,West,67159.88,0,5,335799.41,Government
NGO50177,21 Jan 2023,Donor_046,Food Aid,East,27711.94,0,1,27711.94,Grant
NGO50050,03/24/22,Donor_102,Health Outreach,Central,29643.7,0,3,,Government
NGO50025,12-04-2022,Donor_025,EDUCATION SUPPORT,International,39804.88,0,6,238829.3,Grant
NGO50320,2022-02-08,,Water Project,North,185787.5,N/A,3,540661.54,International Aid
NGO50482,2024-13-45,  Donor_123  ,Education Support,Central,,0,8,31509.02,Individual
NGO50100,2024-07-12,Donor_061,Emergency Relief,Central,386210.6,10874.73,3,1126007.6,Individual
NGO50243,2022/10/18,Donor_118,Education Support,West,74173.36,0,10,-741733.6236437609,corporate
NGO50105,invalid,DONOR_191,Education Support,,43691.13,471.04,5,216100.46,Corporate
NGO50258,2022/10/09,Donor_142,Water Project,West,170448.47,7260,9,1468694.16,Government
NGO50326,2024-02-02,Donor_149,Food Aid,East,81497,0,8,651973.95,Grant
NGO50531,12/07/2022,Donor_044,  Food Aid  ,Central,29594.89,955.99,6,171833.39,Corporate
NGO50366,08/10/2022,Donor_160,Education Support,International,53350.2,219.41,10,531307.84,
NGO50127,19 May 2022,Donor_075,Skills Training,West,2754.3,119.96,6,15806.05,Individual
NGO50032,2023-09-24,Donor_079,Food Aid,,87557.73,3051.54,3,253518.59,International Aid
NGO50242,04/02/22,Donor_168,Water Project,East,N/A,0,10,,International Aid
NGO50008,"January 30, 2024",  Donor_077  ,Shelter,Central,58095.74,0,,522861.62,International Aid
NGO50562,"February 19, 2024",Donor_175,  Education Support  ,East,79156.76,$0.00,7,554097.34,Individual
NGO50239,"July 16, 2024",Donor_066,Water Project,North,50560.13,1332.55,3,147682.75,Grant
NGO50063,invalid,Donor_143,Education Support,West,21085.62,0,5,,Individual
